"SpcRecID","Rank","GEO_entity","ISO Code 2","RefIDs"
75502,"Species","Country","CZ",2050
75503,"Species","Country","CZ",2050
75504,"Species","Country","CZ",2050
76317,"Species","Country","CZ",2050
76443,"Species","Country","CZ",2050
76840,"Species","Country","CZ",2050
77090,"Species","Country","CZ",2050
77235,"Species","Country","CZ",2050
77401,"Species","Country","CZ",2050
77449,"Species","Country","CZ",2050
78569,"Species","Country","CZ",2050
78733,"Species","Country","CZ",2050
78735,"Species","Country","CZ",2050
78736,"Species","Country","CZ",2050
78739,"Species","Country","CZ",2050
79182,"Species","Country","CZ",2050
79355,"Species","Country","CZ",2050
104122,"Species","Country","CZ",2050
175035,"Species","Country","AU",2075
176664,"Subspecies","Territory","AS",2075
176668,"Species","Country","AU",2075
176164,"Species","Country","BO",2127
180489,"Species","Territory","TW",2142
120271,"Species","Country","UA",2144
183145,"Species","Country","MZ",2192
184409,"Species","Country","PG",2192
174398,"Species","Country","BO",2205
40773,"Species","Country","MY",2224
50514,"Species","Country","MY",2224
51413,"Species","Country","BR",2224
51413,"Species","Country","CU",2224
51413,"Species","Country","US",2224
99948,"Species","Country","PE",2224
100038,"Species","Country","CO",2224
175294,"Species","Country","BR",2224
175294,"Species","Country","PE",2224
175317,"Species","Country","PE",2224
177424,"Species","Country","EC",2224
187217,"Species","Country","PH",2224
187219,"Species","Country","IN",2224
187219,"Species","Country","LA",2224
187219,"Species","Country","MM",2224
187219,"Species","Country","TH",2224
187219,"Species","Country","VN",2224
187223,"Species","Country","IN",2224
187230,"Species","Country","ID",2224
187230,"Species","Country","IN",2224
187230,"Species","Country","KH",2224
187230,"Species","Country","LA",2224
187230,"Species","Country","MM",2224
187230,"Species","Country","MY",2224
187230,"Species","Country","TH",2224
187230,"Species","Country","VN",2224
187238,"Species","Country","CN",2224
187238,"Species","Country","LA",2224
187238,"Species","Country","MM",2224
187238,"Species","Country","TH",2224
187241,"Species","Country","KH",2224
187241,"Species","Country","LA",2224
187241,"Species","Country","MM",2224
187241,"Species","Country","TH",2224
187241,"Species","Country","VN",2224
187248,"Species","Country","ID",2224
187252,"Species","Country","MM",2224
187253,"Species","Country","MY",2224
187253,"Species","Country","TH",2224
187260,"Species","Country","PH",2224
187272,"Species","Country","IN",2224
187282,"Species","Country","PG",2224
187282,"Species","Country","PH",2224
187310,"Species","Country","BT",2224
187310,"Species","Country","CN",2224
187310,"Species","Country","IN",2224
187310,"Species","Country","LA",2224
187310,"Species","Country","MM",2224
187310,"Species","Country","TH",2224
187310,"Species","Country","VN",2224
187317,"Species","Country","MY",2224
187319,"Species","Country","ID",2224
187319,"Species","Country","PH",2224
187325,"Species","Country","ID",2224
187498,"Species","Country","MY",2224
187499,"Species","Country","ID",2224
187499,"Species","Country","MY",2224
187500,"Species","Country","IN",2224
187502,"Species","Country","BN",2224
187502,"Species","Country","ID",2224
187502,"Species","Country","MY",2224
187502,"Species","Country","PG",2224
187502,"Species","Country","PH",2224
187502,"Species","Country","SB",2224
187508,"Species","Country","BT",2224
187508,"Species","Country","CN",2224
187508,"Species","Country","IN",2224
187508,"Species","Country","LA",2224
187508,"Species","Country","MM",2224
187508,"Species","Country","TH",2224
187508,"Species","Country","VN",2224
187515,"Species","Country","ID",2224
187515,"Species","Country","PG",2224
187515,"Species","Country","SB",2224
187517,"Species","Country","ID",2224
187518,"Species","Country","PH",2224
187521,"Species","Country","ID",2224
187522,"Species","Country","ID",2224
187523,"Species","Country","MM",2224
187523,"Species","Country","VN",2224
187526,"Species","Country","BN",2224
187527,"Species","Country","ID",2224
187528,"Species","Country","ID",2224
187529,"Species","Country","CN",2224
187529,"Species","Country","LA",2224
187529,"Species","Country","MM",2224
187529,"Species","Country","TH",2224
187529,"Species","Country","VN",2224
187530,"Species","Country","ID",2224
187531,"Species","Country","PH",2224
187532,"Species","Country","ID",2224
187532,"Species","Country","PG",2224
187532,"Species","Country","SB",2224
187538,"Species","Country","ID",2224
187540,"Species","Country","MY",2224
187541,"Species","Country","ID",2224
187542,"Species","Country","PH",2224
187543,"Species","Country","ID",2224
187544,"Species","Country","ID",2224
187544,"Species","Country","MY",2224
187545,"Species","Country","ID",2224
187545,"Species","Country","MY",2224
187546,"Species","Country","ID",2224
187547,"Species","Country","PH",2224
187550,"Species","Country","ID",2224
187550,"Species","Country","MY",2224
187551,"Species","Country","BN",2224
187551,"Species","Country","ID",2224
187551,"Species","Country","MY",2224
187552,"Species","Country","BT",2224
187552,"Species","Country","CN",2224
187552,"Species","Country","IN",2224
187552,"Species","Country","NP",2224
187552,"Species","Country","TH",2224
187558,"Species","Country","ID",2224
187558,"Species","Country","MY",2224
187559,"Species","Country","VN",2224
187560,"Species","Country","MY",2224
187561,"Species","Country","MM",2224
187562,"Species","Country","BN",2224
187562,"Species","Country","ID",2224
187562,"Species","Country","MY",2224
187563,"Species","Country","PH",2224
187564,"Species","Country","ID",2224
187564,"Species","Country","MY",2224
187565,"Species","Country","CN",2224
187567,"Species","Country","BN",2224
187567,"Species","Country","MY",2224
187569,"Species","Country","VN",2224
187589,"Species","Country","ID",2224
187590,"Species","Country","ID",2224
187592,"Species","Country","ID",2224
187606,"Species","Country","BT",2224
187606,"Species","Country","CN",2224
187606,"Species","Country","IN",2224
187606,"Species","Country","LA",2224
187606,"Species","Country","MM",2224
187606,"Species","Country","NP",2224
187606,"Species","Country","TH",2224
187606,"Species","Country","VN",2224
187614,"Species","Country","IN",2224
187615,"Species","Country","BN",2224
187615,"Species","Country","ID",2224
187615,"Species","Country","MY",2224
187616,"Species","Country","ID",2224
187617,"Species","Country","IN",2224
187619,"Species","Country","CN",2224
187620,"Species","Country","CN",2224
187620,"Species","Country","IN",2224
187620,"Species","Country","MM",2224
187620,"Species","Country","VN",2224
187623,"Species","Country","IN",2224
187624,"Species","Country","ID",2224
187624,"Species","Country","MY",2224
187625,"Species","Country","BN",2224
187625,"Species","Country","ID",2224
187625,"Species","Country","MY",2224
187628,"Species","Country","IN",2224
187629,"Species","Country","BT",2224
187629,"Species","Country","CN",2224
187629,"Species","Country","IN",2224
187629,"Species","Country","MM",2224
187629,"Species","Country","NP",2224
187631,"Species","Country","MM",2224
187631,"Species","Country","TH",2224
187631,"Species","Country","VN",2224
187633,"Species","Country","ID",2224
187633,"Species","Country","MY",2224
187635,"Species","Country","PH",2224
187636,"Species","Country","ID",2224
187636,"Species","Country","PH",2224
187637,"Species","Country","MY",2224
187638,"Species","Country","MY",2224
187640,"Species","Country","ID",2224
187640,"Species","Country","MY",2224
187641,"Species","Country","ID",2224
187642,"Species","Country","ID",2224
187642,"Species","Country","MY",2224
187643,"Species","Country","ID",2224
187644,"Species","Country","ID",2224
187644,"Species","Country","MY",2224
187646,"Species","Country","MM",2224
187646,"Species","Country","TH",2224
187646,"Species","Country","VN",2224
187648,"Species","Country","CN",2224
187648,"Species","Country","MM",2224
187649,"Species","Country","CN",2224
187649,"Species","Country","VN",2224
187650,"Species","Country","PH",2224
187651,"Species","Country","IN",2224
187652,"Species","Country","ID",2224
187652,"Species","Country","MY",2224
187658,"Species","Country","BT",2224
187658,"Species","Country","CN",2224
187658,"Species","Country","IN",2224
187658,"Species","Country","LA",2224
187658,"Species","Country","MM",2224
187658,"Species","Country","NP",2224
187658,"Species","Country","TH",2224
187660,"Species","Country","PH",2224
187661,"Species","Country","ID",2224
187661,"Species","Country","MY",2224
187662,"Species","Country","FJ",2224
187662,"Species","Territory","NC",2224
187662,"Species","Country","TO",2224
187662,"Species","Country","VU",2224
187662,"Species","Country","WS",2224
187664,"Species","Country","FJ",2224
187664,"Species","Country","VU",2224
187666,"Species","Country","ID",2224
187667,"Species","Country","CN",2224
187667,"Species","Country","VN",2224
187668,"Species","Country","PH",2224
187670,"Species","Country","MY",2224
187671,"Species","Country","PH",2224
187672,"Species","Country","IN",2224
187672,"Species","Country","MM",2224
187683,"Species","Country","ID",2224
187683,"Species","Country","MY",2224
187684,"Species","Country","ID",2224
187685,"Species","Country","VN",2224
187687,"Species","Country","ID",2224
187687,"Species","Country","MY",2224
187688,"Species","Country","ID",2224
187689,"Species","Country","MY",2224
187690,"Species","Country","ID",2224
187690,"Species","Country","MY",2224
187691,"Species","Country","IN",2224
187691,"Species","Country","MM",2224
187700,"Species","Country","MY",2224
187701,"Species","Country","BT",2224
187701,"Species","Country","CN",2224
187701,"Species","Country","IN",2224
187701,"Species","Country","MM",2224
187703,"Species","Country","BN",2224
187703,"Species","Country","ID",2224
187703,"Species","Country","MY",2224
187704,"Species","Country","IN",2224
187704,"Species","Country","LK",2224
187708,"Species","Country","BT",2224
187708,"Species","Country","CN",2224
187708,"Species","Country","IN",2224
187708,"Species","Country","MM",2224
187708,"Species","Country","NP",2224
187708,"Species","Country","TH",2224
187708,"Species","Country","VN",2224
187711,"Species","Country","ID",2224
187714,"Species","Country","ID",2224
187714,"Species","Country","MY",2224
187715,"Species","Country","MM",2224
187717,"Species","Country","IN",2224
187718,"Species","Country","ID",2224
187718,"Species","Country","MY",2224
187719,"Species","Country","MM",2224
187720,"Species","Country","ID",2224
187720,"Species","Country","MY",2224
187721,"Species","Country","ID",2224
187721,"Species","Country","MY",2224
187727,"Species","Country","CN",2224
187727,"Species","Country","MM",2224
187728,"Species","Country","BN",2224
187728,"Species","Country","ID",2224
187728,"Species","Country","MY",2224
187728,"Species","Country","TH",2224
187731,"Species","Country","BT",2224
187731,"Species","Country","CN",2224
187731,"Species","Country","IN",2224
187731,"Species","Country","MM",2224
187731,"Species","Country","NP",2224
187740,"Species","Country","IN",2224
187740,"Species","Country","TH",2224
