"DscRecID","Full_citation","Authors","Year","Title","Source","Volume","Number","Publisher"
488,"Specht, R.L. 1981. Conservation: Australian heathlands. _In_ Specht, R.L. (ed.). Heathlands and related shrublands: analytical studies. Ecosystems of the World 9B. Amsterdam, Elsevier. 235-240.","Specht, R.L.",1981,"Conservation: Australian heathlands.","_In_ Specht, R.L. (ed.). Heathlands and related shrublands: analytical studies. Ecosystems of the World 9B. Amsterdam, Elsevier. 235-240.",,,
516,"IBPGR 1980. Genetic resources of the Far East and the Pacific Islands. _IBPGR Region. Committ. Southeast Asia Newsl._ 5(1):12-13.","IBPGR",1980,"Genetic resources of the Far East and the Pacific Islands.","_IBPGR Region. Committ. Southeast Asia Newsl._",5,1,
552,"Dickenson, R.E. 1981. Mesa Verde: a world heritage. _Nat. Parks Conserv. Mag._ 55(9-10):14-15.","Dickenson, R.E.",1981,"Mesa Verde: a world heritage.","_Nat. Parks Conserv. Mag._",55,"09-Oct",
725,"Saenger, P., E.J. Hageri & J.D.S. Davis (eds.) 1981. First report on the global status of mangrove ecosystems. Gland: IUCN, Commission on Ecology. v, 132 pp. Maps. Contains lists of threatened plants.","Saenger, P., E.J. Hageri, J.D.S. Davis (eds.)",1981,"First report on the global status of mangrove ecosystems.",,,,"IUCN, Commission on Ecology"
881,"Leigh, J.H., J. Briggs, W. Hartley 1981. Rare or threatened Australian plants. Australian National Parks and Wildlife Service. 178 pp.","Leigh, J.H., J. Briggs, W. Hartley",1981,"Rare or threatened Australian plants",,,,"Australian National Parks and Wildlife Service"
885,"Kartesz, J.T.&.R. 1977. The biota of North America: part 1. Vascular plants. Volume 1: rare plants. Pittsburgh, Bonac. iii, 361p. Includes Endangered Species Act, 1973.","Kartesz, J.T.&.R.",1977,"The biota of North America: part 1. Vascular plants. Volume 1: rare plants.",,,,"Pittsburgh, Bonac. iii, 361p."
955,"Lugo, A.E. & S. Brown 1982. Conversion of tropical moist forests: a critique. _Interciencia_ 7(2):89-93.","Lugo, A.E., S. Brown",1982,"Conversion of tropical moist forests: a critique.","_Interciencia_",7,2,
981,"Harrison, J. 1983. Maintaining a database on the world's protected areas. _Parks_ 7(4):3-5. Illus.","Harrison, J.",1983,"Maintaining a database on the world's protected areas.","_Parks_",7,4,
1037,"Burrichter, E., R. Pott, T. Raus, R. Wittig 1980. Die Hudelandschaft _Borkener Paradies_ im Emstal bei Meppen. _Abh. Landesmus. Naturk. Munster Westfalen_ 42(4):3-69. Ge (En). Illus., map.","Burrichter, E., R. Pott, T. Raus, R. Wittig",1980,"Die Hudelandschaft _Borkener Paradies_ im Emstal bei Meppen.","_Abh. Landesmus. Naturk. Munster Westfalen_",42,4,
1058,"Hunt, D.R. 1982. The conservation status of Mexican mammillarias: a preliminary assessment. _Cact. Succ. J._(U.K.) 44(4):87-88.","Hunt, D.R.",1982,"The conservation status of Mexican mammillarias: a preliminary assessment.","_Cact. Succ. J._(U.K.)",44,4,
