Species RecID,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
3025,Species,Country,MX,10260,CITES_EU
3686,Species,Country,ES,15105,CITES_EU
3686,Species,Country,ES,20750,CITES_EU
3687,Species,Country,ES,21417,CITES_EU
3689,Species,Country,ES,15105,CITES_EU
3691,Species,Country,ES,15105,CITES_EU
3691,Species,Country,ES,21417,CITES_EU
3787,Species,Country,CY,15934,CITES_EU
3787,Species,Country,CY,19164,CITES_EU
3788,Species,Country,LY,,CITES_EU
3788,Species,Country,LY,15934,CITES_EU
3808,Species,Country,PT,,CITES_EU
3893,Species,Country,CY,14230,CITES_EU
3893,Species,Country,CY,19164,CITES_EU
3893,Species,Country,TR,14230,CITES_EU
3893,Species,Country,TR,19873,CITES_EU
3930,Species,Country,ES,17672,CITES_EU
3931,Species,Country,ES,17672,CITES_EU
3932,Species,Country,PT,17672,CITES_EU
3933,Species,Country,ES,17672,CITES_EU
3934,Species,Country,ES,17672,CITES_EU
3934,Species,Country,ES,20750,CITES_EU
3935,Species,Country,ES,20750,CITES_EU
3935,Species,Country,ES,21417,CITES_EU
3936,Species,Country,MA,17672,CITES_EU
3937,Species,Country,ES,,CITES_EU
3940,Species,Country,ES,15926,CITES_EU
3940,Species,Country,ES,19174,CITES_EU
3941,Species,Country,DZ,10488,CITES_EU
3941,Species,Country,DZ,14958,CITES_EU
3942,Species,Country,ES,20750,CITES_EU
3942,Species,Country,ES,21391,CITES_EU
3943,Species,Country,MA,,CITES_EU
3944,Species,Country,MA,,CITES_EU
3945,Species,Country,MA,,CITES_EU
3947,Species,Country,MA,,CITES_EU
3948,Species,Country,EG,16168,CITES_EU
3948,Species,Country,EG,17672,CITES_EU
3949,Species,Country,MA,17672,CITES_EU
3950,Species,Country,EG,17672,CITES_EU
3951,Species,Country,PT,17672,CITES_EU
3952,Species,Country,LY,17672,CITES_EU
3953,Species,Country,EG,17672,CITES_EU
3954,Species,Country,MA,15926,CITES_EU
3954,Species,Country,MA,17672,CITES_EU
3955,Species,Country,MA,17672,CITES_EU
3956,Species,Country,PT,17672,CITES_EU
3957,Species,Country,MA,,CITES_EU
3957,Species,Country,MA,17672,CITES_EU
3958,Species,Country,CY,14230,CITES_EU
3958,Species,Country,CY,17672,CITES_EU
4044,Species,Country,PT,,CITES_EU
4044,Species,Country,PT,17891,CITES_EU
4049,Species,Country,ES,,CITES_EU
4440,Species,Country,MA,,CITES_EU
4441,Species,Country,CY,14230,CITES_EU
4441,Species,Country,CY,19164,CITES_EU
4442,Species,Country,DZ,14958,CITES_EU
4442,Species,Country,IT,,CITES_EU
4442,Species,Country,IT,17934,CITES_EU
4442,Species,Country,MT,,CITES_EU
4442,Species,Country,MT,17934,CITES_EU
4443,Species,Country,ES,,CITES_EU
4444,Species,Country,LY,,CITES_EU
4445,Species,Country,PT,,CITES_EU
4445,Species,Country,PT,17891,CITES_EU
4542,Species,Country,PT,,CITES_EU
5114,Species,Country,ZA,20604,CITES_EU
5115,Species,Country,ZA,20604,CITES_EU
5146,Species,Country,ZA,20803,CITES_EU
5147,Species,Country,ZA,20604,CITES_EU
5148,Species,Country,ZA,20604,CITES_EU
5149,Species,Country,ZA,20604,CITES_EU
5151,Species,Country,ZA,20803,CITES_EU
5154,Species,Country,ZA,20604,CITES_EU
5155,Species,Country,ZA,20604,CITES_EU
5156,Species,Country,ZA,20604,CITES_EU
5158,Species,Country,ZA,20604,CITES_EU
5159,Species,Country,ZA,20604,CITES_EU
5160,Species,Country,ZA,20604,CITES_EU
5162,Species,Country,ZA,20604,CITES_EU
5163,Species,Country,ZA,20604,CITES_EU
5164,Species,Country,ZA,20604,CITES_EU
5165,Species,Country,ZA,,CITES_EU
5165,Species,Country,ZA,20604,CITES_EU
5165,Species,Country,ZA,21482,CITES_EU
5174,Species,Country,KE,,CITES_EU
5174,Species,Country,KE,20803,CITES_EU
5174,Species,Country,MW,,CITES_EU
5174,Species,Country,MW,20803,CITES_EU
5174,Species,Country,MZ,21492,CITES_EU
5174,Species,Country,TZ,,CITES_EU
5174,Species,Country,TZ,20803,CITES_EU
5174,Species,Country,ZA,20803,CITES_EU
5174,Species,Country,ZW,21492,CITES_EU
5219,Species,Country,ZA,20604,CITES_EU
5264,Species,Country,ZA,20604,CITES_EU
5265,Species,Country,LS,20803,CITES_EU
5265,Species,Country,ZA,20803,CITES_EU
5266,Species,Country,ZA,20604,CITES_EU
5269,Species,Country,ZA,20803,CITES_EU
5296,Species,Country,ZA,20604,CITES_EU
5329,Species,Country,LS,21442,CITES_EU
5329,Species,Country,ZA,20604,CITES_EU
5330,Species,Country,ZA,20604,CITES_EU
5331,Species,Country,ZA,20604,CITES_EU
5331,Species,Country,ZA,20803,CITES_EU
5332,Species,Country,ZA,20604,CITES_EU
5333,Species,Country,ZA,20604,CITES_EU
5334,Species,Country,ZA,20604,CITES_EU
