Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
CUCURBITACEAE,Family,86,Order,13,A,Juss.,,CITES_EU
ACERACEAE,Family,87,Order,24,A,Juss.,,CITES_EU
ALOACEAE,Family,88,Order,50,A,Batsch,,CITES_EU
POTTIACEAE,Family,89,Order,51,A,Schimp. ,,CITES_EU
HYACINTHACEAE,Family,90,Order,50,A,Batsch ex Borckh. ,,CITES_EU
DRACAENACEAE,Family,91,Order,50,A,Salisb.,,CITES_EU
BLECHNACEAE,Family,92,Order,52,A,(C. Presl) Copel.,,CITES_EU
DAVALLIACEAE,Family,93,Order,52,A,Mett. ex Frank.,,CITES_EU
HYMENOPHYLLACEAE,Family,94,Order,53,A,Link.,,CITES_EU
LABIATAE,Family,95,Order,28,A,Juss.,,CITES_EU
GRAMINEAE,Family,96,Order,54,A,Juss.,,CITES_EU
POLYPODIACEAE,Family,97,Order,55,A,Bercht. & J. Presl.,,CITES_EU
METAXYACEAE,Family,98,Order,1,A,Pichi-Serm.,,CITES_EU
CHRYSOBALANACEAE,Family,99,Order,25,A,R.Br.,,CITES_EU
DENNSTAEDTIACEAE,Family,100,Order,52,A,Lotsy.,,CITES_EU
DRYOPTERIDACEAE,Family,101,Order,52,A,Herter,,CITES_EU
THELYPTERIDACEAE,Family,102,Order,52,A,Ching ex Pichi-Serm.,,CITES_EU
UMBELLIFERAE,Family,103,Order,41,A,Juss.,,CITES_EU
ADIANTACEAE,Family,104,Order,56,A,Newman,,CITES_EU
GESNERIACEAE,Family,105,Order,30,A,Rich. & Juss. ex DC.,,CITES_EU
ASPHODELACEAE,Family,106,Order,50,A,Juss.,,CITES_EU
PITTOSPORACEAE,Family,107,Order,25,A,R.Br.,,CITES_EU
WOODSIACEAE,Family,108,Order,52,A,(Diels) Herter.,,CITES_EU
GROSSULARIACEAE,Family,109,Order,57,A,,,CITES_EU
Santalaceae,Family,110,Order,58,A,,,CITES_EU
Aa,Genus,1,Family,4,A,Reichb. f.,,CITES_EU
Abdominea,Genus,2,Family,4,A,J.J. Smith,,CITES_EU
Abies,Genus,3,Family,16,A,Miller.,,CITES_EU
Acampe,Genus,4,Family,4,A,Lindl.,,CITES_EU
Acanthephippium,Genus,5,Family,4,A,Blume,,CITES_EU
Acanthocalycium,Genus,6,Family,3,A,Backeb.,,CITES_EU
Acanthocereus,Genus,7,Family,3,A,(A. Berger) Britton & Rose,,CITES_EU
Aceras,Genus,8,Family,4,A,R. Br.,,CITES_EU
Aceratorchis,Genus,9,Family,4,A,Schlechter,,CITES_EU
Acianthus,Genus,10,Family,4,A,R. Br.,,CITES_EU
Acineta,Genus,11,Family,4,A,Lindl.,,CITES_EU
Acostaea,Genus,12,Family,4,A,Schlechter,,CITES_EU
Acriopsis,Genus,13,Family,4,A,Reinw. ex Blume,,CITES_EU
Acrochaene,Genus,14,Family,4,A,Lindl.,,CITES_EU
Acrolophia,Genus,15,Family,4,A,Pfitzer,,CITES_EU
Acrorchis,Genus,16,Family,4,A,Dressler,,CITES_EU
Ada,Genus,17,Family,4,A,Lindl.,,CITES_EU
Adenia,Genus,18,Family,17,A,Forssk.,,CITES_EU
Adenochilus,Genus,19,Family,4,A,Hook.f.,,CITES_EU
Adenoncos,Genus,20,Family,4,A,Blume,,CITES_EU
Adonis,Genus,21,Family,18,A,L.,,CITES_EU
Adrorhizon,Genus,22,Family,4,A,Hook.f.,,CITES_EU
Aerangis,Genus,23,Family,4,A,Reichb.f.,,CITES_EU
Aeranthes,Genus,24,Family,4,A,Lindl.,,CITES_EU
