SpcRecID,Scientific name,Rank,Accepted RecID,Accepted rank,Status,RefRecIDs
179741,nigricans,SPECIES,16352,Species,S,21437
179745,carmeniana,SPECIES,16352,Species,S,21437
179746,albispina,SPECIES,16352,Species,S,21437
179772,nigricans,SPECIES,16352,Species,S,21437
108106,inquisivensis,SPECIES,16376,Species,S,21437
180271,microcarpus,SPECIES,16376,Species,S,21437
108204,oligacantha,SPECIES,16388,Species,S,21437
179715,sanguineo-tarijensis,SPECIES,16388,Species,S,21437
179716,tarijensis,SPECIES,16388,Species,S,21437
179732,oligacantha,SPECIES,16388,Species,S,21437
179733,sanguineotarijensis,SPECIES,16388,Species,S,21437
179734,tarijensis,SPECIES,16388,Species,S,21437
107991,margarethae,SPECIES,16400,Species,S,21437
179717,margarethae,SPECIES,16400,Species,S,21437
179736,padcayensis,SPECIES,16400,Species,S,21437
179747,singularis,SPECIES,16400,Species,S,21437
180182,saussieri,SPECIES,16435,Species,S,21437
180193,lophothele,SPECIES,16544,Species,S,21437
180194,nidulans,SPECIES,16544,Species,S,21437
180195,phymatothelos,SPECIES,16544,Species,S,21437
180196,multicephalus,SPECIES,16544,Species,S,21437
27664,nidulans,SUBSPECIES,16544,Species,S,21437
28184,phymatothelos,SUBSPECIES,16544,Species,S,21437
180172,yunckeri,SPECIES,16723,Species,S,21437
106361,yunckeri,SPECIES,16723,Species,S,15964:21437:
75630,allenii,SPECIES,16732,Species,S,1026022132:22153:22209
188563,hypodiscus,SPECIES,16735,Species,S,22227
75792,lepidotus,SPECIES,16735,Species,S,20850:10747:
182452,cordigerum,SPECIES,16741,Species,S,21442
182453,atropurpurea,SPECIES,16741,Species,S,21442
182458,macrochila,SPECIES,16741,Species,S,21442
182459,atropurpureum,SPECIES,16741,Species,S,21442
182464,cordigerum,SPECIES,16741,Species,S,21442
182465,longipetalum,SPECIES,16741,Species,S,21442
182466,macrochilum,SPECIES,16741,Species,S,21442
175749,tricolor,SPECIES,16760,Species,S,22044:19869:17710:22110:22103:22132:22153
175962,undulata,SPECIES,16842,Species,S,21962:21987:22006:22153:
175957,undulata,SPECIES,16842,Species,S,21962:21987:22153
175960,undulata,SPECIES,16842,Species,S,21962:21987:22153
175963,violacea,SPECIES,16842,Species,S,21987:22153:
175965,quesneliana,SPECIES,16842,Species,S,21987:22153:
176945,excelsa,SPECIES,16842,Species,S,22118:22153:
176947,lueddemannii,SPECIES,16842,Species,S,22132:22153:
179953,densiareolata,SPECIES,16859,Species,S,21437
188545,dressleri,SPECIES,16867,Species,S,22227
188536,butcheri,SPECIES,16868,Species,S,22227
188595,tenuissima,SPECIES,16868,Species,S,22227
108108,obtusangula,SPECIES,16892,Species,S,21437
179979,microsphaericus,SPECIES,16892,Species,S,21437
179980,obtusangulus,SPECIES,16892,Species,S,21437
179981,microsphaericus,SPECIES,16892,Species,S,21437
180003,nyensis,SPECIES,16977,Species,S,21437
180005,cloverae,SPECIES,16994,Species,S,21437
180008,cloverae,SPECIES,16994,Species,S,21437
180006,brackii,SUBSPECIES,16994,Species,S,21437
180007,brackii,SUBSPECIES,16994,Species,S,21437
180022,sileri,SUBSPECIES,17012,Species,S,21437
180048,whipplei,SPECIES,17035,Species,S,21437
180049,whipplei,SPECIES,17035,Species,S,21437
34497,senile,SPECIES,17073,Species,S,21437
34758,brunnescens,SPECIES,17106,Species,S,21437
29473,speciosus,SPECIES,17121,Species,S,21437
34820,speciosissimus,SPECIES,17121,Species,S,21437
35065,aurantiaca,SPECIES,17173,Species,S,21437
35066,aurantiacum,SPECIES,17173,Species,S,21437
35067,glaucum,SPECIES,17173,Species,S,21437
15644,candida,SPECIES,17278,Species,S,21437
36579,estanzuelensis,SPECIES,17278,Species,S,21437
36580,ortizrubiana,SPECIES,17278,Species,S,21437
36578,ortizrubiana,SUBSPECIES,17278,Species,S,21437
36725,laui,SPECIES,17288,Species,S,21437
36726,sanchezmejoradae,SPECIES,17288,Species,S,21437
107903,chilensis,SPECIES,17297,Species,S,21437
37151,alamosensis,SPECIES,17305,Species,S,21437
37152,thurberi,SPECIES,17305,Species,S,21437
37252,carambeiensis,SPECIES,17321,Species,S,21437
37253,villa-velhensis,SPECIES,17321,Species,S,21437
37386,laetivirens,SPECIES,17322,Species,S,21437
37387,muricatus,SPECIES,17322,Species,S,21437
37478,carminata,SPECIES,17334,Species,S,21437
37479,friciana,SPECIES,17334,Species,S,21437
37480,jujuyana,SPECIES,17334,Species,S,21437
37481,pseudostuemeri,SPECIES,17334,Species,S,21437
37482,schuetziana,SPECIES,17334,Species,S,21437
37483,scoparia,SPECIES,17334,Species,S,21437
37484,tumbayana,SPECIES,17334,Species,S,21437
37485,setosa,SPECIES,17334,Species,S,21437
69321,pterocarpa,SPECIES,17336,Species,S,10260
107199,chacoana,SPECIES,17374,Species,S,21437
107202,parapetiensis,SPECIES,17374,Species,S,21437
179488,rhodoleucantha,SPECIES,17374,Species,S,21437
179489,saxicola,SPECIES,17374,Species,S,21437
179498,ritteri,SPECIES,17374,Species,S,21437
179497,rhodoleucanthus,SUBSPECIES,17374,Species,S,21437
179499,parapetiensis,SUBSPECIES,17374,Species,S,21437
106314,rhodoleucanthus,SPECIES,17374,Species,S,15964:21437:
106347,saxicola,SPECIES,17374,Species,S,15964:21437:
106026,brasiliensis,SPECIES,17389,Species,S,21437
179507,boreominarum,SPECIES,17389,Species,S,21437
34812,heterodoxus,SPECIES,17427,Species,S,21437
107065,cinnabarinus,SPECIES,17427,Species,S,21437
106434,ticnamarensis,SPECIES,17491,Species,S,21437
180226,pseudomacrochele,SPECIES,17502,Subspecies,S,21437
180267,mirandae,SPECIES,17508,Species,S,21437
29610,glaber,SPECIES,17508,Species,S,14253:21437:
35753,mirabilis,SPECIES,17615,Species,S,21437
34714,mirabilis,SPECIES,17678,Species,S,21437
34715,mirabilis,SPECIES,17678,Species,S,21437
34716,mirabilis,SPECIES,17678,Species,S,21437
35701,vertongenii,SPECIES,17691,Species,S,21437
188557,gracilenta,SPECIES,17838,Species,S,22227
17882,bancanus,SPECIES,17906,Species,S,21447
188041,odontochila,SPECIES,17982,Species,S,22227
188042,reflexa,SPECIES,17982,Species,S,22227
188445,borucana,SPECIES,17989,Species,S,22227
188186,costaricensis,SPECIES,17991,Species,S,22227
188454,anura,SPECIES,17992,Species,S,22227
188455,rhopalura,SPECIES,17992,Species,S,22227
188491,funebris,SPECIES,17995,Species,S,22227
188492,normannii,SPECIES,17995,Species,S,22227
188527,humilis,SPECIES,18000,Species,S,22227
188528,olmosii,SPECIES,18000,Species,S,22227
54891,powellii,SPECIES,18031,Species,S,10747
177066,dentata,SPECIES,18123,Species,S,21298:22153:
188533,anchorifera,SPECIES,18124,Species,S,22227
188575,navicularis,SPECIES,18124,Species,S,22227
188590,puncata,SPECIES,18124,Species,S,22227
188569,microdactyla,SPECIES,18127,Species,S,22227
175792,sigmoidea,SPECIES,18131,Species,S,21972:22071:19869
177463,proliferus,SPECIES,18134,Species,S,22153
184298,serratum,SPECIES,18511,Species,S,21492
27661,ferox,SPECIES,18739,Species,S,21482
28106,marlothi,SPECIES,18739,Species,S,21482
27477,boranensis,SPECIES,18750,Species,S,21482
27975,lusitanica,SPECIES,18755,Species,S,21482
28764,komatiensis,SPECIES,18755,Species,S,21482
28777,pongolensis,SPECIES,18755,Species,S,21482
106824,decurvidens,SPECIES,18755,Species,S,19976:21482:
27764,jex-blakeae,SPECIES,18779,Species,S,21482
29488,stephaninii,SPECIES,18779,Species,S,21482
105044,stictophylla,SPECIES,19333,Species,S,19850
177024,candidum,SPECIES,19349,Species,S,22134:22151:22153
177704,petense,SPECIES,19364,Species,S,22153
177734,tonduzii,SPECIES,19364,Species,S,22153
176999,lewisae,SPECIES,19366,Species,S,22139:22153:
173467,congoensis,SPECIES,19438,Species,S,22052:22075:
173599,camerooniana,SPECIES,19438,Species,S,22052:22075:
173777,congoensis,SPECIES,19438,Species,S,22052:22075:
173940,principis,SPECIES,19438,Species,S,22052:22075:
186971,caracasana,SPECIES,19448,Species,S,22075
187152,sherringii,SPECIES,19448,Species,S,22075
187153,sherringii,SPECIES,19448,Species,S,22075
173799,crenata,SPECIES,19448,Species,S,21855:22075:
173867,fulva,SPECIES,19448,Species,S,21855:22075:
174115,producta,SPECIES,19448,Species,S,21855:22075:
174173,sodiroi,SPECIES,19448,Species,S,21855:22075:
174232,sherringii,SPECIES,19448,Species,S,21855:22075:
174472,caracasana,SPECIES,19448,Species,S,21855:22075:
174692,crenata,SPECIES,19448,Species,S,21855:22075:
173396,boconensis,SPECIES,19448,Species,S,22052:22075:
173889,parvifolia,SPECIES,19448,Species,S,22052:22075:
174061,squamipes,SPECIES,19448,Species,S,22052:22075:
173576,demissa,SPECIES,19455,Species,S,21855:22075:
174021,demissa,SPECIES,19455,Species,S,21855:22075:
174099,pelliculosa,SPECIES,19458,Species,S,22075
186980,equestris,SPECIES,19458,Species,S,22075
186981,calva,SPECIES,19458,Species,S,22075
173404,firma,SPECIES,19458,Species,S,21855:22075:
174187,subaspera,SPECIES,19458,Species,S,21855:22075:
175537,subaspera,SPECIES,19458,Species,S,21855:22075:
173620,globularis,SPECIES,19458,Species,S,22052:22075:
175267,petiolulata,SPECIES,19458,Species,S,22052:22075:
186996,macrosora,SPECIES,19522,Species,S,22075
173573,macrosora,SPECIES,19522,Species,S,21855:22075:
174744,macrosora,SPECIES,19522,Species,S,21855:22075:
175075,macrosora,SPECIES,19522,Species,S,22052:22075:
8263,nesiotica,SPECIES,19557,Species,S,11211:22075:
175176,nesiotica,SPECIES,19557,Species,S,21855:22075:
174460,walkerae,SPECIES,19567,Species,S,22052:22075:
175645,walkerae,SPECIES,19567,Species,S,22052:22075:
176487,walkerae,SPECIES,19567,Species,S,22052:22075:
19658,parvulus,SPECIES,19621,Species,S,21488
34086,longiconifera,SPECIES,19659,Species,S,21488
34087,xilingensis,SPECIES,19659,Species,S,21488
34088,multifida,SPECIES,19659,Species,S,21488
34089,acuminatissima,SPECIES,19660,Species,S,21488
34090,brevipinnata,SPECIES,19660,Species,S,21488
34091,longisporophylla,SPECIES,19660,Species,S,21488
34092,septemsperma,SPECIES,19660,Species,S,21488
34093,spiniformis,SPECIES,19660,Species,S,21488
191418,oerstedtii,SPECIES,19674,Species,S,22228
192045,oerstedii,SPECIES,19674,Species,S,22228
175929,nicaraguensis,SPECIES,19683,Species,S,21992:21987:22093:22110:22125:22153:
175928,spectabilis,SPECIES,19683,Species,S,21992:21987:22093:22125:22153
178116,autumnalis,SPECIES,20831,Species,S,21440
178341,lexarzae,SPECIES,20833,Species,S,21440
178342,luzmarianum,SPECIES,20833,Species,S,21440
178343,splendidum,SPECIES,20833,Species,S,21440
178344,turgidum,SPECIES,20833,Species,S,21440
172869,barkeri,SPECIES,20858,Species,S,18108:22134:22153
176696,barkeriola,SPECIES,20861,Species,S,22109:22143:
177305,cyclotella,SPECIES,20863,Species,S,22153
177306,cyclotella,SUBSPECIES,20863,Species,S,22153
58950,halbingeri,SPECIES,20865,Species,S,11344:22051:22107:22153:
177304,naevosa,SUBSPECIES,20866,Species,S,22153
174806,cubense,SPECIES,20867,Species,S,22024:22108:
174807,cubensis,SPECIES,20867,Species,S,22024:22108:
174805,cubensis,SPECIES,20867,Species,S,22024:22108:22117:22153:
174808,cubensis,SPECIES,20867,Species,S,22024:22116:22117
176697,palmeri,SPECIES,20867,Species,S,22108:22143:
176698,palmeri,SUBSPECIES,20867,Species,S,22108:22143:22153
174784,signatum,SPECIES,20880,Species,S,1810422106
174779,mexicana,SPECIES,20880,Species,S,2199222106:22153:
184101,lamilatum,SPECIES,20881,Species,S,21492
174993,glaucoglossum,SPECIES,20883,Species,S,18108:22057:22131:22153:21492
175012,thylaciochilum,SPECIES,20884,Species,S,18108:22057:22131:22143:22153:21492:
182338,nemoralis,SPECIES,20895,Species,S,21442
182339,adenocaulum,SPECIES,20895,Species,S,21442
182340,nemorale,SPECIES,20895,Species,S,21442
182341,verrucosum,SPECIES,20895,Species,S,21442
182425,hoffmanii,SPECIES,20899,Species,S,21442
182426,chacaoense,SPECIES,20899,Species,S,21442
182427,madrense,SPECIES,20899,Species,S,21442
182428,pachycarpum,SPECIES,20899,Species,S,21442
182446,amabilis,SPECIES,20901,Species,S,21442
182447,pruinosa,SPECIES,20901,Species,S,21442
182448,amabile,SPECIES,20901,Species,S,21442
182449,concolor,SPECIES,20901,Species,S,21442
182450,pruinosum,SPECIES,20901,Species,S,21442
182451,punctulatum,SPECIES,20901,Species,S,21442
182469,cyanocolumna,SPECIES,20902,Species,S,21442
182764,distantiflorum,SPECIES,20903,Species,S,21442
182508,ghiesbreghtianum,SPECIES,20904,Species,S,21442
182540,hastatum,SPECIES,20905,Species,S,21442
182557,kienastii,SPECIES,20906,Species,S,21442
182558,kienastii,SPECIES,20906,Species,S,21442
175814,kienastii,SPECIES,20906,Species,S,22056
175819,kienastii,SPECIES,20906,Species,S,22056
175822,kienastii,SPECIES,20906,Species,S,22056
177790,bergeriana,SPECIES,20906,Species,S,22153
20894,kienastii,SPECIES,20906,Species,S,10007:22056:22153
175813,kienastii,SPECIES,20906,Species,S,22056:22153:
182561,lancifolium,SPECIES,20907,Species,S,21442
182562,langlassei,SPECIES,20907,Species,S,21442
182563,trulla,SPECIES,20907,Species,S,21442
182573,linkianum,SPECIES,20908,Species,S,21442
182574,pastoris,SPECIES,20908,Species,S,21442
182575,tripterum,SPECIES,20908,Species,S,21442
58955,pastoris,SPECIES,20908,Species,S,11345:21442:
182592,guttata,SPECIES,20909,Species,S,21442
182593,guttatum,SPECIES,20909,Species,S,21442
182594,maculosum,SPECIES,20909,Species,S,21442
182595,magnispathum,SPECIES,20910,Species,S,21442
182598,mariae,SPECIES,20911,Species,S,21442
182605,ovulum,SPECIES,20912,Species,S,21442
182606,sisyrinchiifolia,SPECIES,20912,Species,S,21442
182607,microbulbon,SPECIES,20912,Species,S,21442
182608,ovulum,SPECIES,20912,Species,S,21442
182609,sisyrinchiifolia,SPECIES,20912,Species,S,21442
182654,pringlei,SPECIES,20913,Species,S,21442
182659,cinnamomeum,SPECIES,20914,Species,S,21442
182660,pterocarpum,SPECIES,20914,Species,S,21442
182702,subulatifolium,SPECIES,20916,Species,S,21442
182709,tenuissimum,SPECIES,20917,Species,S,21442
182662,tripunctatum,SPECIES,20918,Species,S,21442
182717,diguetii,SPECIES,20918,Species,S,21442
182718,diguetii,SPECIES,20918,Species,S,21442
182719,micropus,SPECIES,20918,Species,S,21442
182756,vitellinum,SPECIES,20920,Species,S,21442
177802,echinatum,SPECIES,20935,Species,S,22153
177803,major,SPECIES,20935,Species,S,22153
176743,loddigesii,SPECIES,20936,Species,S,22110
176745,galeata,SPECIES,20936,Species,S,22134
176746,loddigesii,SPECIES,20936,Species,S,22134
177213,luteola,SPECIES,20936,Species,S,22153
177214,atropurpurea,SPECIES,20936,Species,S,22153
177215,pallida,SPECIES,20936,Species,S,22153
177216,purpurea,SPECIES,20936,Species,S,22153
177217,flavida,SPECIES,20936,Species,S,22153
177218,citrina,SPECIES,20936,Species,S,22153
177219,fuscata,SPECIES,20936,Species,S,22153
176744,luteola,SPECIES,20936,Species,S,22110:22153:
176908,micheliana,SPECIES,20958,Species,S,22127:22153:
51441,stenoglossum,SPECIES,20977,Species,S,9114
75843,subquadrilabia,SPECIES,21010,Species,S,10034
184516,insleayi,SPECIES,21015,Species,S,21492
184517,lawrenceanum,SPECIES,21015,Species,S,21492
184518,insleayi,SPECIES,21015,Species,S,21492
176771,pumila,SPECIES,21018,Species,S,22141:22153:
177578,albovaginatum,SPECIES,21023,Species,S,22153
177616,densiflorum,SPECIES,21029,Species,S,22153
177005,implicata,SPECIES,21045,Species,S,22110
177283,uncinata,SPECIES,21045,Species,S,22153
177003,implicata,SPECIES,21045,Species,S,22110:22153:
177008,velata,SPECIES,21045,Species,S,22110:22153:
176979,devoniensis,SPECIES,21047,Species,S,22110:22153:
177034,expansa,SPECIES,21047,Species,S,22110:22153:
177035,hernandezii,SPECIES,21047,Species,S,22127:22153:
177196,picta,SPECIES,21051,Species,S,22153
32399,mainty,SPECIES,21124,Species,S,21391
180959,crepidata,SPECIES,21166,Species,S,21442
180960,lawana,SPECIES,21166,Species,S,21442
180961,actinomorphum,SPECIES,21166,Species,S,21442
180963,lawanum,SPECIES,21166,Species,S,21442
180964,roseum,SPECIES,21166,Species,S,21442
28957,pulchra,SPECIES,21171,Species,S,21482
21201,lastii,SPECIES,21174,Species,S,21482
21220,schliebenii,SPECIES,21174,Species,S,5926:21482:
21208,morogoroensis,SPECIES,21178,Species,S,5926:21482:
21544,meruana,SPECIES,21181,Species,S,21482
106843,harmsii,SPECIES,21187,Species,S,10260:21482:
21188,dumetorum,SPECIES,21190,Species,S,21482:20064:
27202,angiensis,SPECIES,21231,Species,S,21482
27471,bequaertii,SPECIES,21231,Species,S,21482
27813,lanuriensis,SPECIES,21231,Species,S,21482
146455,abortiva,SPECIES,21430,Species,S,20171
146456,abortiva,SPECIES,21430,Species,S,20171
34800,nudiflorus,SPECIES,22103,Species,S,21437
35713,cubensis,SPECIES,22105,Species,S,21437
36031,serruliflora,SPECIES,22107,Species,S,21437
84435,eriophorus,SPECIES,22109,Species,S,19002:21437:
25066,portoricensis,SPECIES,22115,Species,S,8058
22119,extensus,SPECIES,22120,Species,S,21437
22123,trinitatensis,SPECIES,22120,Species,S,21437
36056,venezuelensis,SPECIES,22120,Species,S,21437
36057,venezuelensis,SPECIES,22120,Species,S,21437
36058,extensus,SPECIES,22120,Species,S,21437
36059,compressus,SPECIES,22121,Species,S,21437
22118,cubensis,SPECIES,22121,Species,S,15112:21437:
36116,grantiana,SPECIES,22127,Species,S,21437
17715,acunae,SPECIES,22146,Species,S,21437
36654,ocujalii,SPECIES,22146,Species,S,21437
22139,lagunaensis,SUBSPECIES,22146,Species,S,21437
22141,borhidii,SPECIES,22146,Species,S,5607:21437:
22144,evae,SPECIES,22146,Species,S,5607:21437:
22154,nagyi,SPECIES,22146,Species,S,5607:21437:
41804,radoczii,SPECIES,22146,Species,S,5607:21437:
22147,hispaniolicus,SPECIES,22150,Species,S,21437
36661,barbarae,SPECIES,22152,Species,S,21437
36662,bozsingianus,SPECIES,22152,Species,S,21437
36663,inclinatus,SPECIES,22152,Species,S,21437
36664,laui,SPECIES,22152,Species,S,21437
22137,actinacanthus,SPECIES,22153,Species,S,5607:21437:
36770,domingensis,SPECIES,22157,Species,S,21437
36779,auberi,SPECIES,22158,Species,S,21437
36876,falcata,SPECIES,22164,Species,S,21437
36977,nashii,SPECIES,22169,Species,S,21437
36978,gibarensis,SUBSPECIES,22169,Species,S,21437
180055,pringlei,SPECIES,22181,Species,S,21437
180056,hallensis,SPECIES,22182,Species,S,21437
75740,kunthianus,SPECIES,22182,Species,S,14254:21437:
161566,grandiflorus,SPECIES,22182,Species,S,20838:21437:
22117,antiguensis,SPECIES,22191,Species,S,21437
36060,napoleonis,SPECIES,22191,Species,S,21437
36061,plumieri,SPECIES,22191,Species,S,21437
36062,pomifer,SPECIES,22191,Species,S,21437
22101,pomifer,SPECIES,22191,Species,S,
36210,flavescens,SPECIES,22193,Species,S,21437
22143,coronatus,SPECIES,22195,Species,S,21437
