Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation
ballianum,SPECIES,,GENUS,13014,A,Rolfe,,CITES_EU
baoshanense,SPECIES,,GENUS,13014,A,F.Y.Liu & Perner,,CITES_EU
crassifolium,SPECIES,,GENUS,13014,A,Herb.,,CITES_EU
florinda,SPECIES,,GENUS,13014,A,Rolfe,,CITES_EU
glebelandense,SPECIES,,GENUS,13014,A,Rolfe,,CITES_EU
haematodes,SPECIES,,GENUS,13014,A,Lindl.,,CITES_EU
rosefieldense,SPECIES,,GENUS,13014,A,Rolfe,,CITES_EU
serratum,SPECIES,,GENUS,13014,A,Schltr.,,CITES_EU
woodlandense,SPECIES,,GENUS,13014,A,Rolfe,,CITES_EU
alaskanum,SPECIES,,GENUS,12617,A,P.M.Br.,,CITES_EU
catherinae,SPECIES,,GENUS,12617,A,Aver.,,CITES_EU
lentiginosum,SPECIES,,GENUS,12617,A,P.J.Cribb & S.C.Chen,,CITES_EU
ludlowii,SPECIES,,GENUS,12617,A,P.J.Cribb,,CITES_EU
taibaiense,SPECIES,,GENUS,12617,A,G.H.Zhu & S.C.Chen,,CITES_EU
wenqingiae,SPECIES,,GENUS,12617,A,Perner,,CITES_EU
acaciifolium,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
acanthephippiiflorum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
acutifolium,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
acutilobum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
adamsii,SPECIES,,GENUS,13382,A,A.D.Hawkes,,CITES_EU
aduncilobum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
agamense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
agrostophylloides,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
agusanense,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
ajoebii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
alticola,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
anamalayanum,SPECIES,,GENUS,13382,A,"Chandrab., V.Chandras. & N.C.Nair",,CITES_EU
angustispathum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
annuligerum,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
apiculiferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
appendicula,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
appendiculatum,SPECIES,,GENUS,13382,A,(Blume) Lindl.,,CITES_EU
aprinoides,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
aprinum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
arachnoideum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
araneola,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
aratriferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
arfakense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
argiense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
armitiae,SPECIES,,GENUS,13382,A,F.M.Bailey,,CITES_EU
aromaticum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
arthrobulbum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
asperatum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
assamicum,SPECIES,,GENUS,13382,A,S.Chowdhury,,CITES_EU
aurantiiflammeum,SPECIES,,GENUS,13382,A,J.J.Wood,,CITES_EU
aureicolor,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
aureilobum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
axillare,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
bambusiforme,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
bambusinum,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
bandaense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
banghamii,SPECIES,,GENUS,13382,A,Ames & C.Schweinf.,,CITES_EU
beamanianum,SPECIES,,GENUS,13382,A,J.J.Wood & A.L.Lamb,,CITES_EU
bialatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
bicarinatum,SPECIES,,GENUS,13382,A,Ames & C.Schweinf.,,CITES_EU
bicostatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
bidentiferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
bihamulatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
bismarckiense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
blanche-amesiae,SPECIES,,GENUS,13382,A,A.D.Hawkes & A.H.Heller,,CITES_EU
brevibulbum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
brevicolle,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
brunnescens,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
bunuanense,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
cabadbarense,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
cadetia,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cadetiiflorum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cadetioides,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
calopogon,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
calothyrsos,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
candoonense,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
capitellatoides,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
carinulatidiscum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
carnicarinum,SPECIES,,GENUS,13382,A,Kores,,CITES_EU
carolinense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
caudiculatum,SPECIES,,GENUS,13382,A,(M.A.Clem. & D.L.Jones) Schuit. & de Vogel,,CITES_EU
cavipes,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
celebense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
centrale,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
ceraceum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
ceratostyloides,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cervicaliferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
chamaephytum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
chionanthum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
chrysobulbon,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
chrysographatum,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
chrysosema,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
chrysotainium,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
chrysotropis,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
clausum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
clavuligerum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
coelandria,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
coloratum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
compressicaule,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
compressistylum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
concavum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
confluens,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
confundens,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
conspicuum,SPECIES,,GENUS,13382,A,Bakh.f.,,CITES_EU
convexum,SPECIES,,GENUS,13382,A,(Blume) Lindl.,,CITES_EU
correllianum,SPECIES,,GENUS,13382,A,A.D.Hawkes & A.H.Heller,,CITES_EU
corticicola,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
courtauldii,SPECIES,,GENUS,13382,A,Summerh. ex J.J.Wood,,CITES_EU
crassiflorum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
crassinervium,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
crassulum,SPECIES,,GENUS,13382,A,(Schltr.) J.J.Sm.,,CITES_EU
crenatilabre,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
crenicristatum,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
crenulatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cucullitepalum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cultrifolium,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
cuneatum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
cuneilabium,SPECIES,,GENUS,13382,A,(Schltr.) J.J.Sm.,,CITES_EU
curvisepalum,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
curvum,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
cyanopterum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
cyatopoides,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cyclobulbon,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
cyclolobum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
cyclopense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
cymbiforme,SPECIES,,GENUS,13382,A,Rolfe,,CITES_EU
cyrtosepalum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
dactyliferum,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
dactylodes,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
daenikerianum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
dahlemense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
debile,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
decumbens,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
dempoense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
dendrocolla,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
denigratum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
diaphanum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
dichrotropis,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
dielsianum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
dilatatocolle,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
dimorphum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
dionaeoides,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
discerptum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
disoides,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
dissitifolium,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
ditschiense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
djamuense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
doormanii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
dulce,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
durum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
echinocarpum,SPECIES,,GENUS,13382,A,(Schltr.) J.J.Sm.,,CITES_EU
ecolle,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
elongaticolle,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
elongatum,SPECIES,,GENUS,13382,A,(Blume) Lindl.,,CITES_EU
emarginatum,SPECIES,,GENUS,13382,A,J.W.Moore,,CITES_EU
erectifolium,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
erectopatens,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
erectum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
eriopexis,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
erubescens,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
esuriens,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
eurorum,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
exasperatum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
exilifolium,SPECIES,,GENUS,13382,A,Ames & C.Schweinf.,,CITES_EU
extra-axillare,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
falcatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
falcipetalum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
fargesii,SPECIES,,GENUS,13382,A,Finet,,CITES_EU
ferdinandi,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
fililobum,SPECIES,,GENUS,13382,A,F.Muell.,,CITES_EU
finniganense,SPECIES,,GENUS,13382,A,D.L.Jones,,CITES_EU
fissum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
flabelliforme,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
flabelloides,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
fluctuosum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
foetens,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
leptophyton,SPECIES,,GENUS,13382,A,Schuit. & de Vogel,,CITES_EU
franssenianum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
fulgescens,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
funiforme,SPECIES,,GENUS,13382,A,Blume,,CITES_EU
furfuriferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
gatiense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
geminatum,SPECIES,,GENUS,13382,A,(Blume) Lindl.,,CITES_EU
gemmiferum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
gibbiferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
giriwoense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
gjellerupii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
glabrum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
glebulosum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
glossorhynchoides,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
gobiense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
goliathense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
gracilentum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
gracilicolle,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
gracilipes,SPECIES,,GENUS,13382,A,Burkill,,CITES_EU
gramineum,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
grossum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
gunnarii,SPECIES,,GENUS,13382,A,P.S.N.Rao,,CITES_EU
guttenbergii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
guttulatum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
