Scientific name,Rank,RecID,ParentRank,Parent recID,Status,Species Author,notes,Designation,AcceptedRank,AcceptedRecID
Acantholobivia,Genus,1500,Family,3,S,,,CITES_EU,,
Acanthorhipsalis,Genus,1501,Family,3,S,,,CITES_EU,,
Acharagma,Genus,1503,Family,3,S,,,CITES_EU,,
Achroanthes,Genus,1504,Family,4,S,,,CITES_EU,,
Acropera,Genus,1505,Family,4,S,,,CITES_EU,,
Actinophlebia,Genus,1506,Family,1,S,,,CITES_EU,,
Adelopetalum,Genus,1507,Family,4,S,,,CITES_EU,,
Adenium,Genus,1508,Family,11,S,,,CITES_EU,,
Adipe,Genus,1509,Family,4,S,,,CITES_EU,,
Aeridium,Genus,1510,Family,4,S,,,CITES_EU,,
Aerobion,Genus,1511,Family,4,S,,,CITES_EU,,
Afrormosia,Genus,1512,Family,19,S,,,CITES_EU,,
Agallochum,Genus,1513,Family,2,S,,,CITES_EU,,
Aggeianthus,Genus,1514,Family,4,S,,,CITES_EU,,
Alismorchis,Genus,1515,Family,4,S,,,CITES_EU,,
Alismorkis,Genus,1516,Family,4,S,,,CITES_EU,,
Aloinella,Genus,1517,Family,89,S,,,CITES_EU,,
Amalias,Genus,1518,Family,4,S,,,CITES_EU,,
Amaryllis,Genus,1519,Family,7,S,,,CITES_EU,,
Amblyglottis,Genus,1520,Family,4,S,,,CITES_EU,,
Amphicosmia,Genus,1521,Family,1,S,,,CITES_EU,,
Amphidesmium,Genus,1522,Family,98,S,,,CITES_EU,,
Amphigena,Genus,1523,Family,4,S,,,CITES_EU,,
Anacheilium,Genus,1524,Family,4,S,,,CITES_EU,,
Ancistrocactus,Genus,1525,Family,3,S,,,CITES_EU,,
Angorchis,Genus,1526,Family,4,S,,,CITES_EU,,
Anisocereus,Genus,1527,Family,3,S,,,CITES_EU,,
Anisopetalum,Genus,1528,Family,4,S,,,CITES_EU,,
Anisophyllum,Genus,1529,Family,10,S,,,CITES_EU,,
Anochilus,Genus,1530,Family,4,S,,,CITES_EU,,
Anota,Genus,1531,Family,4,S,,,CITES_EU,,
Anthacantha,Genus,1532,Family,10,S,,,CITES_EU,,
Anurosperma,Genus,1533,Family,8,S,,,CITES_EU,,
Aplotaxis,Genus,1534,Family,30,S,,,CITES_EU,,
Aporocactus,Genus,1535,Family,3,S,,,CITES_EU,,
Aporum,Genus,1536,Family,4,S,,,CITES_EU,,
Aquilariella,Genus,1537,Family,2,S,,,CITES_EU,,
Aralia,Genus,1538,Family,68,S,,,CITES_EU,,
Arbutus,Genus,1539,Family,26,S,,,CITES_EU,,
Arequipa,Genus,1540,Family,3,S,,,CITES_EU,,
Arethusantha,Genus,1541,Family,4,S,,,CITES_EU,,
Arietinum,Genus,1542,Family,4,S,,,CITES_EU,,
Arthrothamnus,Genus,1543,Family,10,S,,,CITES_EU,,
Ascocentropsis,Genus,1544,Family,4,S,,,CITES_EU,,
Ascolabium,Genus,1545,Family,4,S,,,CITES_EU,,
Aspidium,Genus,1546,Family,101,S,,,CITES_EU,,
Athyrium,Genus,1547,Family,108,S,,,CITES_EU,,
Aucklandia,Genus,1548,Family,30,S,,,CITES_EU,,
Aulacophyllum,Genus,1549,Family,13,S,,,CITES_EU,,
Aulizeum,Genus,1550,Family,4,S,,,CITES_EU,,
Aureliana,Genus,1551,Family,78,S,,,CITES_EU,,
Australorchis,Genus,1552,Family,4,S,,,CITES_EU,,
Austrocephalocereus,Genus,1553,Family,3,S,,,CITES_EU,,
Austrocylindropuntia,Genus,1554,Family,3,S,,,CITES_EU,,
Aylostera,Genus,1555,Family,3,S,,,CITES_EU,,
Azureocereus,Genus,1556,Family,3,S,,,CITES_EU,,
Backebergia,Genus,1557,Family,3,S,,,CITES_EU,,
Balanitum,Genus,1558,Family,38,S,,,CITES_EU,,
Balantium,Genus,1559,Family,99,S,,,CITES_EU,,
Bandura,Genus,1560,Family,8,S,,,CITES_EU,,
Barombia,Genus,1561,Family,4,S,,,CITES_EU,,
Bartschella,Genus,1562,Family,3,S,,,CITES_EU,,
Belonites,Genus,1563,Family,11,S,,,CITES_EU,,
Bicchia,Genus,1564,Family,4,S,,,CITES_EU,,
Blepharochilum,Genus,1565,Family,4,S,,,CITES_EU,,
Bolbophyllaria,Genus,1566,Family,4,S,,,CITES_EU,,
Bolivicereus,Genus,1567,Family,3,S,,,CITES_EU,,
Borzicactus,Genus,1568,Family,3,S,,,CITES_EU,,
Bowiea,Genus,1569,Family,90,S,,,CITES_EU,,
Brachythalamus,Genus,1570,Family,2,S,,,CITES_EU,,
Brasiliopuntia,Genus,1571,Family,3,S,,,CITES_EU,,
Brasiliparodia,Genus,1572,Family,3,S,,,CITES_EU,,
Buiningia,Genus,1573,Family,3,S,,,CITES_EU,,
Bulbophyllaria,Genus,1574,Family,4,S,,,CITES_EU,,
Bulbophyllopsis,Genus,1575,Family,4,S,,,CITES_EU,,
Burlingtonia,Genus,1576,Family,4,S,,,CITES_EU,,
Calanthidium,Genus,1577,Family,4,S,,,CITES_EU,,
Calceolus,Genus,1578,Family,4,S,,,CITES_EU,,
Callista,Genus,1579,Family,4,S,,,CITES_EU,,
Canacorchis,Genus,1580,Family,4,S,,,CITES_EU,,
Carparomorchis,Genus,1581,Family,4,S,,,CITES_EU,,
Castellanosia,Genus,1582,Family,3,S,,,CITES_EU,,
Catachaetum,Genus,1583,Family,4,S,,,CITES_EU,,
Catakidozamia,Genus,1584,Family,13,S,,,CITES_EU,,
Catevala,Genus,1585,Family,6,S,,,CITES_EU,,
Cathea,Genus,1586,Family,4,S,,,CITES_EU,,
Catlaelia,Genus,1587,Family,4,S,,,CITES_EU,,
Centrogenium,Genus,1588,Family,4,S,,,CITES_EU,,
Centrosia,Genus,1589,Family,4,S,,,CITES_EU,,
Centrosis,Genus,1590,Family,4,S,,,CITES_EU,,
Ceraia,Genus,1591,Family,4,S,,,CITES_EU,,
Chamaealoe,Genus,1592,Family,88,S,,,CITES_EU,,
Chamaecereus,Genus,1593,Family,3,S,,,CITES_EU,,
Chelonanthera,Genus,1594,Family,4,S,,,CITES_EU,,
Chianthemum,Genus,1595,Family,7,S,,,CITES_EU,,
Chiapasia,Genus,1596,Family,3,S,,,CITES_EU,,
Chileorebutia,Genus,1597,Family,3,S,,,CITES_EU,,
Chnoophora,Genus,1598,Family,1,S,,,CITES_EU,,
Clinhymenia,Genus,1599,Family,4,S,,,CITES_EU,,
Cochemiea,Genus,1600,Family,3,S,,,CITES_EU,,
Cochlia,Genus,1601,Family,4,S,,,CITES_EU,,
Coelandria,Genus,1602,Family,4,S,,,CITES_EU,,
Colax,Genus,1603,Family,4,S,,,CITES_EU,,
Coloradoa,Genus,1604,Family,3,S,,,CITES_EU,,
Columbea,Genus,1605,Family,25,S,,,CITES_EU,,
Consolea,Genus,1606,Family,3,S,,,CITES_EU,,
Cordula,Genus,1607,Family,4,S,,,CITES_EU,,
Cormiophyllum,Genus,1608,Family,1,S,,,CITES_EU,,
Corynopuntia,Genus,1609,Family,3,S,,,CITES_EU,,
Criosanthes,Genus,1610,Family,4,S,,,CITES_EU,,
Cryptocereus,Genus,1611,Family,3,S,,,CITES_EU,,
Ctenitis,Genus,1612,Family,101,S,,,CITES_EU,,
Ctenorchis,Genus,1613,Family,4,S,,,CITES_EU,,
Cumarinia,Genus,1614,Family,3,S,,,CITES_EU,,
Cumulopuntia,Genus,1615,Family,3,S,,,CITES_EU,,
Cupresstellata,Genus,1616,Family,54,S,,,CITES_EU,,
Cylindropuntia,Genus,1617,Family,3,S,,,CITES_EU,,
Cymbiglossum,Genus,1618,Family,4,S,,,CITES_EU,,
Cyperorchis,Genus,1619,Family,4,S,,,CITES_EU,,
