ComName,LangShort,RecId,Rank,Designation,ReferenceID
Bisbee Pincushion Cactus,ENG,106415,Species,CITES_EU,19002
Viparous Foxtail Cactus,ENG,106415,Species,CITES_EU,19002
Alpargata,SPA,106594,Species,CITES_EU,19734
Tuna de cruz,SPA,106594,Species,CITES_EU,19734
White Column Escobaria Cactus,ENG,106677,Species,CITES_EU,19002
Miniature Barrel Cactus,ENG,106817,Species,CITES_EU,19002
Pitcher-plant Yellow,ENG,106991,Species,CITES_EU,19629
Pitcher-plant Rainbow Trumpet,ENG,106992,Species,CITES_EU,19629
Pitcher-plant Hooded,ENG,106992,Species,CITES_EU,19629
Ruby Ball Cactus,ENG,107021,Species,CITES_EU,21489
Strawberry Cactus,ENG,107021,Species,CITES_EU,21489
Simpson's Prickly-apple Cactus,ENG,107057,Species,CITES_EU,19002
Aboriginal Prickly-apple Cactus,ENG,107100,Species,CITES_EU,19002
Yellow Prickly -apple Cactus,ENG,107100,Species,CITES_EU,19002
Grama-grass Cactus,ENG,107574,Species,CITES_EU,21429
Paper-spine Pincushion Cactus,ENG,107574,Species,CITES_EU,19002
garaman gajah,IND,109118,Species,CITES_EU,21399
harostulang,IND,109118,Species,CITES_EU,21399
leladarima,IND,109118,Species,CITES_EU,21399
sebah,IND,109118,Species,CITES_EU,21399
sienem-bengi,IND,109118,Species,CITES_EU,21399
sienem-bernih,IND,109118,Species,CITES_EU,21399
sienem-berugi,IND,109118,Species,CITES_EU,21399
si-pukhor-lisak,IND,109118,Species,CITES_EU,21399
Frauenschuh,DEU,1098,Species,CITES_EU,14229
Ladies Slipper Orchid,ENG,1098,Species,CITES_EU, 
Pianella della madonna,ITA,1098,Species,CITES_EU,19997
Sabot de vénus,FRA,1098,Species,CITES_EU,20582
Scarpetta di venere,ITA,1098,Species,CITES_EU,19997
Yellow Ladies Slipper Orchid,ENG,1098,Species,CITES_EU, 
Karas,IND,110210,Species,CITES_EU,21399
hebek,ARA,110659,Species,CITES_EU,20146
Ponga,MRI,111226,Species,CITES_EU,20226
Silver Tree Fern,ENG,111226,Species,CITES_EU,20226
flor de pascua del monte,SPA,111228,Species,CITES_EU,21118
Salep shqipëtar,SQI,111442,Species,CITES_EU,20178
rriell i heldraihit,SQI,111494,Species,CITES_EU,20178
Jack-in-the-pulpit,ENG,111783,Species,CITES_EU,21064
Tian nan xing,ZHO,111783,Species,CITES_EU,21059
Sérapias négligé,FRA,115719,Species,CITES_EU,20582
Taiwan dielan,ZHO,11707,Species,CITES_EU,17617
Blue Vanda,ENG,11808,Species,CITES_EU,7389
Vanda azul,SPA,11808,Species,CITES_EU, 
Vanda cerulea,ITA,11808,Species,CITES_EU,21486
Vanda coklat,ZLM,11841,Species,CITES_EU,15204
Lan hai dai cuon,VIE,11879,Species,CITES_EU,20985
Lan hai long,VIE,11891,Species,CITES_EU,20985
Hong Kong Slipper Orchid,ENG,11897,Species,CITES_EU,19924
Ink Orchid,ENG,11987,Species,CITES_EU,19924
Common Fragrant Cymbidium,ENG,12005,Species,CITES_EU,19924
caper spurge,ENG,120275,Species,CITES_EU,21121
Bois d'Ébène Marbreûfeuilles,FRA,12222,Species,CITES_EU,21329
Lelia-de-Sao-fidelis,POR,12325,Species,CITES_EU,17079
Lelia-da-Bahia,POR,12331,Species,CITES_EU,17079
Lelia-escura,POR,12353,Species,CITES_EU,17079
Lelia-verde,POR,12354,Species,CITES_EU,17079
Lelia-amarela,POR,12355,Species,CITES_EU,17079
Scimitar-leaf Dendrobe,ENG,12467,Species,CITES_EU,19924
Angel-fish Dendrobe,ENG,12468,Species,CITES_EU,19924
e. variable,FRA,124687,Species,CITES_EU,20582
Heijiecao,ZHO,12479,Species,CITES_EU,17617
Hoang thao sung dai,VIE,12511,Species,CITES_EU,20985
Dendrobium Stem,ENG,12521,Species,CITES_EU,22208
Dendrobium,ENG,12521,Species,CITES_EU, 
Dendrobium-Kraut,DEU,12521,Species,CITES_EU,22208
Sekkoku,JPN,12521,Species,CITES_EU,22208
Shi Hu,ZHO,12521,Species,CITES_EU,22208
Shihu-hu,ZHO,12521,Species,CITES_EU,22208
Hoang thao dom tia,VIE,12547,Species,CITES_EU,20985
Cooktown Orchid,ENG,13124,Species,CITES_EU,14010
rainbow plant,ENG,13209,Species,CITES_EU, 
southern byblis,ENG,13209,Species,CITES_EU, 
Black Kangaroo Paw,ENG,13461,Species,CITES_EU, 
qualup bell,ENG,14286,Species,CITES_EU,21477
Bois d'Ébèneûfeuilles,FRA,14534,Species,CITES_EU,21329
Bois d'Ébèneûfeuilles,FRA,14535,Species,CITES_EU,21329
Metallic Sun Orchid,ENG,14719,Species,CITES_EU,19805
Aloes,ENG,147981,Species,CITES_EU, 
Lu Hui,ZHO,147981,Species,CITES_EU, 
Bois d'Ébèneûfeuilles,FRA,14800,Species,CITES_EU,21329
Bois d'Ébèneûfeuilles,FRA,14801,Species,CITES_EU,21329
Cyclamen Rouge Pourpre,FRA,150240,Species,CITES_EU,20581
Kayu taji,IND,152239,Species,CITES_EU,21399
Tampinur batu,IND,152239,Species,CITES_EU,21399
Ramin,ENG,152616,Species,CITES_EU, 
Ophrys de l'aveyron,FRA,152922,Species,CITES_EU,20528
Ophrys miroir,FRA,152924,Species,CITES_EU,20528
Man Fern,ENG,15409,Species,CITES_EU, 
Hawaiian Tree Fern,ENG,15464,Species,CITES_EU, 
Grahm's Nipple Cactus,ENG,15679,Species,CITES_EU,19002
Green-fruit Nipple Cactus,ENG,15704,Species,CITES_EU,19002
Pitayta,ITA,15761,Species,CITES_EU,21486
argençana-dos-pastores,POR,158881,Species,CITES_EU,21462
Desert rose,ENG,159437,Species,CITES_EU,21462
désert rose,FRA,159437,Species,CITES_EU,21462
uva-de-urso,POR,159588,Species,CITES_EU,21462
Bitter ghaap,ENG,161447,Species,CITES_EU,22256
devil's claw,ENG,161578,Species,CITES_EU, 
grapple plant,ENG,161578,Species,CITES_EU,14010
Agave a fiore piccolo,ITA,162304,Species,CITES_EU,21486
Santa Cruz Striped Agave,ENG,162304,Species,CITES_EU,21469
Barjevka,SLN,1626,Species,CITES_EU,13662
Bog Orchid,ENG,1626,Species,CITES_EU,13352
Malaxis des tourbières,FRA,1626,Species,CITES_EU,20528
Cactus Navajo di Peeble,ITA,162803,Species,CITES_EU,21486
Peebles' Navajo Cactus,ENG,162803,Species,CITES_EU,21429
Campanas de Oconee,SPA,163044,Species,CITES_EU, 
Oconee Bells,ENG,163044,Species,CITES_EU,21429
Illscented Wakerobin,ENG,163122,Species,CITES_EU,21445
Abete del Guatemala,ITA,163807,Species,CITES_EU,21486
Abeto Mexicano,SPA,163807,Species,CITES_EU,22187
Abeto,SPA,163807,Species,CITES_EU,22187
Gautemalan Fir,ENG,163807,Species,CITES_EU,22187
Guatemala-Tanne,DEU,163807,Species,CITES_EU, 
Mexican Fir,ENG,163807,Species,CITES_EU,22187
Pinabete,SPA,163807,Species,CITES_EU, 
Corded Ghost Orchid,ENG,164939,Species,CITES_EU,22135
Tieu hoang do,VIE,167035,Species,CITES_EU,20985
Lan sua ba rang,VIE,167060,Species,CITES_EU,20985
Bach manh sigald,VIE,167094,Species,CITES_EU,20985
