Fleshy Artichoke Coral,English,54
Pied Sparrowhawk,English,88
Pied Goshawk,English,88
Gavilán pío,Spanish,88
Autour pie,French,88
Little Banded Sparrowhawk,English,89
Shikra,English,89
Gavilán chikra,Spanish,89
Épervier shikra,French,89
Bicolored Sparrowhawk,English,90
Bicolored Hawk,English,90
Gavilán bicolor,Spanish,90
Esparvero bicolor,Spanish,90
Azor bicolor,Spanish,90
Gavilán pantalón,Spanish,90
Épervier bicolore,French,90
New Britain Sparrowhawk,English,91
Gavilancito de Nueva Bretaña,Spanish,91
Épervier de Nouvelle-Bretagne,French,91
Red-collared Sparrowhawk,English,91
Levant Sparrowhawk,English,92
Gavilán griego,Spanish,92
Épervier à pieds courts,French,92
Épervier à pieds courts,French,92
Gavilán Griego,Spanish,92
Nicobar Shikra,English,93
Nicobar Sparrowhawk,English,93
Gavilán de Nicobar,Spanish,93
Épervier des Nicobar,French,93
Chestnut-bellied Sparrowhawk,English,94
Chestnut-flanked Sparrowhawk,English,94
Gavilán pechirrojo,Spanish,94
Gavilán flanquirrojo,Spanish,94
Autour à flancs roux,French,94
Collared Sparrowhawk,English,96
Gavilán acollarado,Spanish,96
Épervier à collier roux,French,96
Semi-collared Sparrowhawk,English,97
Semi-collared Hawk,English,97
Azer semicollarejo,Spanish,97
Gavilán acollarado,Spanish,97
Gavilancito torcaz,Spanish,97
Épervier à collier interrompu,French,97
Cooper's Hawk,English,98
Gavilán de Cooper,Spanish,98
Épervier de Cooper,French,98
Moluccan Sparrowhawk,English,99
Rufous-necked Sparrowhawk,English,99
Gavilancito moluqueño,Spanish,99
Épervier à gorge grise,French,99
Red-thighed Sparrowhawk,English,101
Gavilancito de Hartlaub,Spanish,101
Gavilancito muslirrojo,Spanish,101
Autour minulle,French,101
Épervier de Hartlaub,French,101
Australasian Goshawk,English,102
Brown Goshawk,English,102
Azor australiano,Spanish,102
Autour australien,French,102
Frances's Goshawk,English,103
Gavilán de Frances,Spanish,103
Épervier de Frances,French,103
Frances's Sparrowhawk,English,103
Goshawk,English,104
Northern Goshawk,English,104
Gavilán azor,Spanish,104
Azor,Spanish,104
Azor común,Spanish,104
Autour des palombes,French,104
Autour des palombes,French,104
Sulawesi Goshawk,English,105
Gavilán de Célebes,Spanish,105
Autour des Célèbes,French,105
Celebes Crested Goshawk,English,105
Japanese Lesser Sparrowhawk,English,106
Japanese Sparrowhawk,English,106
Gavilancito japonés,Spanish,106
Épervier du Japon,French,106
Gundlach's Hawk,English,107
Gavilán cubano,Spanish,107
Épervier de Cuba,French,107
Gundlach's Sparrowhawk,English,107
New Caledonia Goshawk,English,108
White-bellied Goshawk,English,108
