Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
var. redoutei,VARIETY,,SPECIES,27195,S,Rupr. ex Regel,,CITES_EU,SPECIES,17847
caucasicus,SUBSPECIES,,SPECIES,27195,S,Baker,,CITES_EU,SPECIES,17847
var. caucasicus,VARIETY,,SPECIES,27195,S,(Baker) Beck,,CITES_EU,SPECIES,17847
caucasicus,SPECIES,,GENUS,13395,S,(Baker) Grossh.,,CITES_EU,SPECIES,17847
caucasicus,SUBSPECIES,,SPECIES,17847,S,(Baker) Gagnidze,,CITES_EU,SPECIES,17847
bortkewitschianus,SPECIES,,GENUS,13395,S,Koss,,CITES_EU,SPECIES,17847
cilicicus,SUBSPECIES,,SPECIES,27195,S,(Baker) Gottl.-Tann.,,CITES_EU,SPECIES,14245
var. major,VARIETY,,SPECIES,18774,S,Anon.,,CITES_EU,SPECIES,18774
var. maximus,VARIETY,,SPECIES,18774,S,(Velen.) Beck,,CITES_EU,SPECIES,18774
maximus,SUBSPECIES,,SPECIES,18774,S,(Velen.) Kožuharov & N.Andreev,,CITES_EU,SPECIES,18774
var. robustus,VARIETY,,SPECIES,18774,S,Baker,,CITES_EU,SPECIES,18774
var. whittallii,VARIETY,,SPECIES,18774,S,S.Arn. Ex Moon,,CITES_EU,SPECIES,18774
var. platyphyllus,VARIETY,,SPECIES,18774,S,Kamari,,CITES_EU,SPECIES,18774
var. fosteri,VARIETY,,SPECIES,42366,S,(Baker) Beck,,CITES_EU,SPECIES,25420
var. antepensis,VARIETY,,SPECIES,25420,S,Zeybek & E.Sauer ex N.Kandemir & Akcin,,CITES_EU,SPECIES,25420
var. stenophyllus,VARIETY,,SPECIES,18774,S,Kamari,,CITES_EU,SPECIES,25701
var. multiplex,VARIETY,,SPECIES,27195,S,Weston,,CITES_EU,SPECIES,27195
var. plenus,VARIETY,,SPECIES,27195,S,Weston,,CITES_EU,SPECIES,27195
var. major,VARIETY,,SPECIES,27195,S,Ten.,,CITES_EU,SPECIES,27195
var. minor,VARIETY,,SPECIES,27195,S,Ten.,,CITES_EU,SPECIES,27195
var. hortensis,VARIETY,,SPECIES,27195,S,Herb.,,CITES_EU,SPECIES,27195
montanus,SPECIES,,GENUS,13395,S,Schur,,CITES_EU,SPECIES,27195
var. montanus,VARIETY,,SPECIES,27195,S,(Schur) Porcius,,CITES_EU,SPECIES,27195
var. scharlockii,VARIETY,,SPECIES,27195,S,Casp.,,CITES_EU,SPECIES,27195
var. sandersii,VARIETY,,SPECIES,27195,S,Harpur-Crewe,,CITES_EU,SPECIES,27195
umbricus,SPECIES,,GENUS,13395,S,Dammann,,CITES_EU,SPECIES,27195
var. hololeuca,VARIETY,,SPECIES,27195,S,Čelak.,,CITES_EU,SPECIES,27195
warei,SPECIES,,GENUS,13395,S,J.Allen,,CITES_EU,SPECIES,27195
var. alexandri,VARIETY,,SPECIES,27195,S,Porcius,,CITES_EU,SPECIES,27195
var. spitzneri,VARIETY,,SPECIES,27195,S,Podp.,,CITES_EU,SPECIES,27195
var. atkinsii,VARIETY,,SPECIES,27195,S,Mallett,,CITES_EU,SPECIES,27195
var. viridiapice,VARIETY,,SPECIES,27195,S,Barr ex Bowles,,CITES_EU,SPECIES,27195
var. carpaticus,VARIETY,,SPECIES,27195,S,S.S.Fodor,,CITES_EU,SPECIES,27195
var. plicatus,VARIETY,,SPECIES,27195,S,(M.Bieb.) Regel,,CITES_EU,SPECIES,21557
plicatum,SPECIES,,GENUS,39659,S,(M.Bieb.) Kuntze,,CITES_EU,SPECIES,21557
plicatus,SUBSPECIES,,SPECIES,27195,S,(M.Bieb.) Gottl.-Tann.,,CITES_EU,SPECIES,21557
var. byzantinus,VARIETY,,SPECIES,21557,S,(Baker) Beck,,CITES_EU,SPECIES,21557
byzantinus,SUBSPECIES,,SPECIES,27195,S,(Baker) Gottl.-Tann.,,CITES_EU,SPECIES,21557
gueneri,SUBSPECIES,,SPECIES,21557,S,Zeybek,,CITES_EU,SPECIES,21557
karamanoghluensis,SUBSPECIES,,SPECIES,21557,S,Zeybek,,CITES_EU,SPECIES,21557
vardarii,SUBSPECIES,,SPECIES,21557,S,Zeybek,,CITES_EU,SPECIES,21557
var. viridifolius,VARIETY,,SPECIES,21557,S,P.D.Sell,,CITES_EU,SPECIES,21557
reginae-olgae,SUBSPECIES,,SPECIES,27195,S,(Orph.) Gottl.-Tann,,CITES_EU,SPECIES,26040
olgae,SPECIES,,GENUS,13395,S,Orph. ex Boiss.,,CITES_EU,SPECIES,26040
olgae,SPECIES,,GENUS,39659,S,(Orph. ex Boiss.) Kuntze,,CITES_EU,SPECIES,26040
octobrensis,SPECIES,,GENUS,13395,S,T.Short,,CITES_EU,SPECIES,26040
olgae-reginae,SPECIES,,GENUS,13395,S,Leichtlin,,CITES_EU,SPECIES,26040
elsae,SPECIES,,GENUS,13395,S,Burb.,,CITES_EU,SPECIES,26040
rachelae,SPECIES,,GENUS,13395,S,Burb.,,CITES_EU,SPECIES,26040
corcyrensis,SPECIES,,GENUS,13395,S,(Beck) Stern,,CITES_EU,SPECIES,26040
corcyrensis,SUBSPECIES,,SPECIES,26040,S,(Beck) Kamari,,CITES_EU,SPECIES,26040
vernalis,SUBSPECIES,,SPECIES,26040,S,Kamari,,CITES_EU,SPECIES,26040
var. caspius,VARIETY,,SPECIES,27195,S,Rupr.,,CITES_EU,SPECIES,20154
clusianus,SPECIES,,GENUS,39268,S,(Ker Gawl.) Herb.,,CITES_EU,SPECIES,24253
macranthus,SPECIES,,GENUS,39268,S,J.Gay,,CITES_EU,SPECIES,24253
citrinus,SPECIES,,GENUS,39268,S,(Sm.) Herb.,,CITES_EU,SPECIES,22537
var. graeca,VARIETY,,SPECIES,17074,S,Rchb.,,CITES_EU,SPECIES,22537
graeca,SUBSPECIES,,SPECIES,17074,S,(Rchb.) K.Richt.,,CITES_EU,SPECIES,22537
etnensis,SPECIES,,GENUS,39487,S,Raf.,,CITES_EU,SPECIES,22537
etnensis,SPECIES,,GENUS,13098,S,(Raf.) Guss.,,CITES_EU,SPECIES,22537
etnensis,SUBSPECIES,,SPECIES,22537,S,(Raf.) P.Fourn.,,CITES_EU,SPECIES,22537
var. dalmatica,VARIETY,,SPECIES,22537,S,Rchb.,,CITES_EU,SPECIES,22537
dalmatica,SUBSPECIES,,SPECIES,22537,S,(Rchb.) K.Richt.,,CITES_EU,SPECIES,22537
var. alexandrae,VARIETY,,SPECIES,22537,S,(Sosn.) Artjush.,,CITES_EU,SPECIES,22537
greuteriana,SUBSPECIES,,SPECIES,17074,S,(Kamari & R.Artelari) Strid,,CITES_EU,SPECIES,17074
minoica,SPECIES,,GENUS,13098,S,Ravenna,,CITES_EU,SPECIES,17074
angustifolia,SPECIES,,GENUS,13098,S,Krelage,,CITES_EU,SPECIES,17074
siculus,SPECIES,,GENUS,39268,S,(Tineo ex Guss.) Parl.,,CITES_EU,SPECIES,17074
bispinosus,SPECIES,,GENUS,39602,S,L.f.,,CITES_EU,SPECIES,28219
leucoxanthum,SUBSPECIES,,SPECIES,28536,S,Lüthy,,CITES_EU,SPECIES,28536
bemarahense,SUBSPECIES,,SPECIES,21335,S,Lüthy & Lavranos,,CITES_EU,SPECIES,21335
bicolor,SUBSPECIES,,SPECIES,21335,S,(Lavranos & Rapan.) Lüthy,,CITES_EU,SPECIES,21335
gracilius,SUBSPECIES,,SPECIES,21335,S,(H.Perrier) Lüthy,,CITES_EU,SPECIES,21335
makayense,SUBSPECIES,,SPECIES,21335,S,(Lavranos) Lüthy,,CITES_EU,SPECIES,21335
cactipes,SUBSPECIES,,SPECIES,21335,S,(K.Schum.) Lüthy,,CITES_EU,SPECIES,21335
tuberosus,SPECIES,,GENUS,39602,S,Haw. ex Steud.,,CITES_EU,SPECIES,13793
succulentum,SPECIES,,GENUS,13443,S,Steud.,,CITES_EU,SPECIES,13793
var. euphorbioides,VARIETY,,SPECIES,103592,S,(Schltdl. ex Ledeb.),,CITES_EU,SPECIES,99659
var. altaicum,VARIETY,,SPECIES,103592,S,Maxim.,,CITES_EU,SPECIES,99659
var. jeniseense,VARIETY,,SPECIES,103592,S,Maxim.,,CITES_EU,SPECIES,99659
kawaguchii,SUBSPECIES,,SPECIES,99660,S,H.Ohba,,CITES_EU,SPECIES,99660
atuntsuensis,SUBSPECIES,,SPECIES,99708,S,(Praeger) H.Ohba,,CITES_EU,SPECIES,99664
cooperi,SPECIES,,GENUS,103597,S,Clémenc.,,CITES_EU,SPECIES,99665
var. parvum,VARIETY,,SPECIES,104406,S,Fröd.,,CITES_EU,SPECIES,99665
var. parva,VARIETY,,SPECIES,99665,S,(Fröd.) H.Ohba,,CITES_EU,SPECIES,99665
var. balfourii,VARIETY,,SPECIES,104576,S,Raym.-Hamet,,CITES_EU,SPECIES,99667
var. balfourii,VARIETY,,SPECIES,104230,S,(Raym.-Hamet) Raym.-Hamet,,CITES_EU,SPECIES,99667
var. forrestii,VARIETY,,SPECIES,104576,S,Raym.-Hamet,,CITES_EU,SPECIES,99667
var. dielsianum,VARIETY,,SPECIES,104230,S,(H.Limpr.) Raym.-Hamet,,CITES_EU,SPECIES,99667
var. ovatisepalum,VARIETY,,SPECIES,104230,S,Raym.-Hamet,,CITES_EU,SPECIES,99667
var. chingii,VARIETY,,SPECIES,104011,S,S.H.Fu,,CITES_EU,SPECIES,99667
sexifolia,SPECIES,,GENUS,99655,S,S.H.Fu,,CITES_EU,SPECIES,99667
sexifolia,SUBSPECIES,,SPECIES,99667,S,(S.H.Fu) H.Ohba,,CITES_EU,SPECIES,99667
sacra,SUBSPECIES,,SPECIES,99667,S,(Raym.-Hamet) H.Ohba,,CITES_EU,SPECIES,99667
tieghemii,SPECIES,,GENUS,103597,S,Raym.-Hamet,,CITES_EU,SPECIES,99667
var. tieghemii,VARIETY,,SPECIES,104230,S,(Raym.-Hamet) Raym.-Hamet,,CITES_EU,SPECIES,99667
tieghemii,SPECIES,,GENUS,99655,S,(Raym.-Hamet) S.H.Fu,,CITES_EU,SPECIES,99667
var. sacrum,VARIETY,,SPECIES,104230,S,Raym.-Hamet,,CITES_EU,SPECIES,99667
sacrum,SPECIES,,GENUS,103597,S,(Raym.-Hamet) H.Ohba,,CITES_EU,SPECIES,99667
tsuiana,SPECIES,,GENUS,99655,S,S.H.Fu,,CITES_EU,SPECIES,99667
alterna,SPECIES,,GENUS,99655,S,S.H.Fu,,CITES_EU,SPECIES,99667
coccineum,SUBSPECIES,,SPECIES,104380,S,(Royle) Kozhevn.,,CITES_EU,SPECIES,99668
var. macrophylla,VARIETY,,SPECIES,99668,S,Revuschkin,,CITES_EU,SPECIES,99668
scabrida,SUBSPECIES,,SPECIES,99668,S,(Franch.) H.Ohba,,CITES_EU,SPECIES,99668
scabridum,SPECIES,,GENUS,103597,S,Franch.,,CITES_EU,SPECIES,99668
scabrida,SPECIES,,GENUS,99655,S,(Franch.) S.H.Fu,,CITES_EU,SPECIES,99668
likiangense,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99668
likiangensis,SPECIES,,GENUS,99655,S,(Fröd.) S.H.Fu,,CITES_EU,SPECIES,99668
brachystylum,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99668
var. oblongatum,VARIETY,,SPECIES,104168,S,C.Marquand & Airy Shaw,,CITES_EU,SPECIES,99669
