Author, Year, Title, Scope
"Arndt, T. ","2008"," Anmerkungen zu einigen Pyrrhura-Formen mit der Beschreibung einer neuen Art und zweier neuer Unterarten. – Papageien, 8: 278-286. ","Pyrrhura parvifrons"
"Collar, N. J. ","1997"," Family Psittacidae (Parrots). In del Hoyo, J., Elliot, A. and Sargatal, J. (eds.), Handbook of the Birds of the World, 4 (Sandgrouse to Cuckoos): 280-477. Barcelona (Lynx Edicions). ","Psittacula intermedia;Trichoglossus haematodus"
"Collar, N. J. ","2006"," A partial revision of the Asian babblers (Timaliidae). – Forktail,22: 85-112. ","Garrulax taewanus"
"Cortés-Diago, A., Ortega, L. A., Mazariegos-Hurtado, L. & Weller, A.-A. ","2007"," A new species of Eriocnemis (Trochilidae) from southwest Colombia. -- Ornitologia Neotropical, 18: 161-170. ","Eriocnemis isabellae"
"da Silva, J. M. C., Coelho, G. & Gonzaga, P. ","2002"," Discovered on the brink of extinction: a new species of pygmy owl (Strigidae: Glaucidium) from Atlantic forest of northeastern Brazil. – Ararajuba, 10(2): 123-130. ","Glaucidium mooreorum"
"Gaban-Lima, R., Raposo, M. A. & Hofling, E. ","2002"," Description of a new species of Pionopsitta (Aves: Psittacidae) endemic to Brazil. – Auk, 119: 815-819. ","Pionopsitta aurantiocephala"
"Indrawan, M. & Somadikarta, S. ","2004"," A new hawk-owl from the Togian Islands, Gulf of Tomini, central Sulawesi, Indonesia. -- Bulletin of the British Ornithologists' Club, 124: 160-171. ","Ninox burhani"
"Nemesio, A. & Rasmussen, C. ","2009"," The rediscovery of Buffon’s “Guarouba” or “Perriche jaune”: two senior synonyms of Aratinga pintoi Silveira, lima & Höfling, 2005 (Aves: Psittaciformes). – Zootaxa, 2013: 1-16. ","Aratinga maculata"
"Parry, S. J., Clark, W. S. & Prakash, V. ","2002"," On the taxonomic status of the Indian Spotted Eagle Aquila hastata. – Ibis, 144: 665-675. ","Aquila hastata"
"Roselaar, C. S. & Michels, J. P. ","2004"," Nomenclatural chaos untangled, resulting in the naming of the formally undescribed Cacatua species from the Tanimbar Islands, Indonesia (Psittaciformes: Cacatuidae). -- Zoologische Verhandelingen, 350: 183-196. ","Cacatua goffiniana"
"Warakagoda, D. H. & Rasmussen, P. C. ","2004"," A new species of scops-owl from Sri Lanka. – Bulletin of the British Ornithologists' Club, 124(2): 85-105. ","Otus thilohoffmanni"
"Whittaker, A. ","2002"," A new species of forest-falcon (Falconidae: Micrastur) from southeastern Amazonia and the Atlantic rainforests of Brazil. – Wilson Bulletin, 114: 421-445. ","Micrastur mintoni"
"Andreone, F., Mattioli, F., Jesu, R. & Randrianirina, J. E. ","2001"," Two new chameleons of the genus Calumma from north-east Madagascar, with observations on hemipenial morphology in the Calumma furcifer group (Reptilia, Squamata, Chamaeleonidae) – Herpetological Journal, 11: 53-68. ","Calumma vatosoa;Calumma vencesi"
"Aplin, K. P., Fitch, A. J. & King, D. J. ","2006"," A new species of Varanus Merrem (Squamata: Varanidae) from the Pilbara region of Western Australia, with observations on sexual dimorphism in closely related species. – Zootaxa, 1313: 1-38. ","Varanus bushi"
"Avila Pires, T. C. S. ","1995"," Lizards of Brazilian Amazonia (Reptilia: Squamata) – Zoologische Verhandelingen, 299: 706 pp. ","Tupinambis"
"Böhme, W. ","1997"," Eine neue Chamäleon-Art aus der Calumma gastrotaenia – Verwandtschaft Ost-Madagaskars – Herpetofauna (Weinstadt), 19 (107): 5-10. ","Calumma glawi"
"Böhme, W. ","2003"," Checklist of the living monitor lizards of the world (family Varanidae) – Zoologische Verhandelingen. Leiden, 341: 1-43. ","Varanidae"
"Böhme, W. & Ziegler, T. ","2005"," A new monitor lizard from Halmahera, Moluccas, Indonesia (Reptilia: Squamata: Varanidae). – Salamandra, 41(1/2): 51-59. ","Varanus zugorum"
"Branch, W. R. ","2007"," A new species of tortoise of the genus Homopus (Chelonia: Testudinidae) from southern Namibia. – African Journal of Herpetology, 56(1): 1-21. ","Homopus solus"
"Branch, W. R., Tolley, K. A. & Tilbury, C. R. ","2006"," A new Dwarf Chameleon (Sauria: Bradypodion Fitzinger, 1843) from the Cape Fold Mountains, South Africa. – African Journal Herpetology, 55(2): 123-141. ","Bradypodion atromontanum"
"Broadley, D. G. ","1999"," The southern African python, Python natalensis A. Smith 1840, is a valid species. –African Herp News 29: 31-32. ","Python natalensis"
"Broadley, D. G. ","2006"," CITES Standard reference for the species of Cordylus (Cordylidae, Reptilia) prepared at the request of the CITES Nomenclature Committee ","Cordylus"
"Burton, F. J. ","2004"," Revision to Species Cyclura nubila lewisi, the Grand Cayman Blue Iguana – Caribbean Journal of Science, 40(2): 198-203. ","Cyclura lewisi"
"Cei, J. M. ","1993"," Reptiles del noroeste, nordeste y este de la Argentina – herpetofauna de las selvas subtropicales, Puna y Pampa – Monografie XIV, Museo Regionale di Scienze Naturali. ","Tupinambis"
"Colli, G. R., Péres, A. K. & da Cunha, H. J. ","1998"," A new species of Tupinambis (Squamata: Teiidae) from central Brazil, with an analysis of morphological and genetic variation in the genus – Herpetologica 54: 477-492. ","Tupinambis cerradensis"
"Dirksen, L. ","2002"," Anakondas. NTV Wissenschaft. ","Eunectes beniensis"
"Domínguez, M., Moreno, L. V. & Hedges, S. B. ","2006"," A new snake of the genus Tropidophis (Tropidophiidae) from the Guanahacabibes Peninsula of Western Cuba. – Amphibia-Reptilia, 27 (3): 427-432. ","Tropidophis xanthogaster"
"Eidenmüller, B. & Wicker, R. ","2004"," Eine weitere neue Waranart aus dem Varanus prasinus-Komplex von der Insel Misol, Indonesien. – Sauria, 27(1): 3-8. ","Varanus reisingeri"
"Fitzgerald, L. A., Cook, J. A. & Luz Aquino, A. ","1999"," Molecular Phylogenetics and Conservation of Tupinambis (Sauria: Teiidae). – Copeia, 4: 894-905. ","Tupinambis duseni"
"Fritz, U. & Havaš, P. ","2007"," Checklist of Chelonians of the World. – Vertebrate Zoology, 57(2): 149-368. Dresden. ISSN 1864-5755 ","without its appendix; for Testudines for species;family names – with the exception of the retention of the following names Mauremys iversoni, Mauremys pritchardi, Ocadia glyphistoma, Ocadia philippeni, Sacalia pseudocellata"
"Glaw, F., Kosuch, J., Henkel, W. F., Sound, P. and Böhme, W. ","2006"," Genetic and morphological variation of the leaf-tailed gecko Uroplatus fimbriatus from Madagascar, with description of a new giant species. – Salamandra, 42: 129-144. ","Uroplatus giganteus"
"Glaw, F. & M. Vences ","2007"," A field guide to the amphibians and reptiles of Madagascar, third edition. Vences & Glaw Verlag, 496 pp. ","Calumma ambreense"
"Hallmann, G., Krüger, J. & Trautmann, G. ","2008"," Faszinierende Taggeckos. Die Gattung Phelsuma. 2. überarbeitete und erweiterte Auflage, 253 pp., Münster (Natur und Tier – Verlag). ISBN 978-3-86659-059-5. ","Phelsuma spp., however, with the retention of Phelsuma ocellata"
"Harvey, M. B., Barker, D. B., Ammerman, L. K. & Chippindale, P. T. ","2000"," Systematics of pythons of the Morelia amethistina complex (Serpentes: Boidae) with the description of three new species – Herpetological Monographs, 14: 139-185. ","Morelia clastolepis, Morelia nauta;Morelia tracyae,;elevation to species level of Morelia kinghorni"
"Hedges, B. S., Estrada, A. R. & Diaz, L. M. ","1999"," New snake (Tropidophis) from western Cuba – Copeia 1999(2): 376-381. ","Tropidophis celiae"
"Hedges, B. S. & Garrido, O. ","1999"," A new snake of the genus Tropidophis (Tropidophiidae) from central Cuba – Journal of Herpetology, 33: 436-441. ","Tropidophis spiritus"
"Hedges, B. S., Garrido, O. & Diaz, L. M. ","2001"," A new banded snake of the genus Tropidophis (Tropidophiidae) from north-central Cuba – Journal of Herpetology,35: 615-617. ","Tropidophis morenoi"
"Hedges, B. S. & Garrido, O. ","2002"," A new snake of the genus Tropidophis (Tropidophiidae) from Eastern Cuba – Journal of Herpetology, 36:157-161. ","Tropidophis hendersoni"
