Author, Year, Title, Scope
"Montanucci, R.R. ","2004"," Geographic variation in Phrynosoma coronatum (Lacertilia, Phrynosomatidae): further evidence for a peninsular archipelago. – Herpetologica, 60: 117. ","Phrynosoma blainvillii, Phrynosoma cerroense, Phrynosoma wigginsi"
"Necas, P., Modry, D. & Slapeta, J. R. ","2003"," Chamaeleo (Triceros) narraioca n. sp. (Reptilia Chamaeleonidae), a new chamaeleon species from a relict montane forest of Mount Kulal, northern Kenya. – Tropical Zool., 16:1-12. ","Chamaeleo narraioca"
"Necas, P., Modry, D. & Slapeta, J. R. ","2005"," Chamaeleo (Triceros) ntunte n. sp. a new chamaeleon species from Mt. Nyiru, northern Kenya (Squamata: Sauria: Chamaeleonidae). – Herpetozoa, 18/3/4): 125-132. ","Chamaeleo ntunte"
"Pough, F. H., Andrews, R. M., Cadle, J. E., Crump, M. L., Savitzky, A. H. & Wells, K. D. ","1998"," Herpetology. Upper Saddle River/New Jersey (Prentice Hall). ","delimitation of families within the Sauria"
"Praschag, P. Hundsdörfer, A. K. & Fritz, U. ","2007"," Phylogeny and taxonomy of endangered South and South-east Asian freshwater turtles elucidates by mtDNA sequence variation (Testudines: Geoemydidae: Batagur, Callagur, Hardella, Kachuga, Pangshura). -- Zoologica Scripta, 36: 429-442. ","Batagur borneoensis, Batagur dhongoka, Batagur kachuga, Batagur trivittata"
"Praschag, P., Sommer, R. S., Mccarthy, C., Gemel, R. & Fritz, U. ","2008"," Naming one of the world's rarest chelonians, the southern Batagur. – Zootaxa, 1758: 61-68. ","Batagur affinis"
"Raw, L. & Brothers, D. J. ","2008"," Redescription of the South African dwarf chameleon, Bradypodion nemorale Raw 1978 (Sauria: Chamaeleonidae), and description of two new species. – ZooNova 1 (1): 1-7. ","Bradypodion caeruleogula, Bradypodion nkandlae"
"Raxworthy, C.J. & Nussbaum, R.A. ","2006"," Six new species of Occipital-Lobed Calumma Chameleons (Squamata: Chamaeleonidae) from Montane Regions of Madagascar, with a New Description and Revision of Calumma brevicorne. – Copeia, 4: 711-734. ","Calumma amber, Calumma brevicorne, Calumma crypticum, Calumma hafahafa, Calumma jejy, Calumma peltierorum, Calumma tsycorne"
"Slowinski, J. B. & Wüster, W. ","2000"," A new cobra (Elapidae: Naja) from Myanmar (Burma) – Herpetologica, 56: 257-270. ","Naja mandalayensis"
"Tilbury, C. ","1998"," Two new chameleons (Sauria: Chamaeleonidae) from isolated Afromontane forests in Sudan and Ethiopia – Bonner Zoologische Beiträge, 47: 293-299. ","Chamaeleo balebicornutus;Chamaeleo conirostratus"
"Tilbury, C. R., Tolley, K. A. & Branch, W. R. ","2006"," A review of the systematics of the genus Bradypodion (Sauria: Chamaeleonidae), with the description of two new genera. – Zootaxa, 1363: 23-38. ","Kinyongia adolfifriderici, Kinyongia carpenteri, Kinyongia excubitor, Kinyongia fischeri, Kinyongia matschiei, Kinyongia multituberculata, Kinyongia oxyrhina, Kinyongia tavetana, Kinyongia tenuis, Kinyongia ulugurensis, Kinyongia uthmoelleri, Kinyongia xenorhina, Nadzikambia mlanjense"
"Tolley, K. A., Tilbury, C. R., Branch, W. R. & Mathee, C. A. ","2004"," Phylogenetics of the southern African dwarf chameleons, Bradypodion (Squamata: Chamaeleonidae). – Molecular Phylogen. Evol., 30: 354-365. ","Bradypodion caffrum, Bradypodion damaranum, Bradypodion gutturale, Bradypodion transvaalense, Bradypodion ventrale"
"Ullenbruch, K., Krause, P. & Böhme, W. ","2007"," A new species of the Chamaeleo dilepis group (Sauria Chamaeleonidae) from West Africa. – Tropical Zool., 20: 1-17. ","Chamaeleo necasi"
"Walbröl, U. & Walbröl, H. D. ","2004"," Bemerkungen zur Nomenklatur der Gattung Calumma (Gray, 1865) (Reptilia: Squamata: Chamaeleonidae). – Sauria, 26 (3): 41-44. ","Calumma andringitraense, Calumma marojezense, Calumma tsaratanaense"
"Wermuth, H. & Mertens, R. ","1996"," Schildkröte, Krokodile, Brückenechsen. xvii + 506 pp. Jena (Gustav Fischer Verlag). ","Testudines order names, Crocodylia;Rhynchocephalia"
"Wilms, T. ","2001"," Dornschwanzagamen: Lebensweise, Pflege, Zucht. 142 pp. Offenbach (Herpeton, Verlag Elke Köhler) ( ISBN 3-9806214-7-2). ","the genus Uromastyx"
"Wilms, T. M. & Schmitz, A. ","2007"," A new polytypic species of the genus Uromastyx Merrem, 1820 (Reptilia: Squamata: Agamidae: Leiolepidinae) from southwestern Arabia. – Zootaxa, 1394: 1-23. ","Uromastyx yemenensis"
"Wüster, W. ","1996"," Taxonomic change and toxinology: systematic revisions of the Asiatic cobras (Naja naja species complex) – Toxicon, 34: 339-406. ","Naja atra, Naja kaouthia, Naja oxiana, Naja philippinensis, Naja sagittifera, Naja samarensis, Naja siamensis, Naja sputatrix;Naja sumatrana"
"Ziegler, T., Böhme, W. & Schmitz, A. ","2007"," A new species of the Varanus indicus group (Squamata, Varanidae) from Halmahera Island, Moluccas: morphological and molecular evidence. – Mitteilungen Museum Naturkunde Berlin, Zoologische Reihe, 83 (supplement): 109-119. ","Varanus rainerguentheri"
"Ziegler, T., Schmitz, A., Koch, A. & Böhme, W. ","2007"," A review of the subgenus Euprepiosaurus of Varanus (Squamata: Varanidae): morphological and molecular phylogeny, distribution and zoogeography, with an identification key for the members of the V. indicus and the V. prasinus species groups. – Zootaxa, 1472: 1-28. ","Varanus beccarii"
"Brown, J. L., Schulte, R. & Summers, K. ","2006"," A new species of Dendrobates (Anura: Dendrobatidae) from the Amazonian lowlands in Perú – Zootaxa, 1152: 45-58. ","Dendrobates uakarii"
"Glaw, F. & Vences, M. ","2006"," Phylogeny and genus-level classification of mantellid frogs (Amphibia, Anura). -- Organisms, Diversity & Evolution, 6: 236-253. ","Mantella ebenaui"
"Jungfer, K.-H. & Böhme, W. ","2004"," A new poison-dart frog (Dendrobates) from northern central Guyana (Amphibia: Anura: Dendrobatidae). -- Salamandra, 40(2): 99-104. ","Dendrobates nubeculosus"
"Lötters, S., Schmitz, A. & Reichle, S. ","2006"," A new cryptic species of poison frog from the Bolivian Yungas. – Herpetozoa, 18: 115-124. ","Epipedobates yungicola"
"Mueses-Cisneros, J. J., Cepeda-Quilindo, B. & Moreno-Quintero, V. ","2008"," Una nueva especies de Epipedobates (Anura: Dendrobatidae) del suroccidente de Colombia. -- Pap. Avulsos Zool. Mus. Zool. San Paulo, 48:1-10. ","Epipedobates narinensis"
"Rueda-Almonacid, J. V., Rada, M., Sánchez-Pacheco, S. J., Velásquez-Álvarez, A. A. & Quevedo, A. ","2006"," Two new and exceptional poison dart frogs of the genus Dendrobates (Anura: Dendrobatidae) from the northeastern flank of the cordillera Central of Colombia. – Zootaxa, 1259: 39-54. ","Dendrobates daleswansoni, Dendrobates dorisswansonae"
"Taxonomic Checklist of CITES-listed Amphibians, information extracted from Frost, D. R. (ed.) ","2004"," Amphibian Species of the World: a taxonomic and geographic reference, an online reference, Version 3.0 as of 7 April 2006 ","Amphibia"
"Eschmeier, W. N. ","1998"," Catalog of Fishes.3 vols. California Academy of Sciences. ","all fishes"
"Gomon, M. F. & Kuiter, R. H. ","2009"," Two new pygmy seahorses (Teleostei: Syngnathidae: Hippocampus) from the Indo-West Pacific. – Aqua, Int. J. of Ichthyology, 15(1): 37-44. ","Hippocampus debelius, Hippocampus waleanus"
"Horne, M. L. ","2001"," A new seahorse species (Syngnathidae: Hippocampus) from the Great Barrier Reef – Records of the Australian Museum, 53: 243-246. ","Hippocampus"
"Kuiter, R. H. ","2001"," Revision of the Australian seahorses of the genus Hippocampus (Syngnathiformes: Syngnathidae) with a description of nine new species – Records of the Australian Museum, 53: 293-340. ","Hippocampus"
"Kuiter, R. H. ","2003"," A new pygmy seahorse (Pisces: Syngnathidae: Hippocampus) from Lord Howe Island– Records of the Australian Museum, 55: 113-116. ","Hippocampus"
"Lourie, S. A. & Randall, J. E. ","2003"," A new pygmy seahorse, Hippocampus denise (Teleostei: Syngnathidae), from the Indo-Pacific – Zoological Studies, 42: 284-291. ","Hippocampus"
"Lourie, S. A., Vincent, A. C. J. & Hall, H. J. ","1999"," Seahorses. An identification guide to the world’s species and their conservation. Project Seahorse (ISBN 0 9534693 0 1) (Second edition available on CD-ROM). ","Hippocampus"
"Piacentino, G. L. M. and Luzzatto, D. C. ","2004"," Hippocampus patagonicus sp. nov., new seahorse from Argentina (Pisces, Syngnathiformes). -- Revista del Museo Argentino de Ciencias Naturales, 6(2): 339-349. ","Hippocampus patagonicus"
"Lourenço, W. R. & Cloudsley-Thompson, J. C. ","1996"," Recognition and distribution of the scorpions of the genus Pandinus Thorell, 1876 accorded protection by the Washington Convention – Biogeographica, 72(3): 133-143. ","scorpions of the genus Pandinus"
"Rudloff, J.-P. ","2008"," Eine neue Brachypelma-Art aus Mexiko (Araneae: Mygalomorphae: Theraphosidae: Theraphosinae). – Arthropoda, 16(2): 26-30. ","Brachypelma kahlenbergi"
"Platnick, N. ","2006"," Taxonomic Checklist of CITES listed Spider Species, information extracted from, The World Spider Catalog, an online reference, Version 6.5 as of 7 April 2006 ","Theraphosidae"
"Bartolozzi, L. ","2005"," Description of two new stag beetle species from South Africa (Coleoptera: Lucanidae). -- African Entomology, 13(2): 347-352. ","Colophon endroedyi"
"Matsuka, H. ","2001"," Natural History of Birdwing Butterflies. 367 pp. Tokyo (Matsuka Shuppan). (ISBN 4-9900697-0- 6). ","birdwing butterflies of the genera Ornithoptera, Trogonoptera;Troides"
"NESEMANN, H. & NEUBERT, E. ","1999"," Annelida: Clitellata: Branchiobdellida, Acanthobdellea, Hirudinea. – Süßwasserfauna von Mitteleuropa, vol. 6/2, 178 pp., Berlin (Spektrum Akad. Verlag). ISBN 3-8274-0927-6. ","Hirudo medicinalis;Hirudo verbana"
