Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
jubata,SPECIES,,GENUS,103280,S,"Schreber, 1775",,CMS,SPECIES,11984
fulvescens,SPECIES,,GENUS,2766,S,"(Rafinesque, 1817)",,CMS,SPECIES,11751
acutirostris,SPECIES,,GENUS,2894,S,"Ayres, 1854",,CMS,SPECIES,11487
agassizii,SPECIES,,GENUS,2894,S,"Duméril, 1867",,CMS,SPECIES,11487
albula,SPECIES,,GENUS,2894,S,"Forster, 1767",,CMS,SPECIES,11704
aleutensis,SPECIES,,GENUS,2894,S,"Fitzinger, 1836",,CMS,SPECIES,11423
alexandri,SPECIES,,GENUS,2894,S,"Duméril, 1867",,CMS,SPECIES,11487
anasimos,SPECIES,,GENUS,2894,S,"Duméril, 1870",,CMS,SPECIES,11751
anthracinus,SPECIES,,GENUS,2894,S,"Duméril, 1870",,CMS,SPECIES,11751
atelaspis,SPECIES,,GENUS,2894,S,"Duméril, 1870",,CMS,SPECIES,11751
beluga,SPECIES,,GENUS,2894,S,"Forster, 1767",,CMS,SPECIES,11704
buffalo,SPECIES,,GENUS,2894,S,"Duméril, 1867",,CMS,SPECIES,11751
profundus,SPECIES,,GENUS,66501,S,"Nakamura, 1935",,CMS,SPECIES,66502
alopecias,SPECIES,,GENUS,2748,S,"Gronow, 1854",,CMS,SPECIES,66503
vulpes,SPECIES,,GENUS,2748,S,"Gmelin, 1789",,CMS,SPECIES,66503
macrourus,SPECIES,,GENUS,66501,S,"Rafinesque, 1810",,CMS,SPECIES,66503
greyi,SPECIES,,GENUS,66501,S,"Whitley, 1937",,CMS,SPECIES,66503
caudatus,SPECIES,,GENUS,66501,S,"Phillips, 1932",,CMS,SPECIES,66503
vulpinus,SPECIES,,GENUS,2748,S,"Bonnaterre, 1788",,CMS,SPECIES,66503
acutirostris,SPECIES,,GENUS,66525,S,"Risso, 1827",,CMS,SPECIES,66526
aegyptiaca,SPECIES,,GENUS,66525,S,"Kaup, 1857",,CMS,SPECIES,66526
altirostris,SPECIES,,GENUS,66525,S,"Kaup, 1857",,CMS,SPECIES,66526
anacamptoentera,SPECIES,,GENUS,66525,S,"Balsamo-Crivelli & Maggi, 1873",,CMS,SPECIES,66526
ancidda,SPECIES,,GENUS,66525,S,"Kaup, 1857",,CMS,SPECIES,66526
bibroni,SPECIES,,GENUS,66525,S,"Kaup, 1856",,CMS,SPECIES,66526
