Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade
Aa,Genus,1,22223,,N
Abdominea,Genus,2,22223,,N
Abies,Genus,3,22223,,N
Acampe,Genus,4,22223,,N
Acanthephippium,Genus,5,22223,,N
Aceras,Genus,8,22223,,N
Aceratorchis,Genus,9,22223,,N
Acianthus,Genus,10,22223,,N
Acineta,Genus,11,22223,,N
Acostaea,Genus,12,22223,,N
Acriopsis,Genus,13,22223,,N
Acrolophia,Genus,15,22223,,N
Acrorchis,Genus,16,22223,,N
Ada,Genus,17,22223,,N
Adenia,Genus,18,22223,,N
Adenochilus,Genus,19,22223,,N
Adenoncos,Genus,20,22223,,N
Adonis,Genus,21,22223,,N
Adrorhizon,Genus,22,22223,,N
Aeranthes,Genus,24,22223,,N
Agave,Genus,29,22223,,N
Agrostophyllum,Genus,31,22223,,N
Alamania,Genus,32,22223,,N
Albizia,Genus,33,22223,,N
Alluaudia,Genus,35,22223,,N
Alluaudiopsis,Genus,36,22223,,N
Alocasia,Genus,37,22223,,N
Amesiella,Genus,44,22223,,N
Amitostigma,Genus,45,22223,,N
Ammopiptanthus,Genus,46,22223,,N
Amparoa,Genus,47,22223,,N
Anacampseros,Genus,48,22223,,N
Anacamptis,Genus,49,22223,,N
Ancistrorhynchus,Genus,52,22223,,N
Androcorys,Genus,54,22223,,N
Angraecopsis,Genus,55,22223,,N
Anguloa,Genus,57,22223,,N
Aniba,Genus,59,22223,,N
Anigozanthos,Genus,60,22223,,N
Anoectochilus,Genus,62,22223,,N
Ansellia,Genus,63,22223,,N
Aphyllorchis,Genus,69,22223,,N
Aplectrum,Genus,70,22223,,N
Apostasia,Genus,72,22223,,N
Appendicula,Genus,73,22223,,N
Aquilaria,Genus,74,22223,,N
Arachnis,Genus,76,22223,,N
Araucaria,Genus,77,22223,,N
Arctostaphylos,Genus,79,22223,,N
Areca,Genus,80,22223,,N
Arisaema,Genus,83,22223,,N
Armodorum,Genus,85,22223,,N
Arnica,Genus,86,22223,,N
Arnottia,Genus,87,22223,,N
Arpophyllum,Genus,88,22223,,N
Arthrochilus,Genus,91,22223,,N
Artorima,Genus,92,22223,,N
Arundina,Genus,93,22223,,N
Ascarina,Genus,94,22223,,N
Ascochilus,Genus,98,22223,,N
Ascoglossum,Genus,99,22223,,N
Aspasia,Genus,100,22223,,N
Banksia,Genus,112,22223,,N
Barbosella,Genus,113,22223,,N
Barkeria,Genus,115,22223,,N
Barlia,Genus,116,22223,,N
Bartholina,Genus,118,22223,,N
Basiphyllaea,Genus,120,22223,,N
Batocarpus,Genus,123,22223,,N
Beccariophoenix,Genus,125,22223,,N
Beclardia,Genus,126,22223,,N
Beloglottis,Genus,127,22223,,N
Biarum,Genus,131,22223,,N
Biermannia,Genus,132,22223,,N
Bifrenaria,Genus,133,22223,,N
Bipinnula,Genus,135,22223,,N
Bletia,Genus,136,22223,,N
Bogoria,Genus,139,22223,,N
Bollea,Genus,140,22223,,N
Bolusiella,Genus,141,22223,,N
Bonatea,Genus,142,22223,,N
