Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade, Designation
Boronia,Genus,144,22223,,N,CITES
Brachionidium,Genus,147,22223,,N,CITES
Brachycorythis,Genus,150,22223,,N,CITES
Brachypeza,Genus,151,22223,,N,CITES
Brachystele,Genus,152,22223,,N,CITES
Brassia,Genus,156,22223,,N,CITES
Bromheadia,Genus,158,22223,,N,CITES
Broughtonia,Genus,159,22223,,N,CITES
Bulleyia,Genus,164,22223,,N,CITES
Bulnesia,Genus,165,22223,,N,CITES
Burnettia,Genus,166,22223,,N,CITES
Byblis,Genus,168,22223,,N,CITES
Cadetia,Genus,169,22223,,N,CITES
Caesalpinia,Genus,170,22223,,N,CITES
Caladenia,Genus,171,22223,,N,CITES
Calibanus,Genus,174,22223,,N,CITES
Calochilus,Genus,175,22223,,N,CITES
Calochlaena,Genus,176,22223,,N,CITES
Calypso,Genus,181,22223,,N,CITES
Calyptrochilum,Genus,182,22223,,N,CITES
Camellia,Genus,184,22223,,N,CITES
Campylocentrum,Genus,185,22223,,N,CITES
Caryocar,Genus,188,22223,,N,CITES
Caryopteris,Genus,189,22223,,N,CITES
Caularthron,Genus,195,22223,,N,CITES
Cedrela,Genus,196,22223,,N,CITES
Centroglossa,Genus,198,22223,,N,CITES
Centrostigma,Genus,199,22223,,N,CITES
Cephalanthera,Genus,200,22223,,N,CITES
Cephalantheropsis,Genus,201,22223,,N,CITES
Cephalotus,Genus,204,22223,,N,CITES
Ceraria,Genus,205,22223,,N,CITES
Ceratandra,Genus,206,22223,,N,CITES
Ceratocentron,Genus,207,22223,,N,CITES
Ceratostylis,Genus,209,22223,,N,CITES
Ceropegia,Genus,212,22223,,N,CITES
Chamaeangis,Genus,214,22223,,N,CITES
Chamaeanthus,Genus,215,22223,,N,CITES
Chamorchis,Genus,219,22223,,N,CITES
Changnienia,Genus,220,22223,,N,CITES
Chaseella,Genus,221,22223,,N,CITES
Chaubardia,Genus,222,22223,,N,CITES
Chaubardiella,Genus,223,22223,,N,CITES
Chauliodon,Genus,224,22223,,N,CITES
Cheirostylis,Genus,227,22223,,N,CITES
Chelonistele,Genus,228,22223,,N,CITES
Chiloglottis,Genus,230,22223,,N,CITES
Chiloschista,Genus,231,22223,,N,CITES
Chloraea,Genus,233,22223,,N,CITES
Chloranthus,Genus,234,22223,,N,CITES
Chondrorhyncha,Genus,235,22223,,N,CITES
Chroniochilus,Genus,237,22223,,N,CITES
Chrysalidocarpus,Genus,238,22223,,N,CITES
Chrysocycnis,Genus,239,22223,,N,CITES
Chrysoglossum,Genus,240,22223,,N,CITES
Chusua,Genus,241,22223,,N,CITES
Chysis,Genus,242,22223,,N,CITES
Cibotium,Genus,244,22223,,N,CITES
Cischweinfia,Genus,249,22223,,N,CITES
Cistanche,Genus,250,22223,,N,CITES
Cleisostoma,Genus,254,22223,,N,CITES
Cleistes,Genus,256,22223,,N,CITES
Clematepistephium,Genus,259,22223,,N,CITES
Clowesia,Genus,260,22223,,N,CITES
Cochleanthes,Genus,263,22223,,N,CITES
Coelia,Genus,267,22223,,N,CITES
Coeliopsis,Genus,268,22223,,N,CITES
Coeloglossum,Genus,269,22223,,N,CITES
Coilochilus,Genus,272,22223,,N,CITES
Collabium,Genus,274,22223,,N,CITES
Comperia,Genus,277,22223,,N,CITES
Conospermum,Genus,279,22223,,N,CITES
Corallorhiza,Genus,282,22223,,N,CITES
Corallorrhiza,Genus,283,22223,,N,CITES
Cordiglottis,Genus,285,22223,,N,CITES
Coryanthes,Genus,287,22223,,N,CITES
Corybas,Genus,288,22223,,N,CITES
