Species RecID,Rank,GEO_entity,ISO Code 2,Reference IDs,CITES
4441,Species,Country,CY,19164,CITES
4442,Species,Country,DZ,14958,CITES
4442,Species,Country,IT,,CITES
4442,Species,Country,IT,17934,CITES
4442,Species,Country,MT,,CITES
4442,Species,Country,MT,17934,CITES
4443,Species,Country,ES,,CITES
4444,Species,Country,LY,,CITES
4445,Species,Country,PT,,CITES
4445,Species,Country,PT,17891,CITES
4542,Species,Country,PT,,CITES
5114,Species,Country,ZA,20604,CITES
5115,Species,Country,ZA,20604,CITES
5146,Species,Country,ZA,20803,CITES
5147,Species,Country,ZA,20604,CITES
5148,Species,Country,ZA,20604,CITES
5149,Species,Country,ZA,20604,CITES
5151,Species,Country,ZA,20803,CITES
5154,Species,Country,ZA,20604,CITES
5155,Species,Country,ZA,20604,CITES
5156,Species,Country,ZA,20604,CITES
5158,Species,Country,ZA,20604,CITES
5159,Species,Country,ZA,20604,CITES
5160,Species,Country,ZA,20604,CITES
5162,Species,Country,ZA,20604,CITES
5163,Species,Country,ZA,20604,CITES
5164,Species,Country,ZA,20604,CITES
5165,Species,Country,ZA,,CITES
5165,Species,Country,ZA,20604,CITES
5165,Species,Country,ZA,21482,CITES
5174,Species,Country,KE,,CITES
5174,Species,Country,KE,20803,CITES
5174,Species,Country,MW,,CITES
5174,Species,Country,MW,20803,CITES
5174,Species,Country,MZ,21492,CITES
5174,Species,Country,TZ,,CITES
5174,Species,Country,TZ,20803,CITES
5174,Species,Country,ZA,20803,CITES
5174,Species,Country,ZW,21492,CITES
5219,Species,Country,ZA,20604,CITES
5264,Species,Country,ZA,20604,CITES
5265,Species,Country,LS,20803,CITES
5265,Species,Country,ZA,20803,CITES
5266,Species,Country,ZA,20604,CITES
5269,Species,Country,ZA,20803,CITES
5296,Species,Country,ZA,20604,CITES
5329,Species,Country,LS,21442,CITES
5329,Species,Country,ZA,20604,CITES
5330,Species,Country,ZA,20604,CITES
5331,Species,Country,ZA,20604,CITES
5331,Species,Country,ZA,20803,CITES
5332,Species,Country,ZA,20604,CITES
5333,Species,Country,ZA,20604,CITES
5334,Species,Country,ZA,20604,CITES
5334,Species,Country,ZA,20803,CITES
5335,Species,Country,ZA,20604,CITES
5339,Species,Country,ZA,20604,CITES
5339,Species,Country,ZA,20803,CITES
5340,Species,Country,LS,20604,CITES
5340,Species,Country,ZA,,CITES
5340,Species,Country,ZA,20604,CITES
5341,Species,Country,ZA,20604,CITES
5343,Species,Country,ZA,20604,CITES
5360,Species,Country,ZA,20604,CITES
5361,Species,Country,ZA,20604,CITES
5362,Species,Country,ZA,20604,CITES
5363,Species,Country,ZA,20604,CITES
5363,Species,Country,ZA,20807,CITES
5364,Species,Country,ZA,20604,CITES
5365,Species,Country,ZA,20604,CITES
5367,Species,Country,ZA,20604,CITES
5368,Species,Country,ZA,20604,CITES
5370,Species,Country,ZA,20604,CITES
5371,Species,Country,ZA,20604,CITES
5372,Species,Country,ZA,20604,CITES
5374,Species,Country,ZA,20604,CITES
5375,Species,Country,ZA,20604,CITES
5376,Species,Country,MZ,20604,CITES
5376,Species,Country,MZ,20745,CITES
5376,Species,Country,SZ,20604,CITES
5376,Species,Country,ZA,20604,CITES
5377,Species,Country,ZA,20604,CITES
5378,Species,Country,ZA,21500,CITES
5379,Species,Country,ZA,20604,CITES
5382,Species,Country,ZA,20604,CITES
5383,Species,Country,ZA,20604,CITES
5384,Species,Country,ZA,20604,CITES
5385,Species,Country,SZ,20039,CITES
5385,Species,Country,SZ,5914,CITES
5385,Species,Country,ZA,20016,CITES
5386,Species,Country,ZA,20604,CITES
5451,Species,Country,NA,,CITES
5452,Species,Country,ZA,20604,CITES
5453,Species,Country,ZA,20604,CITES
5454,Species,Country,BW,20604,CITES
5454,Species,Country,NA,20604,CITES
5456,Species,Country,NA,,CITES
5457,Species,Country,ZA,20604,CITES
5458,Species,Country,ZA,20604,CITES
5458,Species,Country,ZA,20803,CITES
5459,Species,Country,ZA,20604,CITES
5460,Species,Country,ZA,20604,CITES
5460,Species,Country,ZA,20803,CITES
5461,Species,Country,ZA,20604,CITES
5461,Species,Country,ZA,20803,CITES
5463,Species,Country,ZA,20604,CITES
5464,Species,Country,ZA,20604,CITES
5465,Species,Country,ZA,20604,CITES
5466,Species,Country,ZA,20604,CITES
5467,Species,Country,ZA,20604,CITES
5468,Species,Country,ZA,20604,CITES
5469,Species,Country,SZ,20604,CITES
5469,Species,Country,ZA,20604,CITES
5470,Species,Country,ZA,20604,CITES
5471,Species,Country,ZA,20604,CITES
5472,Species,Country,ZA,20604,CITES
5473,Species,Country,ZA,20604,CITES
5474,Species,Country,ZA,20604,CITES
5475,Species,Country,ZA,20604,CITES
5476,Species,Country,ZA,20604,CITES
5477,Species,Country,ZA,20604,CITES
5603,Species,Country,ZA,20604,CITES
5610,Species,Country,ZA,20604,CITES
5762,Species,Country,ZA,20604,CITES
5763,Species,Country,ZA,20604,CITES
5764,Species,Country,ZA,20604,CITES
5765,Species,Country,ZA,20604,CITES
5797,Species,Country,SZ,20039,CITES
5797,Species,Country,ZA,,CITES
5797,Species,Country,ZA,20039,CITES
5823,Species,Country,ZA,20604,CITES
5831,Species,Country,ZA,20604,CITES
5853,Species,Country,ZA,20604,CITES
5894,Species,Country,ZA,20604,CITES
5967,Species,Country,ZA,20604,CITES
5969,Species,Country,ZA,20604,CITES
5972,Species,Country,ZA,,CITES
5972,Species,Country,ZA,20604,CITES
5975,Species,Country,ZA,20604,CITES
6052,Species,Country,ZA,20803,CITES
6212,Species,Country,CN,21853,CITES
6212,Species,Country,FJ,21853,CITES
6212,Species,Country,IN,21853,CITES
6212,Species,Country,NP,21853,CITES
6212,Species,Country,SB,21853,CITES
7219,Species,Country,CN,,CITES
7219,Species,Country,CN,10268,CITES
7219,Species,Territory,HK,10285,CITES
7219,Species,Country,IN,,CITES
7219,Species,Country,IN,10235,CITES
7219,Species,Country,MM,,CITES
7219,Species,Country,MM,10236,CITES
7219,Species,Country,NP,,CITES
7219,Species,Country,NP,9997,CITES
7219,Species,Country,PK,,CITES
7219,Species,Country,PK,8754,CITES
7219,Species,Country,TH,,CITES
7219,Species,Country,TH,10235,CITES
7219,Species,Country,VN,,CITES
7219,Species,Country,VN,8754,CITES
7428,Species,Country,BW,22195,CITES
7428,Species,Country,ZA,22195,CITES
7428,Species,Country,ZW,21420,CITES
7473,Species,Country,GR,17672,CITES
7493,Species,Country,MX,21424,CITES
7511,Species,Country,MX,21424,CITES
7512,Species,Country,MX,21424,CITES
7517,Species,Country,MX,21424,CITES
7519,Species,Country,MX,21424,CITES
7527,Species,Country,MX,21424,CITES
7531,Species,Country,MX,21424,CITES
7535,Species,Country,MX,21424,CITES
7600,Species,Country,MX,21424,CITES
7600,Species,Country,US,21437,CITES
7605,Species,Country,MX,21424,CITES
7608,Species,Country,MX,21424,CITES
7618,Species,Country,MX,21424,CITES
7625,Species,Country,MX,21424,CITES
7669,Species,Country,MX,21424,CITES
7704,Species,Country,BR,21426,CITES
7706,Species,Country,BR,21426,CITES
7712,Species,Country,FR,15080,CITES
7722,Species,Country,BR,21426,CITES
7837,Species,Country,PH,,CITES
7854,Species,Country,ID,,CITES
7854,Species,Country,MY,,CITES
7864,Species,Country,PH,,CITES
7892,Species,Country,CR,9426,CITES
7892,Species,Country,GT,9009,CITES
7892,Species,Country,GT,9426,CITES
7892,Species,Country,HN,9009,CITES
7892,Species,Country,HN,9426,CITES
7892,Species,Country,MX,9114,CITES
7892,Species,Country,SV,9009,CITES
7892,Species,Country,SV,9426,CITES
7893,Species,Country,MX,,CITES
7893,Species,Country,MX,14244,CITES
7893,Species,Country,MX,9114,CITES
7901,Species,Territory,GF,12625,CITES
7930,Species,Country,PH,,CITES
7944,Species,Country,AU,14227,CITES
7994,Species,Country,MG,21418,CITES
7997,Species,Country,FM,,CITES
7997,Species,Country,PW,,CITES
8001,Species,Country,PG,,CITES
8004,Species,Country,JP,11163,CITES
8004,Species,Country,JP,19134,CITES
8012,Species,Country,CN,,CITES
8012,Species,Country,CN,22075,CITES
8016,Species,Country,CN,,CITES
8016,Species,Country,CN,22075,CITES
8027,Species,Country,BO,,CITES
8027,Species,Country,PE,,CITES
8030,Species,Country,CO,,CITES
8031,Species,Country,BR,12616,CITES
8031,Species,Country,BR,12625,CITES
8034,Species,Country,CO,12612,CITES
8034,Species,Country,CO,12616,CITES
8035,Species,Country,BO,,CITES
8035,Species,Country,BO,12621,CITES
8035,Species,Country,BR,,CITES
8035,Species,Country,BR,12621,CITES
8035,Species,Country,BR,22075,CITES
8035,Species,Country,CO,12616,CITES
8035,Species,Country,CO,12621,CITES
8035,Species,Country,CR,22184,CITES
8035,Species,Country,DO,,CITES
8035,Species,Country,DO,12621,CITES
8035,Species,Country,EC,,CITES
8035,Species,Country,EC,10538,CITES
8035,Species,Territory,GF,12621,CITES
8035,Species,Country,GY,12616,CITES
8035,Species,Country,GY,12621,CITES
8035,Species,Country,HT,,CITES
8035,Species,Country,HT,12621,CITES
8035,Species,Country,PA,,CITES
8035,Species,Country,PA,10538,CITES
8035,Species,Country,PE,,CITES
8035,Species,Territory,PR,12621,CITES
8035,Species,Country,SR,,CITES
8035,Species,Country,SR,18176,CITES
8035,Species,Country,VE,12616,CITES
8035,Species,Country,VE,12621,CITES
8036,Species,Territory,AN,22075,CITES
8036,Species,Country,BB,22075,CITES
8036,Species,Country,BR,12616,CITES
8036,Species,Country,BR,22075,CITES
