ComName,LangShort,RecId,Rank,Designation,ReferenceID
Pitcher-plant Yellow,en,106991,Species,CITES_EU,19629
Pitcher-plant Rainbow Trumpet,en,106992,Species,CITES_EU,19629
Pitcher-plant Hooded,en,106992,Species,CITES_EU,19629
Ruby Ball Cactus,en,107021,Species,CITES_EU,21489
Strawberry Cactus,en,107021,Species,CITES_EU,21489
Simpson's Prickly-apple Cactus,en,107057,Species,CITES_EU,19002
Aboriginal Prickly-apple Cactus,en,107100,Species,CITES_EU,19002
Yellow Prickly -apple Cactus,en,107100,Species,CITES_EU,19002
Grama-grass Cactus,en,107574,Species,CITES_EU,21429
Paper-spine Pincushion Cactus,en,107574,Species,CITES_EU,19002
garaman gajah,IND,109118,Species,CITES_EU,21399
harostulang,IND,109118,Species,CITES_EU,21399
leladarima,IND,109118,Species,CITES_EU,21399
sebah,IND,109118,Species,CITES_EU,21399
sienem-bengi,IND,109118,Species,CITES_EU,21399
sienem-bernih,IND,109118,Species,CITES_EU,21399
sienem-berugi,IND,109118,Species,CITES_EU,21399
si-pukhor-lisak,IND,109118,Species,CITES_EU,21399
Frauenschuh,DEU,1098,Species,CITES_EU,14229
Ladies Slipper Orchid,en,1098,Species,CITES_EU, 
Pianella della madonna,ITA,1098,Species,CITES_EU,19997
Sabot de vénus,fr,1098,Species,CITES_EU,20582
Scarpetta di venere,ITA,1098,Species,CITES_EU,19997
Yellow Ladies Slipper Orchid,en,1098,Species,CITES_EU, 
Karas,IND,110210,Species,CITES_EU,21399
hebek,ARA,110659,Species,CITES_EU,20146
Ponga,MRI,111226,Species,CITES_EU,20226
Silver Tree Fern,en,111226,Species,CITES_EU,20226
flor de pascua del monte,es,111228,Species,CITES_EU,21118
Salep shqipëtar,SQI,111442,Species,CITES_EU,20178
rriell i heldraihit,SQI,111494,Species,CITES_EU,20178
Jack-in-the-pulpit,en,111783,Species,CITES_EU,21064
Tian nan xing,ZHO,111783,Species,CITES_EU,21059
Sérapias négligé,fr,115719,Species,CITES_EU,20582
Taiwan dielan,ZHO,11707,Species,CITES_EU,17617
Blue Vanda,en,11808,Species,CITES_EU,7389
Vanda azul,es,11808,Species,CITES_EU, 
Vanda cerulea,ITA,11808,Species,CITES_EU,21486
Vanda coklat,ZLM,11841,Species,CITES_EU,15204
Lan hai dai cuon,VIE,11879,Species,CITES_EU,20985
Lan hai long,VIE,11891,Species,CITES_EU,20985
Hong Kong Slipper Orchid,en,11897,Species,CITES_EU,19924
Ink Orchid,en,11987,Species,CITES_EU,19924
Common Fragrant Cymbidium,en,12005,Species,CITES_EU,19924
caper spurge,en,120275,Species,CITES_EU,21121
Bois d'Ébène Marbreûfeuilles,fr,12222,Species,CITES_EU,21329
Lelia-de-Sao-fidelis,POR,12325,Species,CITES_EU,17079
Lelia-da-Bahia,POR,12331,Species,CITES_EU,17079
Lelia-escura,POR,12353,Species,CITES_EU,17079
Lelia-verde,POR,12354,Species,CITES_EU,17079
Lelia-amarela,POR,12355,Species,CITES_EU,17079
Scimitar-leaf Dendrobe,en,12467,Species,CITES_EU,19924
Angel-fish Dendrobe,en,12468,Species,CITES_EU,19924
e. variable,fr,124687,Species,CITES_EU,20582
Heijiecao,ZHO,12479,Species,CITES_EU,17617
Hoang thao sung dai,VIE,12511,Species,CITES_EU,20985
Dendrobium Stem,en,12521,Species,CITES_EU,22208
Dendrobium,en,12521,Species,CITES_EU, 
Dendrobium-Kraut,DEU,12521,Species,CITES_EU,22208
Sekkoku,JPN,12521,Species,CITES_EU,22208
Shi Hu,ZHO,12521,Species,CITES_EU,22208
Shihu-hu,ZHO,12521,Species,CITES_EU,22208
Hoang thao dom tia,VIE,12547,Species,CITES_EU,20985
Cooktown Orchid,en,13124,Species,CITES_EU,14010
rainbow plant,en,13209,Species,CITES_EU, 
southern byblis,en,13209,Species,CITES_EU, 
Black Kangaroo Paw,en,13461,Species,CITES_EU, 
qualup bell,en,14286,Species,CITES_EU,21477
