Id,TaxonConcept id,TaxonConcept name,Resolution,Country,Event,Event date,Status,Document,Notes
33,6715,Chamaeleo gracilis,Significant Trade,Ghana,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/105,
62,6715,Chamaeleo gracilis,Significant Trade,Togo,AC25,22/07/2011,Ongoing,https://rst.cites.org/public/case-details/135,
57,10865,Chamaeleo senegalensis,Significant Trade,Benin,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/130,
51,10865,Chamaeleo senegalensis,Significant Trade,Ghana,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/124,
64,68362,Chelonoidis denticulatus,Significant Trade,Guyana,AC27,03/05/2014,Ongoing,https://rst.cites.org/public/case-details/137,
65,68362,Chelonoidis denticulatus,Significant Trade,Suriname,AC27,03/05/2014,Ongoing,https://rst.cites.org/public/case-details/138,
86,3722,Coracopsis vasa,Significant Trade,Madagascar,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/167,
83,6406,Cordylus tropidosternum,Significant Trade,Mozambique,,29/05/1998,Trade Suspension,https://rst.cites.org/public/case-details/164,
84,10549,Corucia zebrata,Significant Trade,Solomon Islands,,29/05/1998,Trade Suspension,https://rst.cites.org/public/case-details/165,
9,5901,Cuora amboinensis,Significant Trade,Indonesia,AC29,22/07/2017,Ongoing,https://rst.cites.org/public/case-details/78,
77,21072,Cycas thouarsii,Significant Trade,Mozambique,PC10,15/12/2000,Closed,https://rst.cites.org/public/case-details/157,
23,15804,Dalbergia cochinchinensis,Significant Trade,Cambodia,PC23,27/07/2017,Closed,https://rst.cites.org/public/case-details/92,
24,15804,Dalbergia cochinchinensis,Significant Trade,Lao People's Democratic Republic,PC23,27/07/2017,Closed,https://rst.cites.org/public/case-details/93,
25,15804,Dalbergia cochinchinensis,Significant Trade,Viet Nam,PC23,27/07/2017,Closed,https://rst.cites.org/public/case-details/94,
26,94326,Dalbergia retusa,Significant Trade,Nicaragua,PC23,27/07/2017,Ongoing,https://rst.cites.org/public/case-details/95,
27,94326,Dalbergia retusa,Significant Trade,Panama,PC23,27/07/2017,Ongoing,https://rst.cites.org/public/case-details/96,
75,17714,Dendrobium nobile,Significant Trade,Lao People's Democratic Republic,PC14,20/02/2004,Trade Suspension,https://rst.cites.org/public/case-details/155,
85,10019,Furcifer labordi,Significant Trade,Madagascar,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/166,
52,3583,Hippocampus algiricus,Significant Trade,Guinea,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/125,
50,3583,Hippocampus algiricus,Significant Trade,Senegal,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/123,
43,8543,Kinixys homeana,Significant Trade,Benin,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/116,
49,8543,Kinixys homeana,Significant Trade,Togo,AC25,22/07/2011,Ongoing,https://rst.cites.org/public/case-details/122,
42,3313,Kinyongia fischeri,Significant Trade,United Republic of Tanzania,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/115,
41,6351,Kinyongia tavetana,Significant Trade,United Republic of Tanzania,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/114,
35,3920,Macaca fascicularis,Significant Trade,Lao People's Democratic Republic,AC25,22/07/2011,Closed,https://rst.cites.org/public/case-details/107,
66,8709,Malayemys subtrijuga,Significant Trade,Indonesia,AC27,03/05/2014,Ongoing,https://rst.cites.org/public/case-details/139,
40,20534,Myrmecophila tibicinis,Significant Trade,Belize,PC15,21/05/2005,Trade Suspension,https://rst.cites.org/public/case-details/113,
36,29093,Nardostachys grandiflora,Significant Trade,Nepal,PC21,08/05/2014,Closed,https://rst.cites.org/public/case-details/109,
67,5381,Notochelys platynota,Significant Trade,Indonesia,AC27,03/05/2014,Ongoing,https://rst.cites.org/public/case-details/142,
88,6442,Ornithoptera priamus,Significant Trade,Solomon Islands,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/169,
87,10136,Ornithoptera victoriae,Significant Trade,Solomon Islands,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/168,
53,5811,Pandinus imperator,Significant Trade,Benin,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/126,
54,5811,Pandinus imperator,Significant Trade,Ghana,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/127,
55,5811,Pandinus imperator,Significant Trade,Togo,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/128,
16,18339,Pericopsis elata,Significant Trade,Cameroon,PC23,27/07/2017,Closed,https://rst.cites.org/public/case-details/85,
15,18339,Pericopsis elata,Significant Trade,Congo,PC23,27/07/2017,Ongoing,https://rst.cites.org/public/case-details/84,
28,18339,Pericopsis elata,Significant Trade,Côte d'Ivoire,PC17,19/04/2008,Trade Suspension,https://rst.cites.org/public/case-details/99,
14,18339,Pericopsis elata,Significant Trade,Democratic Republic of the Congo,PC23,27/07/2017,Ongoing,https://rst.cites.org/public/case-details/83,
92,9252,Phelsuma borai,Significant Trade,Madagascar,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/174,
89,5473,Phelsuma gouldi,Significant Trade,Madagascar,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/171,
90,5774,Phelsuma hoeschi,Significant Trade,Madagascar,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/172,
91,5821,Phelsuma ravenala,Significant Trade,Madagascar,,01/08/1991,Trade Suspension,https://rst.cites.org/public/case-details/173,
32,6277,Plerogyra simplex,Significant Trade,Fiji,AC25,18/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/104,
31,9800,Plerogyra sinuosa,Significant Trade,Fiji,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/103,
81,36321,Poicephalus fuscicollis,Significant Trade,Democratic Republic of the Congo,,29/05/1998,Trade Suspension,https://rst.cites.org/public/case-details/161,
82,36321,Poicephalus fuscicollis,Significant Trade,Togo,,29/05/1998,Trade Suspension,https://rst.cites.org/public/case-details/162,
10,3893,Poicephalus gulielmi,Significant Trade,Democratic Republic of the Congo,AC29,18/07/2017,Ongoing,https://rst.cites.org/public/case-details/79,
19,3893,Poicephalus gulielmi,Significant Trade,Mali,AC29,22/07/2017,Closed,https://rst.cites.org/public/case-details/88,
37,22086,Prunus africana,Significant Trade,Cameroon,PC21,08/05/2014,Ongoing,https://rst.cites.org/public/case-details/110,
38,22086,Prunus africana,Significant Trade,Democratic Republic of the Congo,PC21,08/05/2014,Ongoing,https://rst.cites.org/public/case-details/111,
76,22086,Prunus africana,Significant Trade,Equatorial Guinea,PC12,17/05/2002,Trade Suspension,https://rst.cites.org/public/case-details/156,
68,67733,Pterocarpus erinaceus,Significant Trade,Burkina Faso,,02/06/2021,Ongoing,https://rst.cites.org/public/case-details/143,
69,67733,Pterocarpus erinaceus,Significant Trade,Gambia,,02/06/2021,Ongoing,https://rst.cites.org/public/case-details/144,
71,67733,Pterocarpus erinaceus,Significant Trade,Ghana,,02/06/2021,Ongoing,https://rst.cites.org/public/case-details/146,
72,67733,Pterocarpus erinaceus,Significant Trade,Guinea Bissau,,02/06/2021,Ongoing,https://rst.cites.org/public/case-details/147,
39,28106,Pterocarpus santalinus,Significant Trade,India,PC21,08/05/2014,Ongoing,https://rst.cites.org/public/case-details/112,
60,65704,Smaug mossambicus,Significant Trade,Mozambique,AC23,24/04/2008,Trade Suspension,https://rst.cites.org/public/case-details/133,
80,9310,Strombus gigas,Significant Trade,Grenada,,01/05/1994,Trade Suspension,https://rst.cites.org/public/case-details/160,
