Taxon ID,Manual ID
8935,A-112.007.003.001
8935,A-112.007.003.001
3057,A-112.002.001.001
3057,A-112.002.001.001
7583,A-112.003.001.001
7583,A-112.003.001.001
3511,A-106.001.004.004
3511,A-106.001.004.004
3905,A-119.009.033.001
3905,A-119.009.033.001
3905,A-119.009.033.001
8714,A-106.000.901.001
8714,A-106.008.901.001
5062,A-119.008.001.001
5062,A-119.008.001.001
363,A-119.008.000.001
363,A-119.008.000.001
4985,A-119.009.023.001
4985,A-119.009.023.001
5285,A-112.004.021.001
5285,A-112.004.021.001
5252,A-112.004.021.002
5252,A-112.004.021.002
10229,A-106.004.001.001
10229,A-106.004.001.001
90,A-119.000.000.001
90,A-119.000.000.001
90,A-119.000.000.005
90,A-119.000.000.005
8576,A-106.002.001.001
8576,A-106.002.001.001
8576,A-106.002.001.001
4889,A-119.006.004.010c
4889,A-119.006.004.010c
10380,A-119.006.004.010d
10380,A-119.006.004.010d
12317,A-119.006.004.010b
12317,A-119.006.004.010b
3372,A-119.001.001.001
3372,A-119.001.001.001
7903,A-111.008.001.002
7903,A-111.008.001.002
8288,A-111.007.001.001
8288,A-111.007.001.001
3975,A-111.007.001.002
3975,A-111.007.001.002
6352,A-111.007.001.003
6352,A-111.007.001.003
10905,A-111.007.001.004
10905,A-111.007.001.004
9445,A-111.007.001.005
9445,A-111.007.001.005
11057,A-112.003.002.003
11057,A-112.003.002.003
5322,A-112.003.003.002
5322,A-112.003.003.002
7840,A-111.005.001.001
7840,A-111.005.001.001
9048,A-111.005.001.002
9048,A-111.005.001.002
814,A-102.012.002.000
814,A-102.012.002.000
5854,A-102.012.002.001
5854,A-102.012.002.001
5854,A-102.012.002.001
10686,A-102.012.002.002
10686,A-102.012.002.002
10686,A-102.012.002.002
6709,A-102.012.002.003
6709,A-102.012.002.003
6709,A-102.012.002.003
5740,A-102.012.002.004
5740,A-102.012.002.004
5740,A-102.012.002.004
2558,A-119.009.001.000
2558,A-119.009.001.000
7283,A-119.009.001.001
7283,A-119.009.001.001
3625,A-119.006.008.001
3625,A-119.006.008.001
5874,A-119.009.002.001
5874,A-119.009.002.001
7471,A-119.009.002.003
7471,A-119.009.002.003
11180,A-119.009.002.005
11180,A-119.009.002.005
540,A-119.009.000.001
540,A-119.009.000.001
232,A-107.002.000.001
232,A-107.002.000.001
5257,A-107.002.001.004
5257,A-107.002.001.004
6811,A-119.009.004.001
6811,A-119.009.004.001
4425,A-119.009.004.002
4425,A-119.009.004.002
8124,A-119.009.004.003
8124,A-119.009.004.003
10958,A-119.009.004.004
10958,A-119.009.004.004
3135,A-119.009.034.001
3135,A-119.009.034.001
3135,A-119.009.034.001
10956,A-106.009.001.003
10956,A-106.009.001.003
4105,A-102.008.002.000
4105,A-102.008.002.001
7655,A-107.003.002.001
7655,A-107.003.002.001
9146,A-107.003.002.004
9146,A-107.003.002.004
9289,A-102.012.003.001
