Date,Manual ID,Title,Lang,Master Document,Volume,Type,General/ Part,PDF Filename trimmed
1994,A-119.009.038.004,Manual de identificación de la CITES - Capricornis sumatraensis,ES,A-119.009.038.004,1,CITES ID Manual,General,A-119.009.038.004 Naemorhedus sumatraensis_S.pdf
1985,A-109.002.001.001,CITES ID Manual - Caprolagus hispidus,EN,,1,CITES ID Manual,General,A-109.002.001.001 Caprolagus hispidus_E.pdf
1985,A-109.002.001.001,Manual de identificación de la CITES - Caprolagus hispidus,ES,A-109.002.001.001,1,CITES ID Manual,General,A-109.002.001.001 Caprolagus hispidus_S.pdf
1992,A-112.007.001.001,CITES ID Manual - Caracal aurata,EN,,1,CITES ID Manual,General,A-112.007.001.001 Profelis aurata_E.pdf
1992,A-112.007.001.001,Manuel d'identification de la CITES - Caracal aurata,FR,A-112.007.001.001,1,CITES ID Manual,General,A-112.007.001.001 Profelis aurata_F.pdf
1992,A-112.007.001.001,Manual de identificación de la CITES - Caracal aurata,ES,A-112.007.001.001,1,CITES ID Manual,General,A-112.007.001.001 Profelis aurata_S.pdf
1992,A-112.007.001.005,CITES ID Manual - Caracal caracal,EN,,1,CITES ID Manual,General,A-112.007.001.005 Caracal caracal_E.pdf
1992,A-112.007.001.005,Manual de identificación de la CITES - Caracal caracal,ES,A-112.007.001.005,1,CITES ID Manual,General,A-112.007.001.005 Caracal caracal_S.pdf
1985,A-112.000.000.001,CITES ID Manual - Carnivora,EN,,1,CITES ID Manual,General,A-112.000.000.001 Carnivora General Notes_E.pdf
1985,A-112.000.000.001,Manual de identificación de la CITES - Carnivora,ES,A-112.000.000.001,1,CITES ID Manual,General,A-112.000.000.001 Carnivora general notes_S.pdf
1992,A-119.002.002.001,CITES ID Manual - Catagonus wagneri,EN,,1,CITES ID Manual,General,A-119.002.002.001 Catagonus wagneri_E.pdf
1992,A-119.002.002.001,Manual de identificación de la CITES - Catagonus wagneri,ES,A-119.002.002.001,1,CITES ID Manual,General,A-119.002.002.001 Catagonus wagneri_S.pdf
1992,A-112.007.001.027,CITES ID Manual - Catopuma temminckii,EN,,1,CITES ID Manual,General,A-112.007.001.027 Catopuma temmincki_E.pdf
1992,A-112.007.001.027,Manual de identificación de la CITES - Catopuma temminckii,ES,A-112.007.001.027,1,CITES ID Manual,General,A-112.007.001.027 Felis temmincki_S.pdf
1984,A-119.009.009.000,CITES ID Manual - Cephalophus - Identification key,EN,,1,CITES ID Manual,General,A-119.009.009.000 Duiker identification aid_E.pdf
1984,A-119.009.009.000,Manual de identificación de la CITES - Cephalophus - Guía de identificación,ES,A-119.009.009.000,1,CITES ID Manual,General,A-119.009.009.000 Duiker identification aid_S.pdf
