taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference,Designation
66167,SPECIES,COUNTRY,SV,20130,CMS
66167,SPECIES,TERRITORY,GF,20130,CMS
66167,SPECIES,COUNTRY,GT,20130,CMS
66167,SPECIES,COUNTRY,GY,20130,CMS
66167,SPECIES,COUNTRY,HN,20130,CMS
66167,SPECIES,COUNTRY,MX,20130,CMS
66167,SPECIES,COUNTRY,NI,20130,CMS
66167,SPECIES,COUNTRY,PA,20130,CMS
66167,SPECIES,COUNTRY,PY,20130,CMS
66167,SPECIES,COUNTRY,PE,20130,CMS
66167,SPECIES,COUNTRY,SR,20130,CMS
66167,SPECIES,COUNTRY,TT,20130,CMS
66167,SPECIES,COUNTRY,US,20130,CMS
66167,SPECIES,COUNTRY,VE,20130,CMS
54426,SPECIES,COUNTRY,AO,20130,CMS
54426,SPECIES,COUNTRY,BJ,20130,CMS
54426,SPECIES,COUNTRY,BF,20130,CMS
54426,SPECIES,COUNTRY,CM,20130,CMS
54426,SPECIES,COUNTRY,CF,20130,CMS
54426,SPECIES,COUNTRY,TD,20130,CMS
54426,SPECIES,COUNTRY,CG,20130,CMS
54426,SPECIES,COUNTRY,CI,20130,CMS
54426,SPECIES,COUNTRY,CD,20130,CMS
54426,SPECIES,COUNTRY,GQ,20130,CMS
54426,SPECIES,COUNTRY,ET,20130,CMS
54426,SPECIES,COUNTRY,GA,20130,CMS
54426,SPECIES,COUNTRY,GM,20130,CMS
54426,SPECIES,COUNTRY,GH,20130,CMS
54426,SPECIES,COUNTRY,GN,20130,CMS
54426,SPECIES,COUNTRY,LR,20130,CMS
54426,SPECIES,COUNTRY,ML,20130,CMS
54426,SPECIES,COUNTRY,MR,20130,CMS
54426,SPECIES,COUNTRY,NE,20130,CMS
54426,SPECIES,COUNTRY,NG,20130,CMS
54426,SPECIES,COUNTRY,SN,20130,CMS
54426,SPECIES,COUNTRY,SL,20130,CMS
54426,SPECIES,COUNTRY,SS,20130,CMS
54426,SPECIES,COUNTRY,SD,20130,CMS
54426,SPECIES,COUNTRY,TG,20130,CMS
54426,SPECIES,COUNTRY,UG,20130,CMS
66156,SPECIES,COUNTRY,CA,20130,CMS
66156,SPECIES,COUNTRY,MX,20130,CMS
66156,SPECIES,COUNTRY,US,20130,CMS
96648,SPECIES,COUNTRY,BZ,20130,CMS
96648,SPECIES,COUNTRY,CR,20130,CMS
96648,SPECIES,COUNTRY,SV,20130,CMS
96648,SPECIES,COUNTRY,GT,20130,CMS
96648,SPECIES,COUNTRY,HN,20130,CMS
96648,SPECIES,COUNTRY,MX,20130,CMS
96648,SPECIES,COUNTRY,NI,20130,CMS
96648,SPECIES,COUNTRY,US,20130,CMS
66172,SPECIES,COUNTRY,CA,20130,CMS
66172,SPECIES,COUNTRY,MX,20130,CMS
66172,SPECIES,COUNTRY,US,20130,CMS
99525,SPECIES,COUNTRY,ZA,20130,CMS
66294,SPECIES,COUNTRY,AR,20130,CMS
66294,SPECIES,COUNTRY,BO,20130,CMS
66294,SPECIES,COUNTRY,BR,20130,CMS
66294,SPECIES,COUNTRY,CO,20130,CMS
66294,SPECIES,COUNTRY,EC,20130,CMS
66294,SPECIES,TERRITORY,GF,20130,CMS
66294,SPECIES,COUNTRY,GY,20130,CMS
66294,SPECIES,COUNTRY,PA,20130,CMS
66294,SPECIES,COUNTRY,PY,20130,CMS
66294,SPECIES,COUNTRY,PE,20130,CMS
66294,SPECIES,COUNTRY,SR,20130,CMS
66294,SPECIES,COUNTRY,TT,20130,CMS
66294,SPECIES,COUNTRY,UY,20130,CMS
66294,SPECIES,COUNTRY,VE,20130,CMS
66377,SPECIES,COUNTRY,AR,20130,CMS
