Taxon ID,Manual ID
17704,A-guatemalensis-E.pdf
17704,Abies guatemalensis_F.pdf
17704,Abies guatemalensis_S.pdf
28650,Adonis vernalis_E.pdf
28650,Adonis vernalis_S.pdf
29060,Agave arizonica_E.pdf
29060,Agave arizonica_S.pdf
23356,Agave parviflora_E.pdf
23356,Agave parviflora_S.pdf
13995,Agave victoriae-regina_E.pdf
13995,Agave victoriae-regina_S.pdf
14121,Aloe ferox_E.pdf
14121,Aloe ferox_S.pdf
24742,Aquilaria malaccensi_E.pdf
24742,Aquilaria malaccensi_S.pdf
24742,Aquilaria malaccensi_Timber_S.pdf
25968,A-araucana-E.pdf
25968,Araucaria araucana_S.pdf
25138,Ario-agavoides-jl-text.pdf
25138,Ariocarpus agavoides_E.pdf
14702,Ario-fissuratus-bravoanus-jl-text.pdf
14702,Ario-fissuratus-fissuratus-jl-text.pdf
14702,Ario-fissuratus-hintonii-jl-text.pdf
14702,Ario-fissuratus-lloydii-jl-text.pdf
14702,Ariocarpus fissuratus ssp bravoanus_E.pdf
14702,Ariocarpus fissuratus ssp fissuratus „var. lloydii“_E.pdf
14702,Ariocarpus fissuratus ssp fissuratus_E.pdf
14702,Ariocarpus fissuratus ssp hintonii_E.pdf
21277,Ario-kotschoubeyanus-jl-text.pdf
21277,Ariocarpus kotschoubeyanus_E.pdf
18189,Ario-retusus-retusus-jl-text.pdf
18189,Ariocarpus retusus ssp.retusus_E.pdf
28657,Ario-scaphirostris-jl-text.pdf
28657,Ariocarpus scaphirostris_E.pdf
45112,Ario-retusus-trigonus-jl-text.pdf
45112,Ariocarpus retusus ssp trigonus_E.pdf
24757,Astro-asterias-jl-text.pdf
24757,Astrophytum asterias_E.pdf
25895,Aztekium-ritteri-jl-text.pdf
25895,Aztekium ritteri_E.pdf
16905,Bletilla striata_E.pdf
16905,Bletilla striata_S.pdf
12535,Bromeliaceae general notes_E.pdf
12535,Bromeliaceae general notes_F.pdf
12535,Bromeliaceae general notes_S.pdf
13120,Byblis spp_F.pdf
