Date,Manual ID,Title,Language,Master document,Volume,Type,General/Parts,PDF filename
2001,Ariocarpus retusus ssp.retusus_E.pdf,CITES ID Manual - Ariocarpus retusus ssp. retusus/ssp. confusus,EN,,6,CITES ID Manual,General,Ariocarpus retusus ssp.retusus_E.pdf
2001,Ario-scaphirostris-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus scaphirostris,ES,Ariocarpus scaphirostris_E.pdf,6,CITES ID Manual,General,Ario-scaphirostris-jl-text.pdf
2001,Ariocarpus scaphirostris_E.pdf,CITES ID Manual - Ariocarpus scaphirostris,EN,,6,CITES ID Manual,General,Ariocarpus scaphirostris_E.pdf
2001,Ario-retusus-trigonus-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus trigonus,ES,Ariocarpus retusus ssp trigonus_E.pdf,6,CITES ID Manual,General,Ario-retusus-trigonus-jl-text.pdf
2001,Ariocarpus retusus ssp trigonus_E.pdf,CITES ID Manual - Ariocarpus trigonus,EN,,6,CITES ID Manual,General,Ariocarpus retusus ssp trigonus_E.pdf
2001,Astro-asterias-jl-text.pdf,Manual de identificación de la CITES - Astrophytum asterias,ES,Astrophytum asterias_E.pdf,6,CITES ID Manual,General,Astro-asterias-jl-text.pdf
2001,Astrophytum asterias_E.pdf,CITES ID Manual - Astrophytum asterias,EN,,6,CITES ID Manual,General,Astrophytum asterias_E.pdf
2001,Aztekium-ritteri-jl-text.pdf,Manual de identificación de la CITES - Aztekium ritteri,ES,Aztekium ritteri_E.pdf,6,CITES ID Manual,General,Aztekium-ritteri-jl-text.pdf
2001,Aztekium ritteri_E.pdf,CITES ID Manual - Aztekium ritteri,EN,,6,CITES ID Manual,General,Aztekium ritteri_E.pdf
2001,Bletilla striata_E.pdf,CITES ID Manual - Bletilla striata - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Bletilla striata_E.pdf
2001,Bletilla striata_S.pdf,Manual de identificación de la CITES - Bletilla striata - Plantas medicinales,ES,Bletilla striata_E.pdf,6,CITES ID Manual,Parts and Derivatives,Bletilla striata_S.pdf
1993,Bromeliaceae general notes_E.pdf,CITES ID Manual - Bromeliaceae,EN,,6,CITES ID Manual,General,Bromeliaceae general notes_E.pdf
1993,Bromeliaceae general notes_F.pdf,Manuel d'identification de la CITES - Bromeliaceae,FR,Bromeliaceae general notes_E.pdf,6,CITES ID Manual,General,Bromeliaceae general notes_F.pdf
1993,Bromeliaceae general notes_S.pdf,Manual de identificación de la CITES - Bromeliaceae,ES,Bromeliaceae general notes_E.pdf,6,CITES ID Manual,General,Bromeliaceae general notes_S.pdf
1997,Byblis spp_F.pdf,Manuel d'identification de la CITES - Byblis,FR,Byblis_E.pdf,6,CITES ID Manual,General,Byblis spp_F.pdf
1997,Byblis spp_S.pdf,Manual de identificación de la CITES - Byblis,ES,Byblis_E.pdf,6,CITES ID Manual,General,Byblis spp_S.pdf
1997,Byblis_E.pdf,CITES ID Manual - Byblis,EN,,6,CITES ID Manual,General,Byblis_E.pdf
2001,2---Introduction.pdf,Manual de identificación de la CITES - Cactaceae - Introducción,ES,,6,CITES ID Manual,General,2---Introduction.pdf
2001,Cactaceae formas de crecimiento_S.pdf,Manual de identificación de la CITES - Cactaceae - Formas de crecimiento,ES,Cactaceae growth forms_E.pdf,6,CITES ID Manual,General,Cactaceae formas de crecimiento_S.pdf
2001,Cactaceae growth forms_E.pdf,CITES ID Manual - Cactaceae - Growth forms,EN,,6,CITES ID Manual,General,Cactaceae growth forms_E.pdf
2001,General notes cactaceae genera_E.pdf,CITES ID Manual - Cactaceae - General notes genera,EN,,6,CITES ID Manual,General,General notes cactaceae genera_E.pdf
2001,General notes cactaceae_E.pdf,CITES ID Manual - Cactaceae - General notes family,EN,,6,CITES ID Manual,General,General notes cactaceae_E.pdf
2001,Glosario Cactaceae_S.pdf,Manual de identificación de la CITES - Cactaceae - Glosario,ES,Glossary cactaceae_E.pdf,6,CITES ID Manual,General,Glosario Cactaceae_S.pdf
2001,Glossary cactaceae_E.pdf,CITES ID Manual - Cactaceae - Glossary,EN,,6,CITES ID Manual,General,Glossary cactaceae_E.pdf
2001,Identification keys cactaceae_E.pdf,CITES ID Manual - Cactaceae - Identification key,EN,,6,CITES ID Manual,General,Identification keys cactaceae_E.pdf
2001,Notas generales Cactaceae_S.pdf,Manual de identificación de la CITES - Cactaceae - Notas generales familia,ES,General notes cactaceae_E.pdf,6,CITES ID Manual,General,Notas generales Cactaceae_S.pdf
1999,Caryocar costaricensis _S.pdf,Manual de identificación de la CITES - Caryocar costaricense - Madera,ES,,6,CITES ID Manual,Parts and Derivatives,Caryocar costaricensis _S.pdf
2002,Cedrela odorata_E.pdf,CITES ID Manual - Cedrela odorata - Timber,EN,,6,CITES ID Manual,Parts and Derivatives,Cedrela odorata_E.pdf
1997,Cephalotus follicularis_E.pdf,CITES ID Manual - Cephalotus follicularis,EN,,6,CITES ID Manual,General,Cephalotus follicularis_E.pdf
1997,Cephalotus follicularis_F.pdf,Manuel d'identification de la CITES - Cephalotus follicularis,FR,Cephalotus follicularis_E.pdf,6,CITES ID Manual,General,Cephalotus follicularis_F.pdf
1997,Cephalotus follicularis_S.pdf,Manual de identificación de la CITES - Cephalotus follicularis,ES,Cephalotus follicularis_E.pdf,6,CITES ID Manual,General,Cephalotus follicularis_S.pdf
2001,Cibotium barometz_E.pdf,CITES ID Manual - Cibotium barometz - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Cibotium barometz_E.pdf
2001,Cibotium barometz_S.pdf,Manual de identificación de la CITES - Cibotium barometz - Plantas medicinales,ES,Cibotium barometz_E.pdf,6,CITES ID Manual,Parts and Derivatives,Cibotium barometz_S.pdf
2001,Cistanche deserticola_E.pdf,CITES ID Manual - Cistanche deserticola - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Cistanche deserticola_E.pdf
2001,Cistanche deserticola_S.pdf,Manual de identificación de la CITES - Cistanche deserticola - Plantas medicinales,ES,Cistanche deserticola_E.pdf,6,CITES ID Manual,Parts and Derivatives,Cistanche deserticola_S.pdf
2001,Coryph-werdermannii-jl-text.pdf,Manual de identificación de la CITES - Coryphantha werdermannii,ES,Coryphantha werdermannii_E.pdf,6,CITES ID Manual,General,Coryph-werdermannii-jl-text.pdf
2001,Coryphantha werdermannii_E.pdf,CITES ID Manual - Coryphantha werdermannii,EN,,6,CITES ID Manual,General,Coryphantha werdermannii_E.pdf
2001,The genera of cycads_E.pdf,CITES ID Manual - Cycadales,EN,,6,CITES ID Manual,General,The genera of cycads_E.pdf
2001,The genera of Cycads_S.pdf,Manual de identificación de la CITES - Cycadales,ES,The genera of cycads_E.pdf,6,CITES ID Manual,General,The genera of Cycads_S.pdf
