Spcrecid,CtyRecID,CtyShort
1482,214,Turkey
1483,241,former USSR
1483,84,Greece
1483,101,Iran (Islamic Republic of)
1483,214,Turkey
1484,173,Romania
1484,214,Turkey
1484,219,Ukraine
1485,105,Italy
1485,214,Turkey
1485,2,Albania
1485,27,Bosnia and Herzegovina
1485,84,Greece
5610,194,South Africa
7428,238,Zimbabwe
7428,28,Botswana
7428,194,South Africa
8451,222,United States
8551,126,Madagascar
8552,126,Madagascar
8554,126,Madagascar
8555,126,Madagascar
8556,126,Madagascar
8602,126,Madagascar
8603,126,Madagascar
8607,126,Madagascar
8610,126,Madagascar
8611,126,Madagascar
8772,137,Mexico
8772,222,United States
9440,126,Madagascar
24140,126,Madagascar
24141,126,Madagascar
24148,126,Madagascar
24200,126,Madagascar
24203,126,Madagascar
24432,126,Madagascar
24530,6,Angola
24530,28,Botswana
24530,146,Namibia
24539,194,South Africa
24539,238,Zimbabwe
24553,126,Madagascar
24680,126,Madagascar
24736,126,Madagascar
25001,126,Madagascar
30348,146,Namibia
30348,194,South Africa
31571,174,Russian Federation
31571,44,China
31571,112,Democratic People's Republic of Korea
31571,113,"Korea, Republic of"
31969,206,Tajikistan
31969,214,Turkey
31969,102,Iraq
31969,174,Russian Federation
31969,204,Syrian Arab Republic
31969,80,Georgia
31969,99,India
31969,101,Iran (Islamic Republic of)
31969,1,Afghanistan
31969,11,Armenia
31969,15,Azerbaijan
31970,235,Yugoslavia
31970,267,Serbia
31970,204,Syrian Arab Republic
31970,214,Turkey
31970,215,Turkmenistan
31970,174,Russian Federation
31970,191,Slovenia
31970,196,Spain
31970,104,Israel
31970,105,Italy
31970,118,Lebanon
31970,84,Greece
31970,101,Iran (Islamic Republic of)
31970,102,Iraq
31970,15,Azerbaijan
31970,27,Bosnia and Herzegovina
31970,73,France
31970,2,Albania
31970,3,Algeria
32758,214,Turkey
32808,167,Philippines
33332,10,Argentina
33332,43,Chile
39600,167,Philippines
47094,11,Armenia
47094,80,Georgia
47095,174,Russian Federation
47095,11,Armenia
47095,15,Azerbaijan
47095,80,Georgia
47171,267,Serbia
47171,214,Turkey
47171,219,Ukraine
47171,235,Yugoslavia
47171,174,Russian Federation
47171,190,Slovakia
47171,196,Spain
47171,105,Italy
47171,139,"Moldova, Republic of"
47171,173,Romania
47171,97,Hungary
47171,101,Iran (Islamic Republic of)
47171,104,Israel
47171,73,France
47171,80,Georgia
47171,84,Greece
47171,11,Armenia
47171,15,Azerbaijan
47171,33,Bulgaria
49806,44,China
49806,208,Thailand
49806,229,Viet Nam
49806,116,Lao People's Democratic Republic
49806,148,Nepal
49806,161,Pakistan
49806,197,Sri Lanka
49806,100,Indonesia
49806,128,Malaysia
49806,145,Myanmar
49806,18,Bangladesh
49806,25,Bhutan
49806,99,India
62326,214,Turkey
62327,214,Turkey
70152,38,Canada
70152,44,China
