Date,Manual ID,Title,Language,Master Document ID,Volume,Type,General/Parts,PDF Filename
1983,F-112.007.003.001,Manual de identificación de la CITES - Acinonyx jubatus - Partes y Derivados,ES,F-112.007.003.001,4,CITES ID Manual,Parts and Derivatives,F-112.007.003.001 Acinonyx jubatus_S.pdf
1985,F-113.000.000.001,"CITES ID Manual - Otariidae, Odobenidae, Phocidae - Parts and Derivatives",EN,,4,CITES ID Manual,Parts and Derivatives,F-113.000.000.001 Pinnipedia - Fur skins_EN.pdf
1985,F-113.000.000.001,"Manual de identificación de la CITES - Otariidae, Odobenidae, Phocidae - Partes y Derivados",ES,F-113.000.000.001,4,CITES ID Manual,Parts and Derivatives,F-113.000.000.001 Pinnipedia - Pieles_S.pdf
1985,F-113.000.000.001,"Manuel d'identification de la CITES - Otariidae, Odobenidae, Phocidae - Parties et Produits",FR,F-113.000.000.001,4,CITES ID Manual,Parts and Derivatives,F-113.000.000.001 Pinnipedia - Fourrures_F.pdf
1985,F-113.001.001.001,CITES ID Manual - Arctocephalus australis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-113.001.001.001 Arctocephalus australis_E.pdf
1985,F-113.001.001.001,Manual de identificación de la CITES - Arctocephalus australis - Partes y Derivados,ES,F-113.001.001.001,4,CITES ID Manual,Parts and Derivatives,F-113.001.001.001 Arctocephalus australis_S.pdf
1985,F-113.001.001.006,CITES ID Manual - Arctocephalus pusillus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-113.001.001.006 Arctocephalus pusillus_E.pdf
1985,F-113.001.001.006,Manual de identificación de la CITES - Arctocephalus pusillus - Partes y Derivados,ES,F-113.001.001.006,4,CITES ID Manual,Parts and Derivatives,F-113.001.001.006 Arctocephalus pusillus_S.pdf
1985,F-119.004.000.001,CITES ID Manual - Camelidae - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-119.004.000.001 Camelidae - Fur skins_EN.pdf
1985,F-119.004.000.001,Manual de identificación de la CITES - Camelidae - Partes y Derivados,ES,F-119.004.000.001,4,CITES ID Manual,Parts and Derivatives,F-119.004.000.001 Camelidae - Pieles_S.pdf
1985,F-119.004.000.001,Manuel d'identification de la CITES - Camelidae - Parties et Produits,FR,F-119.004.000.001,4,CITES ID Manual,Parts and Derivatives,F-119.004.000.001 Camelidae - Fourrures_F.pdf
1985,F-119.004.002.001,CITES ID Manual - Lama guanicoe - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-119.004.002.001 Lama guanicoe_E.pdf
1985,F-119.004.002.001,Manual de identificación de la CITES - Lama guanicoe - Partes y Derivados,ES,F-119.004.002.001,4,CITES ID Manual,Parts and Derivatives,F-119.004.002.001 Lama guanicoe_S.pdf
1985,F-119.004.002.002,CITES ID Manual - Vicugna vicugna - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-119.004.002.002 Vicugna vicugna_EN.pdf
1985,F-119.004.002.002,Manual de identificación de la CITES - Vicugna vicugna - Partes y Derivados,ES,F-119.004.002.002,4,CITES ID Manual,Parts and Derivatives,F-119.004.002.002 Vicugna vicugna_S.pdf
1995,F-119.009.042.001,CITES ID Manual - Pantholops hodgsonii - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-F-119.009.042.001 Panthalops hodgonsii_EN.pdf
1985,F-112.001.001.001,CITES ID Manual - Alopex lagopus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.001.001 Alopex lagopus_EN.pdf
1985,F-112.001.001.001,Manual de identificación de la CITES - Alopex lagopus - Partes y Derivados,ES,F-112.001.001.001,4,CITES ID Manual,Parts and Derivatives,F-112.001.001.001 Alopex lagopus_S.pdf
1985,F-112.001.003.001,CITES ID Manual - Canis adustus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.001 Canis adustus_EN.pdf
1985,F-112.001.003.001,Manual de identificación de la CITES - Canis adustus - Partes y Derivados,ES,F-112.001.003.001,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.001 Canis adustus_S.pdf
1985,F-112.001.003.004,CITES ID Manual - Canis latrans - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.004 Canis latrans_EN.pdf
1985,F-112.001.003.004,Manual de identificación de la CITES - Canis latrans - Partes y Derivados,ES,F-112.001.003.004,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.004 Canis latrans_S.pdf
1985,F-112.001.014.001,Manual de identificación de la CITES - Urocyon cinereoargentatus - Partes y Derivados,ES,,4,CITES ID Manual,Parts and Derivatives,F-112.001.014.001 Urocyon cinereoargentatus_S.pdf
1985,F-112.001.015.004,CITES ID Manual - Vulpes corsac and Vulpes velox - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.004 Vulpes corsac and Vulpes velox_EN.pdf
1985,F-112.001.015.004,Manual de identificación de la CITES - Vulpes corsac and Vulpes velox - Partes y Derivados,ES,F-112.001.015.004,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.004 Vulpes corsac and Vulpes velox_S.pdf
1985,F-112.005.003.001 ,CITES ID Manual - Poiana richardsoni - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.005.003.001 Poiana richardsoni_EN.pdf
1985,F-112.005.003.001 ,Manual de identificación de la CITES - Poiana richardsonis - Partes y Derivados,ES,F-112.005.003.001 ,4,CITES ID Manual,Parts and Derivatives,F-112.005.003.001 Poiana richardsoni_S.pdf
