id,rank,Internal distribution note,Designation
66162,SPECIES,"Previous distributions for Chile, Dominican Republic, Trinidad and Tobago deleted as part of CMS project 9612 in 2025-2026.",CMS
66297,SPECIES,"Previous distributions for Antigua and Barbuda, Cuba, French Guiana [FR] deleted as part of CMS project 9612 in 2025-2026.",CMS
54402,SPECIES,"Previous distributions for Eritrea, Liberia, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
95084,SPECIES,Previous distributions for Benin deleted as part of CMS project 9612 in 2025-2026.,CMS
54446,SPECIES,"Previous distributions for Austria, Belgium, Bhutan, Cambodia, Czech Republic, Denmark, Estonia, Finland, Former Serbia and Montenegro, Germany, Kenya, Lao People's Democratic Republic, Lesotho, Luxembourg, Malaysia, Malta, Netherlands, Norway, Sierra Leone, Sweden, Thailand, Uganda, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanzania, Viet Nam, Zambia deleted as part of CMS project 9612 in 2025-2026.",CMS
66205,SPECIES,Previous distributions for Djibouti deleted as part of CMS project 9612 in 2025-2026.,CMS
54569,SPECIES,"Previous distributions for Bhutan, Botswana, Faroe Islands, Former Serbia and Montenegro, Guadeloupe, Iceland, Indonesia, Isle of Man (United Kingdom), Malaysia, Mauritius, Seychelles, Singapore, Thailand deleted as part of CMS project 9612 in 2025-2026.",CMS
66200,SPECIES,Previous distributions for Solomon Islands deleted as part of CMS project 9612 in 2025-2026.,CMS
66197,SPECIES,Previous distributions for Timor-Leste deleted as part of CMS project 9612 in 2025-2026.,CMS
66198,SPECIES,Previous distributions for Falkland Islands (Malvinas) deleted as part of CMS project 9612 in 2025-2026.,CMS
54587,SPECIES,"Previous distributions for Andorra, Anguilla (United Kingdom), Antigua and Barbuda, Bahamas, Bahrain, Barbados, Belize, Bermuda (United Kingdom), British Virgin Islands (United Kingdom), Canada, Cayman Islands (United Kingdom), Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, El Salvador, Faroe Islands, Former Serbia and Montenegro, Grenada, Guadeloupe, Guatemala, Haiti, Honduras, Iceland, Isle of Man (United Kingdom), Jamaica, Malaysia, Martinique, Mexico, Montserrat (United Kingdom), Netherlands Antilles, Nicaragua, Panama, Puerto Rico, Saint Kitts and Nevis, Saint Lucia, Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Senegal, Singapore, Sudan, Sudan [prior to secession of South Sudan], Turks and Caicos Islands (United Kingdom), United States of America, Venezuela (Bolivarian Republic of), Virgin Islands of the USA, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
96043,SPECIES,"Previous distributions for Bermuda (United Kingdom), Faroe Islands deleted as part of CMS project 9612 in 2025-2026.",CMS
54478,SPECIES,"Previous distributions for Bhutan, Bosnia and Herzegovina, Eswatini, Former Serbia and Montenegro, Iceland, Japan, Lesotho, Liechtenstein, Luxembourg, Malaysia, Morocco, Poland, Seychelles, United Kingdom of Great Britain and Northern Ireland, Viet Nam deleted as part of CMS project 9612 in 2025-2026.",CMS
54472,SPECIES,"Previous distributions for Botswana, Eswatini deleted as part of CMS project 9612 in 2025-2026.",CMS
54423,SPECIES,"Previous distributions for Brunei Darussalam, Japan deleted as part of CMS project 9612 in 2025-2026.",CMS
54427,SPECIES,"Previous distributions for Bahrain, Bangladesh, Cabo Verde, Congo, Former Serbia and Montenegro, Iceland, Ireland, Norway, Sierra Leone deleted as part of CMS project 9612 in 2025-2026.",CMS
54479,SPECIES,"Previous distributions for Australia, Bangladesh, Democratic People's Republic of Korea, Iran (Islamic Republic of), Northern Mariana Islands, Papua New Guinea deleted as part of CMS project 9612 in 2025-2026.",CMS
94622,SPECIES,"Previous distributions for Austria, Belgium, Cyprus, Gibraltar (United Kingdom), Indonesia, Ireland, Japan, Libya, Luxembourg, Mali, Montenegro, Morocco, Netherlands, Portugal, Republic of Korea, South Africa, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanzania deleted as part of CMS project 9612 in 2025-2026.",CMS
94747,SPECIES,"Previous distributions for Algeria, Belgium, Denmark, France, Kazakhstan, Kuwait, Luxembourg, Montenegro, Morocco, Netherlands, Norway, Oman, Portugal, Saudi Arabia, Spain, Sweden, Switzerland, Tunisia, United Arab Emirates, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
66368,SPECIES,"Previous distributions for Aruba, Bermuda (United Kingdom), Canada, Netherlands Antilles, Saint Pierre and Miquelon, Spain, Uruguay deleted as part of CMS project 9612 in 2025-2026.",CMS
66360,SPECIES,"Previous distributions for French Guiana [FR], Netherlands Antilles deleted as part of CMS project 9612 in 2025-2026.",CMS
96487,SPECIES,Previous distributions for Brazil deleted as part of CMS project 9612 in 2025-2026.,CMS
11942,SPECIES,"Previous distributions for Croatia, Cyprus, Czech Republic, Democratic People's Republic of Korea, Former Serbia and Montenegro, Germany, Israel, Jordan, Lebanon, Mauritania, Mozambique, Namibia, Portugal, Romania, Somalia, Tunisia, Zimbabwe deleted as part of CMS project 9612 in 2025-2026.",CMS
103285,SUBSPECIES,"Previous distributions for Lesotho, South Africa deleted as part of CMS project 9612 in 2025-2026.",CMS
66381,SPECIES,"Previous distributions for Eswatini, Lesotho deleted as part of CMS project 9612 in 2025-2026.",CMS
66211,SPECIES,"Previous distributions for Djibouti, Equatorial Guinea, Gabon, Lesotho, Liberia, Sudan [prior to secession of South Sudan] deleted as part of CMS project 9612 in 2025-2026.",CMS
66210,SPECIES,"Previous distributions for Brunei Darussalam, Russian Federation deleted as part of CMS project 9612 in 2025-2026.",CMS
66206,SPECIES,"Previous distributions for Democratic Republic of the Congo, Zambia deleted as part of CMS project 9612 in 2025-2026.",CMS
54437,SPECIES,"Previous distributions for Bahrain, Bangladesh, Belarus, Belgium, Denmark, Djibouti, Estonia, Finland, Former Serbia and Montenegro, Germany, Hungary, Ireland, Kenya, Latvia, Libya, Malta, Netherlands, Niger, Poland, Republic of Moldova, Slovakia, Sudan [prior to secession of South Sudan], Switzerland, Togo, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland deleted as part of CMS project 9612 in 2025-2026.",CMS
66207,SPECIES,Previous distributions for United Arab Emirates deleted as part of CMS project 9612 in 2025-2026.,CMS
66209,SPECIES,"Previous distributions for Bangladesh, Cambodia, Lao People's Democratic Republic, Malaysia, Myanmar, Nepal, Thailand, Viet Nam deleted as part of CMS project 9612 in 2025-2026.",CMS
94472,SPECIES,"Previous distributions for Botswana, Democratic Republic of the Congo, Egypt, Lesotho, Mozambique, Namibia, Sierra Leone, South Africa, Zambia, Zimbabwe deleted as part of CMS project 9612 in 2025-2026.",CMS
11482,SPECIES,"Previous distributions for Algeria, Bangladesh, Belgium, Bhutan, Cyprus, Egypt, Former Serbia and Montenegro, Ireland, Italy, Lebanon, Luxembourg, Malta, Myanmar, Portugal, Saudi Arabia, Spain, Svalbard and Jan Mayen Islands, Thailand, Tunisia, United States of America deleted as part of CMS project 9612 in 2025-2026.",CMS
66212,SPECIES,"Previous distributions for Bahamas, Belize, Bermuda (United Kingdom), Puerto Rico, United Kingdom of Great Britain and Northern Ireland, Virgin Islands of the USA deleted as part of CMS project 9612 in 2025-2026.",CMS
11419,SPECIES,"Previous distributions for Cambodia, Finland, Iraq, Israel, Netherlands, Norway, Oman, Saudi Arabia, Thailand, Ukraine, United Arab Emirates, Viet Nam deleted as part of CMS project 9612 in 2025-2026.",CMS
11773,SPECIES,"Previous distributions for Taiwan, Province of China, United States of America deleted as part of CMS project 9612 in 2025-2026.",CMS
66387,SPECIES,"Previous distributions for Bhutan, Hong Kong, SAR, Maldives, Palau, Vanuatu deleted as part of CMS project 9612 in 2025-2026.",CMS
