taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,
54435,SPECIES,COUNTRY,SD,20130,CMS,
54435,SPECIES,COUNTRY,TJ,20130,CMS,
54435,SPECIES,COUNTRY,TH,20130,CMS,
54435,SPECIES,COUNTRY,TG,20130,CMS,
54435,SPECIES,COUNTRY,TM,20130,CMS,
54435,SPECIES,COUNTRY,UG,20130,CMS,
54435,SPECIES,COUNTRY,AE,20130,CMS,
54435,SPECIES,COUNTRY,TZ,20130,CMS,
54435,SPECIES,COUNTRY,UZ,20130,CMS,
54435,SPECIES,COUNTRY,VN,20130,CMS,
54435,SPECIES,COUNTRY,YE,20130,CMS,
54435,SPECIES,COUNTRY,ZM,20130,CMS,
54435,SPECIES,COUNTRY,ZW,20130,CMS,
66149,SPECIES,COUNTRY,AR,20130,CMS,
66149,SPECIES,COUNTRY,BZ,20130,CMS,
66149,SPECIES,COUNTRY,BO,20130,CMS,
66149,SPECIES,COUNTRY,BR,20130,CMS,
66149,SPECIES,COUNTRY,CL,20130,CMS,
66149,SPECIES,COUNTRY,CO,20130,CMS,
66149,SPECIES,COUNTRY,CR,20130,CMS,
66149,SPECIES,COUNTRY,EC,20130,CMS,
66149,SPECIES,TERRITORY,GF,20130,CMS,
66149,SPECIES,COUNTRY,GT,20130,CMS,
66149,SPECIES,COUNTRY,GY,20130,CMS,
66149,SPECIES,COUNTRY,HN,20130,CMS,
66149,SPECIES,COUNTRY,MX,20130,CMS,
66149,SPECIES,COUNTRY,NI,20130,CMS,
66149,SPECIES,COUNTRY,PA,20130,CMS,
66149,SPECIES,COUNTRY,PY,20130,CMS,
66149,SPECIES,COUNTRY,PE,20130,CMS,
66149,SPECIES,COUNTRY,SR,20130,CMS,
66149,SPECIES,COUNTRY,UY,20130,CMS,
66149,SPECIES,COUNTRY,VE,20130,CMS,
54495,SPECIES,COUNTRY,AL,20130,CMS,
54495,SPECIES,COUNTRY,AM,20130,CMS,
54495,SPECIES,COUNTRY,AZ,20130,CMS,
54495,SPECIES,COUNTRY,BA,20130,CMS,
54495,SPECIES,COUNTRY,BG,20130,CMS,
54495,SPECIES,COUNTRY,HR,20130,CMS,
54495,SPECIES,COUNTRY,CY,20130,CMS,
54495,SPECIES,COUNTRY,DJ,20130,CMS,
54495,SPECIES,COUNTRY,EG,20130,CMS,
54495,SPECIES,COUNTRY,ET,20130,CMS,
54495,SPECIES,COUNTRY,GE,20130,CMS,
54495,SPECIES,COUNTRY,GE,20130,CMS,
54495,SPECIES,COUNTRY,GR,20130,CMS,
54495,SPECIES,COUNTRY,HU,20130,CMS,
54495,SPECIES,COUNTRY,IR,20130,CMS,
54495,SPECIES,COUNTRY,IQ,20130,CMS,
54495,SPECIES,COUNTRY,IL,20130,CMS,
54495,SPECIES,COUNTRY,JO,20130,CMS,
54495,SPECIES,COUNTRY,KZ,20130,CMS,
54495,SPECIES,COUNTRY,KE,20130,CMS,
54495,SPECIES,COUNTRY,KW,20130,CMS,
54495,SPECIES,COUNTRY,LB,20130,CMS,
54495,SPECIES,COUNTRY,ME,20130,CMS,
54495,SPECIES,COUNTRY,MK,20130,CMS,
54495,SPECIES,COUNTRY,MD,20130,CMS,
54495,SPECIES,COUNTRY,RO,20130,CMS,
54495,SPECIES,COUNTRY,RU,20130,CMS,
54495,SPECIES,COUNTRY,SA,20130,CMS,
54495,SPECIES,COUNTRY,RS,20130,CMS,
54495,SPECIES,COUNTRY,SS,20130,CMS,
54495,SPECIES,COUNTRY,PS,20130,CMS,
54495,SPECIES,COUNTRY,SD,20130,CMS,
54495,SPECIES,COUNTRY,SY,20130,CMS,
