taxon_concept_id,Rank,GEO_entity,ISO Code 2,Designation,Tags
11663,SPECIES,COUNTRY,BE,CMS,introduced
11663,SPECIES,COUNTRY,CZ,CMS,introduced
11663,SPECIES,COUNTRY,DK,CMS,introduced
11663,SPECIES,TERRITORY,FO,CMS,introduced
11663,SPECIES,COUNTRY,FI,CMS,introduced
11663,SPECIES,COUNTRY,FR,CMS,introduced
11663,SPECIES,COUNTRY,DE,CMS,introduced
11663,SPECIES,COUNTRY,NL,CMS,introduced
11663,SPECIES,COUNTRY,NZ,CMS,introduced
11663,SPECIES,COUNTRY,NO,CMS,introduced
11663,SPECIES,COUNTRY,PL,CMS,introduced
11663,SPECIES,COUNTRY,RU,CMS,introduced
11663,SPECIES,COUNTRY,SE,CMS,introduced
11663,SPECIES,COUNTRY,GB,CMS,introduced
11663,SPECIES,COUNTRY,UA,CMS,introduced
11663,SPECIES,COUNTRY,EE,CMS,introduced
11663,SPECIES,COUNTRY,HU,CMS,introduced
11663,SPECIES,COUNTRY,RS,CMS,introduced
94749,SPECIES,COUNTRY,RU,CMS,reintroduced
94749,SPECIES,COUNTRY,NL,CMS,introduced
11834,SPECIES,TERRITORY,GL,CMS,extinct (?)
11705,SPECIES,TERRITORY,GS,CMS,"extinct, introduced"
11945,SPECIES,COUNTRY,MX,CMS,extinct
11485,SPECIES,COUNTRY,AU,CMS,introduced
11485,SPECIES,COUNTRY,CA,CMS,introduced
11485,SPECIES,TERRITORY,FO,CMS,introduced
11485,SPECIES,COUNTRY,IS,CMS,introduced
11485,SPECIES,COUNTRY,NZ,CMS,introduced
11485,SPECIES,COUNTRY,ZA,CMS,introduced
11485,SPECIES,COUNTRY,US,CMS,introduced
54573,SPECIES,COUNTRY,CR,CMS,extinct (?)
54573,SPECIES,TERRITORY,PR,CMS,extinct
94730,SPECIES,COUNTRY,KI,CMS,extinct
12010,SPECIES,COUNTRY,CV,CMS,extinct
12010,SPECIES,COUNTRY,CY,CMS,extinct
12010,SPECIES,COUNTRY,MK,CMS,extinct
11456,SPECIES,COUNTRY,BA,CMS,extinct
11690,SPECIES,COUNTRY,VN,CMS,extinct (?)
11673,SPECIES,COUNTRY,GB,CMS,introduced
11890,SPECIES,COUNTRY,AT,CMS,introduced
11890,SPECIES,COUNTRY,BE,CMS,introduced
11890,SPECIES,COUNTRY,DK,CMS,introduced
11890,SPECIES,COUNTRY,FR,CMS,introduced
11890,SPECIES,COUNTRY,DE,CMS,introduced
11890,SPECIES,COUNTRY,IS,CMS,introduced
11890,SPECIES,COUNTRY,IE,CMS,introduced
11890,SPECIES,COUNTRY,MA,CMS,introduced
11890,SPECIES,COUNTRY,NL,CMS,introduced
11890,SPECIES,COUNTRY,NO,CMS,introduced
11890,SPECIES,COUNTRY,PT,CMS,introduced
11890,SPECIES,COUNTRY,ES,CMS,introduced
11890,SPECIES,COUNTRY,SE,CMS,introduced
11890,SPECIES,COUNTRY,CH,CMS,introduced
11890,SPECIES,COUNTRY,GB,CMS,introduced
11890,SPECIES,COUNTRY,SY,CMS,introduced
11761,SPECIES,COUNTRY,HU,CMS,extinct
54674,SPECIES,COUNTRY,EG,CMS,extinct (?)
54690,SPECIES,COUNTRY,PK,CMS,extinct (?)
