Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID
Plantae,CARYOPHYLLALES,CACTACEAE,Cereus,greggii,NULL,25065,S,75709
Plantae,CARYOPHYLLALES,CACTACEAE,Brasiliopuntia,neoargentina,NULL,36802,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Brasiliopuntia,schulzii,NULL,36804,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Cephalocereus,chrysacanthus,NULL,27388,S,104810
Plantae,CARYOPHYLLALES,CACTACEAE,Brasiliopuntia,bahiensis,NULL,36805,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Brasiliopuntia,subacarpa,NULL,36809,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Brasiliopuntia,brasiliensis,NULL,36801,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Soehrensia,grandis,NULL,34966,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Soehrensia,ingens,NULL,34969,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Soehrensia,bruchii,NULL,34960,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Pseudolobivia,kermesina,NULL,35137,S,106557
Plantae,CARYOPHYLLALES,CACTACEAE,Pseudolobivia,calorubra,NULL,35175,S,17178
Plantae,CARYOPHYLLALES,CACTACEAE,Pterocactus,kuntzei,NULL,107941,S,16337
Plantae,CARYOPHYLLALES,CACTACEAE,Parodia,laui,NULL,107656,S,107643
Plantae,CARYOPHYLLALES,CACTACEAE,Pediocactus,conoideus,NULL,36741,S,84809
Plantae,CARYOPHYLLALES,CACTACEAE,Platyopuntia,invicta,NULL,36928,S,29559
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,neoargentina,NULL,107787,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,schulzii,NULL,107825,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,argentina,NULL,107350,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,juniperina,NULL,37123,S,107832
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,neoargentina,NULL,36803,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,bahiensis,NULL,36806,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Oehmea,beneckei,NULL,36136,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,brasiliensis,bahiensis,36807,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,brasiliensis,subacarpa,36808,S,107368
Plantae,CARYOPHYLLALES,CACTACEAE,Neolloydia,texensis,NULL,36743,S,84809
Plantae,CARYOPHYLLALES,CACTACEAE,Notocactus,erubescens,NULL,107301,S,15751
Plantae,CARYOPHYLLALES,CACTACEAE,Notocactus,schlosseri,NULL,107332,S,15751
Plantae,CARYOPHYLLALES,CACTACEAE,Monvillea,phatnosperma,NULL,34577,S,106312
Plantae,CARYOPHYLLALES,CACTACEAE,Neolloydia,ceratites,NULL,36740,S,84809
Plantae,CARYOPHYLLALES,CACTACEAE,Neolloydia,grandiflora,NULL,36742,S,84809
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,centralifera,NULL,107220,S,14559
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,colonensis,NULL,107226,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,guiengolensis,NULL,107267,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,aguilarii,NULL,35173,S,17178
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,calorubra,NULL,35174,S,17178
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,balsasoides,NULL,36134,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,mizquensis,NULL,35176,S,17178
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,bruchii,NULL,34959,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,formosa,bruchii,34962,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,gerardii,NULL,35840,S,106965
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,formosa,grandis,34963,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Lobivia,grandis,NULL,34965,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,reductum,NULL,35841,S,106965
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,brachypetalum,NULL,35838,S,106965
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,chubutense,NULL,35839,S,106965
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,calorubra,NULL,106509,S,17178
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,herbasii,NULL,106543,S,106557
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ritteri,NULL,106597,S,106557
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,roseolilacina,NULL,106600,S,106557
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ingens,NULL,34968,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,kermesina,NULL,35136,S,106557
Plantae,CARYOPHYLLALES,CACTACEAE,Dolichothele,nelsonii,NULL,36137,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,rauschii,NULL,35177,S,17178
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,grandis,NULL,34964,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Cylindropuntia,munzii,NULL,36976,S,26422
Plantae,CARYOPHYLLALES,CACTACEAE,Dolichothele,balsasoides,NULL,36133,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Dolichothele,beneckei,NULL,36135,S,15637
Plantae,CARYOPHYLLALES,CACTACEAE,Uebelmannia,flavispina,NULL,69503,S,170184
Plantae,CARYOPHYLLALES,CACTACEAE,Cylindropuntia,brittonii,NULL,36938,S,105235
Plantae,CARYOPHYLLALES,CACTACEAE,Cylindropuntia,leptocaulis,NULL,36939,S,105235
Plantae,CARYOPHYLLALES,CACTACEAE,Trichocereus,grandis,NULL,34967,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Trichocereus,ingens,NULL,34970,S,106502
Plantae,CARYOPHYLLALES,CACTACEAE,Trichocereus,bruchii,NULL,34961,S,106502
Plantae,EUPHORBIALES,EUPHORBIACEAE,Euphorbia,neohumbertii,aureoviridiflora,9392,S,170810
Plantae,EUPHORBIALES,EUPHORBIACEAE,Euphorbia,graveolens,NULL,76750,S,28445
Plantae,EUPHORBIALES,EUPHORBIACEAE,Tirucallia,plagiantha,NULL,32432,S,9258
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,corcyrensis,NULL,143601,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,reginae-olgae,76367,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,corcyrensis,NULL,35848,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,rachelae,NULL,35849,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,olgae,NULL,148098,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,elsae,35851,S,170752
