Kingdom, PhyName, ClaName, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, CHORDATA, MAMMALIA, PRIMATES, INDRIIDAE, Avahi, laniger, NULL, 2434, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, INDRIIDAE, Avahi, occidentalis, NULL, 2435, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Aviceda, madagascariensis, NULL, 2440, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Aviceda, subcristata, NULL, 2441, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Aviceda, cuculoides, NULL, 2437, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Aviceda, jerdoni, NULL, 2438, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Aviceda, leuphotes, NULL, 2439, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, CERVIDAE, Axis, porcinus, annamiticus, 2445, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, CERVIDAE, Axis, calamianensis, NULL, 2446, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, CERVIDAE, Axis, kuhlii, NULL, 2447, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Aythya, nyroca, NULL, 2457, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, SUIDAE, Babyrousa, babyrussa, NULL, 2461, A
Animalia, CHORDATA, AVES, PICIFORMES, RAMPHASTIDAE, Baillonius, bailloni, NULL, 2464, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENIDAE, Balaena, mysticetus, NULL, 2467, A
Animalia, CHORDATA, AVES, CICONIIFORMES, BALAENICIPITIDAE, Balaeniceps, rex, NULL, 2473, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENOPTERIDAE, Balaenoptera, musculus, NULL, 2477, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENOPTERIDAE, Balaenoptera, physalus, NULL, 2478, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENOPTERIDAE, Balaenoptera, bonaerensis, NULL, 2480, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENOPTERIDAE, Balaenoptera, acutorostrata, NULL, 2474, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENOPTERIDAE, Balaenoptera, borealis, NULL, 2475, A
Animalia, CHORDATA, MAMMALIA, CETACEA, BALAENOPTERIDAE, Balaenoptera, edeni, NULL, 2476, A
Animalia, CHORDATA, AVES, STRIGIFORMES, STRIGIDAE, Heteroglaux, blewitti, NULL, 2349, A
Animalia, CHORDATA, REPTILIA, TESTUDINES, EMYDIDAE, Glyptemys, muhlenbergii, NULL, 4967, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Orthopsittaca, manilata, NULL, 1970, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Psilopsiagon, aurifrons, NULL, 2852, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Psilopsiagon, aymara, NULL, 2853, A
Animalia, CHORDATA, AVES, GALLIFORMES, PHASIANIDAE, Agelastes, meleagrides, NULL, 681, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Agkistrodon, bilineatus, NULL, 682, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Aglaeactis, pamela, NULL, 690, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Aglaeactis, aliciae, NULL, 687, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Aglaeactis, castelnaudii, NULL, 688, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Aglaeactis, cupripennis, NULL, 689, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Aglaiocercus, coelestis, NULL, 691, A
