Kingdom,SpcRecID, CtyRecID, CtyShort
Plantae,75836,133, Martinique
Plantae,75836,137, Mexico
Plantae,75836,75, French Guiana
Plantae,75836,87, Guadeloupe
Plantae,75836,92, Guyana
Plantae,75836,59, Dominica
Plantae,75836,60, Dominican Republic
Plantae,75836,62, Ecuador
Plantae,75836,30, Brazil
Plantae,75836,47, Colombia
Plantae,75836,53, Cuba
Plantae,75836,9, Antigua and Barbuda
Plantae,75836,10, Argentina
Plantae,75836,19, Barbados
Plantae,76481,236, Democratic Republic of the Congo
Plantae,77401,221, United Kingdom
Plantae,77401,235, Yugoslavia
Plantae,77401,267, Serbia
Plantae,77401,196, Spain
Plantae,77401,203, Switzerland
Plantae,77401,214, Turkey
Plantae,77401,149, Netherlands
Plantae,77401,173, Romania
Plantae,77401,174, Russian Federation
Plantae,77401,84, Greece
Plantae,77401,97, Hungary
Plantae,77401,105, Italy
Plantae,77401,55, Czech Republic
Plantae,77401,73, France
Plantae,77401,81, Germany
Plantae,77401,14, Austria
Plantae,77401,21, Belgium
Plantae,77401,33, Bulgaria
Plantae,84809,137, Mexico
Plantae,84809,222, United States
Plantae,87333,222, United States
Plantae,88022,47, Colombia
Plantae,88022,62, Ecuador
Plantae,88101,62, Ecuador
Plantae,88419,62, Ecuador
Plantae,88637,62, Ecuador
Plantae,100018,62, Ecuador
Plantae,100018,47, Colombia
Plantae,100452,62, Ecuador
Plantae,100604,62, Ecuador
Plantae,100759,47, Colombia
Plantae,100759,163, Panama
Plantae,100759,26, Bolivia
Plantae,100759,62, Ecuador
Plantae,100759,166, Peru
Plantae,100759,51, Costa Rica
Plantae,101652,167, Philippines
Plantae,102460,208, Thailand
Plantae,104810,137, Mexico
Plantae,104952,137, Mexico
Plantae,105235,137, Mexico
Plantae,105235,222, United States
Plantae,105431,118, Lebanon
Plantae,105431,204, Syrian Arab Republic
Plantae,105431,214, Turkey
Plantae,105431,84, Greece
Plantae,105431,104, Israel
Plantae,105431,108, Jordan
Plantae,105431,54, Cyprus
Plantae,105969,106, Jamaica
Plantae,106108,194, South Africa
Plantae,106243,193, Somalia
Plantae,106312,30, Brazil
Plantae,106312,165, Paraguay
Plantae,106502,10, Argentina
Plantae,106557,10, Argentina
Plantae,106557,26, Bolivia
Plantae,106615,166, Peru
Plantae,106737,185, Saudi Arabia
Plantae,106737,234, Yemen
Plantae,106802,146, Namibia
Plantae,106965,10, Argentina
Plantae,107368,165, Paraguay
Plantae,107368,166, Peru
Plantae,107368,10, Argentina
Plantae,107368,26, Bolivia
Plantae,107368,30, Brazil
Plantae,107575,53, Cuba
Plantae,107575,222, United States
Plantae,107643,26, Bolivia
Plantae,107769,163, Panama
Plantae,107832,222, United States
Plantae,107892,30, Brazil
Plantae,109940,208, Thailand
Plantae,109940,100, Indonesia
Plantae,109940,189, Singapore
Plantae,109940,229, Viet Nam
Plantae,109940,128, Malaysia
Plantae,111115,126, Madagascar
Plantae,155976,13, Australia
Plantae,156271,13, Australia
Plantae,156686,13, Australia
Plantae,157400,13, Australia
Plantae,158200,194, South Africa
Plantae,158883,194, South Africa
Plantae,159997,194, South Africa
Plantae,160571,126, Madagascar
Plantae,161383,135, Mauritius
Plantae,161383,176, Reunion
Plantae,161443,194, South Africa
Plantae,169947,137, Mexico
Plantae,170184,30, Brazil
Plantae,170752,267, Serbia
Plantae,170752,84, Greece
Plantae,170752,105, Italy
Plantae,170752,235, Yugoslavia
Plantae,170810,126, Madagascar
Plantae,170865,188, Sierra Leone
Plantae,172795,44, China
Plantae,173215,171, Puerto Rico
Plantae,173353,30, Brazil
Plantae,173441,126, Madagascar
Plantae,173441,48, Comoros
Plantae,173717,164, Papua New Guinea
Plantae,174055,76, French Polynesia
Plantae,174618,164, Papua New Guinea
Plantae,174618,100, Indonesia
Plantae,174952,164, Papua New Guinea
Plantae,175279,126, Madagascar
Plantae,175413,53, Cuba
Plantae,175680,62, Ecuador
Plantae,175680,47, Colombia
Plantae,175750,137, Mexico
Plantae,175750,89, Guatemala
Plantae,175750,163, Panama
Plantae,175750,22, Belize
Plantae,175750,51, Costa Rica
Plantae,175750,153, Nicaragua
Plantae,175891,47, Colombia
Plantae,176315,47, Colombia
Plantae,176386,47, Colombia
Plantae,176585,100, Indonesia
Plantae,176585,128, Malaysia
Plantae,176652,100, Indonesia
Plantae,179048,119, Lesotho
Plantae,179048,194, South Africa
Plantae,179280,194, South Africa
