SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
1044, II/w, 1987-03-20,203, NULL
1046, II/r, 1981-06-06,122, NULL
1046, II/r, 1981-06-06,203, NULL
1046, I/r, 2003-02-13,167, NULL
1047, II/w, 1987-03-20,122, NULL
1047, II/w, 1987-03-20,203, NULL
1047, II/r, 1981-06-06,122, NULL
1047, II/r, 1981-06-06,203, NULL
1051, II/r, 1981-06-06,122, NULL
1051, II/r, 1981-06-06,203, NULL
1051, II/w, 1985-04-15,122, NULL
1051, II/w, 1985-04-15,203, NULL
1052, II/r, 1981-06-06,122, NULL
1052, II/r, 1981-06-06,203, NULL
1052, II/w, 1987-03-20,122, NULL
1052, II/w, 1987-03-20,203, NULL
1053, II/r, 1981-06-06,122, NULL
1053, II/r, 1981-06-06,203, NULL
1053, II/w, 1987-03-20,122, NULL
1053, II/w, 1987-03-20,203, NULL
1054, II/r, 1981-06-06,122, NULL
1054, II/r, 1981-06-06,203, NULL
1054, II/w, 1987-03-20,122, NULL
1054, II/w, 1987-03-20,203, NULL
1057, II/r, 1981-06-06,122, NULL
1057, II/r, 1981-06-06,203, NULL
1057, II/w, 1987-03-20,122, NULL
1057, II/w, 1987-03-20,203, NULL
1059, II/r, 1981-06-06,122, NULL
1059, II/r, 1981-06-06,203, NULL
1059, II/w, 1987-03-20,122, NULL
1059, II/w, 1987-03-20,203, NULL
1060, II/r, 1981-06-06,203, NULL
1060, II/r, 1981-06-06,122, NULL
1061, II/r, 1981-06-06,122, NULL
1061, II/r, 1981-06-06,203, NULL
1061, I/r, 2003-02-13,167, NULL
1064, II/r, 1981-06-06,122, NULL
1064, II/r, 1981-06-06,203, NULL
1064, II/w, 1987-03-20,122, NULL
1064, II/w, 1987-03-20,203, NULL
1065, II/r, 1981-06-06,122, NULL
1065, II/r, 1981-06-06,203, NULL
1065, II/w, 1987-03-20,122, NULL
1065, II/w, 1987-03-20,203, NULL
1068, II/r, 1981-06-06,122, NULL
1068, II/r, 1981-06-06,203, NULL
1068, II/w, 1987-03-20,122, NULL
1068, II/w, 1987-03-20,203, NULL
1070, II/r, 1981-06-06,122, NULL
1070, II/r, 1981-06-06,203, NULL
1070, II/w, 1987-03-20,122, NULL
1070, II/w, 1987-03-20,203, NULL
1071, II/r, 1981-06-06,122, NULL
1071, II/r, 1981-06-06,203, NULL
1071, II/w, 1987-03-20,122, NULL
1071, II/w, 1987-03-20,203, NULL
1072, II/r, 1981-06-06,122, NULL
1072, II/r, 1981-06-06,203, NULL
1072, II/w, 1987-03-20,122, NULL
1072, II/w, 1987-03-20,203, NULL
1073, II/r, 1981-06-06,122, NULL
1073, II/r, 1981-06-06,203, NULL
1073, II/w, 1985-04-15,122, NULL
1073, II/w, 1985-04-15,203, NULL
1084, III/r, 1977-10-24,57, NULL
1084, III/w, 1984-01-01,57, NULL
1084, III, 1976-02-26,82, Originally listed as Ploceidae spp.
1084, Deleted, 2007-03-04,82, NULL
1086, II/r, 1976-10-31,221,On behalf of HK
1086, II/w, 1978-03-07,221,On behalf of HK
1151, II/r, 1983-07-29,14, NULL
1151, II/w, 1989-01-06,14, NULL
1151, III/r, 1977-10-24,57, NULL
1151, III/w, 1983-07-29,57, NULL
1151, III, 1976-04-22,213, NULL
1217, III/r, 1977-10-24,57, NULL
1217, III/w, 1984-01-01,57, NULL
1217, Deleted, 2007-03-04,82, NULL
1217, III, 1976-02-26,82, Originally listed as Ploceidae spp.
1219, III, 1976-02-26,82, Originally listed as Anatidae spp.
1219, Deleted, 2007-03-04,82, NULL
1219, III/r, 1977-10-24,57, NULL
1219, III/w, 1984-01-01,57, NULL
1223, III/r, 1977-10-24,57, NULL
1223, III/w, 1984-01-01,57, NULL
1223, Deleted, 2007-03-04,82, NULL
1223, III, 1976-02-26,82, Originally listed as Anatidae spp.
1224, III, 1976-02-26,82, Originally listed as Anatidae spp.
1224, Deleted, 2007-03-04,82, NULL
1224, III/r, 1977-10-24,57, NULL
1224, III/w, 1984-01-01,57, NULL
1225, III/r, 1977-10-24,57, NULL
1225, III/w, 1984-01-01,57, NULL
1225, Deleted, 2007-03-04,82, NULL
1225, III, 1976-02-26,82, Originally listed as Anatidae spp.
1231, III, 1976-02-26,82, Originally listed as Anatidae spp.
1231, Deleted, 2007-03-04,82, NULL
1231, III/r, 1977-10-24,57, NULL
1231, III/w, 1984-01-01,57, NULL
1233, III/r, 1977-10-24,57, NULL
1233, III/w, 1984-01-01,57, NULL
1233, Deleted, 2007-03-04,82, NULL
1233, III, 1976-02-26,82, Originally listed as Anatidae spp.
1548, III, 1976-02-26,82, Originally listed as Ploceidae spp.
1548, Deleted, 2007-03-04,82, NULL
1548, III/r, 1977-10-24,57, NULL
1548, III/w, 1984-01-01,57, NULL
1549, III/r, 1977-10-24,57, NULL
1549, III/w, 1984-01-01,57, NULL
1549, III, 1976-02-26,82, Originally listed under Anomalurus spp.
1549, Deleted, 2007-03-04,82, NULL
1550, Deleted, 2007-03-04,82, NULL
1550, III, 1976-02-26,82, Originally listed under Anomalurus spp.
1550, III/r, 1977-10-24,57, NULL
1550, III/w, 1984-01-01,57, NULL
1551, III/r, 1977-10-24,57, NULL
1551, III/w, 1984-01-01,57, NULL
1551, III, 1976-02-26,82, Originally listed under Anomalurus spp.
1551, Deleted, 2007-03-04,82, NULL
1572, II/r, 1975-07-09,38, NULL
1572, II/w, 1982-10-29,38, NULL
1681, III/r, 1977-10-24,57, NULL
1681, III/w, 1984-01-01,57, NULL
1681, III, 1975-11-16,148, NULL
1793, III, 1975-07-01,82, NULL
1820, I/r, 1976-10-31,221,On behalf of HK
1820, I/w, 1978-07-03,221,On behalf of HK
1931, II/r, 1981-06-06,122, NULL
1931, II/r, 1981-06-06,203, NULL
1931, II/w, 1987-03-20,122, NULL
1931, II/w, 1987-03-20,203, NULL
1932, II/r, 1981-06-06,122, NULL
1932, II/r, 1981-06-06,203, NULL
1932, II/w, 1987-03-20,122, NULL
1932, II/w, 1987-03-20,203, NULL
1951, I/r, 1996-06-10,185, NULL
1953, II/r, 1975-07-09,38, NULL
1953, II/w, 1977-04-15,38, NULL
1956, I/r, 1996-06-10,185, NULL
1963, III, 1976-10-28,51, NULL
1963, I/r, 1985-08-01,14, NULL
1963, I/w, 1989-01-06,14, NULL
1963, III/r, 1977-10-24,57, NULL
1963, III/w, 1981-06-06,57, NULL
1967, I/r, 2003-02-13,167, NULL
1968, I/r, 1983-07-29,14, NULL
1968, I/w, 1989-01-06,14, NULL
1969, I/r, 1985-08-01,14, NULL
1969, I/r, 1985-08-01,203, NULL
1969, I/r, 1985-08-01,122, NULL
1969, I/r, 1985-08-01,199, NULL
1969, I/w, 1989-01-06,14, NULL
1969, III/r, 1977-10-24,57, NULL
1969, III/w, 1981-06-06,57, NULL
1969, III, 1976-10-28,51, NULL
1974, I/r, 1983-07-29,14, NULL
1974, I/w, 1989-01-06,14, NULL
1992, II/r, 1981-06-06,122, NULL
1992, II/r, 1981-06-06,203, NULL
1993, II/r, 1981-06-06,122, NULL
1993, II/r, 1981-06-06,203, NULL
1994, II/r, 1981-06-06,122, NULL
1994, II/r, 1981-06-06,203, NULL
1995, II/r, 1981-06-06,122, NULL
1995, II/r, 1981-06-06,203, NULL
1996, II/r, 1981-06-06,122, NULL
1996, II/r, 1981-06-06,203, NULL
1997, II/r, 1981-06-06,122, NULL
1997, II/r, 1981-06-06,203, NULL
1998, II/r, 1981-06-06,122, NULL
1998, II/r, 1981-06-06,203, NULL
1999, II/r, 1981-06-06,122, NULL
1999, II/r, 1981-06-06,203, NULL
2000, II/r, 1981-06-06,122, NULL
2000, II/r, 1981-06-06,203, NULL
2002, II/r, 1981-06-06,122, NULL
2002, II/r, 1981-06-06,203, NULL
2003, II/r, 1981-06-06,122, NULL
2003, II/r, 1981-06-06,203, NULL
2004, II/r, 1981-06-06,122, NULL
2004, II/r, 1981-06-06,203, NULL
2005, II/r, 1981-06-06,122, NULL
2005, II/r, 1981-06-06,203, NULL
2006, II/r, 1981-06-06,122, NULL
2006, II/r, 1981-06-06,203, NULL
2007, II/r, 1981-06-06,122, NULL
2007, II/r, 1981-06-06,203, NULL
2008, II/r, 1981-06-06,122, NULL
2008, II/r, 1981-06-06,203, NULL
2009, II/r, 1981-06-06,122, NULL
2009, II/r, 1981-06-06,203, NULL
2010, II/r, 1981-06-06,122, NULL
2010, II/r, 1981-06-06,203, NULL
2011, II/r, 1981-06-06,122, NULL
2011, II/r, 1981-06-06,203, NULL
2015, II/r, 1981-06-06,122, NULL
2015, II/r, 1981-06-06,203, NULL
2024, Deleted, 2009-05-22,128, NULL
2024, III, 1986-11-13,128, NULL
2051, III, 1989-03-16,99, NULL
2051, III/r, 2000-08-16,81, NULL
2051, III/w, 2001-04-12,81, NULL
2051, III/r, 1989-03-16,81, NULL
2051, III/w, 1990-04-23,81, NULL
2051, III/r, 1989-03-16,57, NULL
2051, III/w, 1990-01-18,57, NULL
2051, III/r, 1989-05-24,196, NULL
2051, III/w, 1990-10-23,196, NULL
2051, III/r, 1989-05-17,221, NULL
2051, III/w, 1990-05-25,221, NULL
2051, III/r, 1989-03-16,105, NULL
2051, III/w, 1990-03-01,105, NULL
2051, III/r, 1989-03-30,124, NULL
2051, III/r, 1990-04-18,124, NULL
2051, III/r, 1989-06-29,149, NULL
2051, III/w, 1991-01-11,149, NULL
2051, III/r, 1989-07-28,170, NULL
2051, III/w, 1990-08-03,170, NULL
2074, III/r, 1977-10-24,57, NULL
2074, III/w, 1984-01-01,57, NULL
2074, III, 1976-02-26,82, NULL
2074, Deleted, 2007-03-04,82, NULL
2173, I/r, 1976-10-31,221,On behalf of HK
2173, I/w, 1978-07-03,221,On behalf of HK
2266, III/r, 1977-10-24,57, NULL
2266, III/w, 1979-06-28,57, NULL
2266, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
2370, III, 1984-02-13,99, NULL
2457, III, 1976-02-26,82, Originally listed as Anatidae spp.
2457, Deleted, 2007-03-04,82, NULL
2457, III/r, 1977-10-24,57, NULL
2457, III/w, 1984-01-01,57, NULL
2464, III, 1992-06-11,10, NULL
2467, I/r, 1975-07-09,38, NULL
2467, I/w, 1978-08-11,38, NULL
2474, I/r, 1986-01-01,14, NULL
2474, I/r, 1986-01-01,30, NULL
2474, I/r, 1986-01-01,107, Except population of West Greenland
2474, I/r, 1986-01-01,159, Except population of West Greenland
2474, I/r, 1986-01-01,166, Except population of West Greenland
2474, I/r, 1986-01-01,241, NULL
2474, I/w, 1989-01-06,14, NULL
2474, I/w, 1991-05-07,30, NULL
2474, I/w, 1995-04-26,241, NULL
2474, I/r, 2004-07-15,162, NULL
2474, II/r, 2000-04-02,98, Population of West Greenland
2474, I/r, 2000-04-02,98, Except population of West Greenland
2474, I/w, 2001-10-24,166, NULL
2475, I/r, 2000-04-02,98, NULL
2475, II/r, 1977-02-04,38, NULL
2475, II/r, 1977-02-04,194, NULL
2475, II/w, 1979-06-28,38, Reservation withdrawn as species transferred from II to I
2475, II/w, 1979-06-28,194, Reservation withdrawn as species transferred from II to I
2475, I/r, 1981-06-06,107,"Reservation not applicable to stocks (A) in North Pacific and (B) in area 0 longitude to 70 east longitude from the equator to the Antarctic continent"
2475, I/r, 1981-06-06,159,"Reservation not applicable to stocks (A) in North Pacific and (B) in area 0 longitude from the equator to the Antarctic continent"
2475, I/r, 1977-02-04,13, NULL
2475, I/r, 1977-02-04,38, NULL
2475, I/r, 1977-02-04,241, NULL
2475, I/r, 1977-02-04,194, NULL
2475, I/w, 1981-08-27,13, NULL
2475, I/w, 1982-10-29,38, NULL
2475, I/w, 1995-04-26,241, NULL
2475, I/w, 1981-02-17,194, NULL
2476, I/r, 1983-07-29,14, NULL
2476, I/r, 1983-07-29,30, NULL
2476, I/r, 1983-07-29,107, NULL
2476, I/r, 1983-07-29,166, NULL
2476, I/r, 1983-07-29,241, NULL
2476, I/w, 1989-01-06,14, NULL
2476, I/w, 1991-05-07,30, NULL
2476, I/w, 1995-04-26,241, NULL
2476, I/w, 2001-10-24,166, NULL
2477, I/r, 2000-04-02,98, NULL
2477, I/r, 1975-07-09,38, NULL
2477, I/w, 1978-08-11,38, NULL
2478, I/r, 1977-02-04,13, NULL
2478, I/r, 1977-02-04,38, NULL
2478, I/r, 1980-11-04,107,"Stocks in N. Atlantic off Iceland and off Newfoundland; stock in area from 40S to the Antarctic continent form 120W to 60W"
2478, I/r, 1977-02-04,241, NULL
2478, I/r, 1977-02-04,194, NULL
2478, I/w, 1981-08-27,13, NULL
2478, I/w, 1982-10-29,38, NULL
2478, I/r, 1981-06-06,107, NULL
2478, I/w, 1995-04-26,241, NULL
2478, I/w, 1981-02-17,194, NULL
2478, I/r, 1981-06-06,159, NULL
2478, II/r, 1977-02-04,38, NULL
2478, II/r, 1977-02-04,194, NULL
2478, II/w, 1979-06-28,38, Reservation withdrawn as species transferred from II to I
2478, II/w, 1979-06-28,194, Reservation withdrawn as species transferred from II to I
2478, III, 1976-07-14,224, NULL
2478, I/r, 2000-04-02,98, NULL
2480, I/r, 2000-07-19,107, NULL
2480, I/r, 1986-01-01,166, NULL
2480, I/w, 2001-10-24,166, NULL
2609, III, 1976-10-28,51, NULL
2609, III/r, 1977-10-24,57, NULL
2609, III/w, 1984-01-01,57, NULL
2613, III/r, 1977-10-24,57, NULL
2613, III/w, 1984-01-01,57, NULL
2613, III, 1976-10-28,51, NULL
2614, I/r, 1976-10-31,221,On behalf of HK
2614, I/w, 1978-07-03,221,On behalf of HK
2678, III, 1975-12-04,135, NULL
2678, III/r, 1977-10-24,57, NULL
2678, III/w, 1984-01-01,57, NULL
2763, I/r, 1983-07-29,107, NULL
2813, I/r, 1975-07-09,38, NULL
2813, I/w, 1977-04-15,38, NULL
2836, II/r, 1976-10-31,221,On behalf of HK
2836, II/w, 1978-03-07,221,On behalf of HK
2851, II/r, 1981-06-06,122, NULL
2851, II/r, 1981-06-06,203, NULL
