Kingdom,SpcRecID, CtyRecID, CtyShort
Animalia,2351,154, Niger
Animalia,2351,160, Oman
Animalia,2351,161, Pakistan
Animalia,2351,169, Poland
Animalia,2351,170, Portugal
Animalia,2351,173, Romania
Animalia,2351,174, Russian Federation
Animalia,2351,185, Saudi Arabia
Animalia,2351,193, Somalia
Animalia,2351,196, Spain
Animalia,2351,203, Switzerland
Animalia,2351,204, Syrian Arab Republic
Animalia,2351,206, Tajikistan
Animalia,2351,213, Tunisia
Animalia,2351,214, Turkey
Animalia,2351,215, Turkmenistan
Animalia,2351,219, Ukraine
Animalia,2351,220, United Arab Emirates
Animalia,2351,221, United Kingdom of Great Britain and Northern Ireland
Animalia,2351,225, Uzbekistan
Animalia,2351,233, Western Sahara
Animalia,2351,234, Yemen
Animalia,2351,72, Finland
Animalia,2351,267, Serbia
Animalia,2351,103, Ireland
Animalia,2351,112, Democratic People's Republic of Korea
Animalia,2351,131, Malta
Animalia,2351,159, Norway
Animalia,2351,202, Sweden
Animalia,2351,66, Eritrea
Animalia,2351,190, Slovakia
Animalia,2351,27, Bosnia and Herzegovina
Animalia,2351,52, Croatia
Animalia,2351,239, The former Yugoslav Republic of Macedonia
Animalia,2351,191, Slovenia
Animalia,2350,18, Bangladesh
Animalia,2350,25, Bhutan
Animalia,2350,36, Cambodia
Animalia,2350,99, India
Animalia,2350,101, Iran (Islamic Republic of)
Animalia,2350,116, Lao People's Democratic Republic
Animalia,2350,145, Myanmar
Animalia,2350,148, Nepal
Animalia,2350,161, Pakistan
Animalia,2350,208, Thailand
Animalia,2350,229, Viet Nam
Animalia,2351,1, Afghanistan
Animalia,2351,2, Albania
Animalia,2351,3, Algeria
Animalia,2351,5, Andorra
Animalia,2351,11, Armenia
Animalia,2351,14, Austria
Animalia,2351,15, Azerbaijan
Animalia,2351,20, Belarus
Animalia,2351,21, Belgium
Animalia,2351,33, Bulgaria
Animalia,2351,42, Chad
Animalia,2351,44, China
Animalia,2351,54, Cyprus
Animalia,2351,55, Czech Republic
Animalia,2351,57, Denmark
Animalia,2351,58, Djibouti
Animalia,2351,63, Egypt
Animalia,2351,68, Ethiopia
Animalia,2167,16, Bahamas
Animalia,2167,40, Cayman Islands
Animalia,2165,56, Côte d'Ivoire
Animalia,2170,95, Honduras
Animalia,2169,25, Bhutan
Animalia,2167,25, Bhutan
Animalia,2168,126, Madagascar
Animalia,2167,120, Liberia
Animalia,2169,200, Svalbard and Jan Mayen Islands
Animalia,2167,22, Belize
Animalia,2167,138, Micronesia (Federated States of)
Animalia,2167,87, Guadeloupe
Animalia,2167,212, Trinidad and Tobago
Animalia,2167,155, Nigeria
Animalia,2167,128, Malaysia
Animalia,2170,166, Peru
Animalia,2170,92, Guyana
Animalia,2167,37, Cameroon
Animalia,2167,268, Montenegro
Animalia,2169,268, Montenegro
Animalia,2167,125, Macao
Animalia,2164,68, Ethiopia
Animalia,2164,110, Kenya
Animalia,2164,218, Uganda
Animalia,2164,236, Democratic Republic of the Congo
Animalia,2164,175, Rwanda
Animalia,2165,3, Algeria
Animalia,2165,6, Angola
Animalia,2165,23, Benin
Animalia,2165,28, Botswana
Animalia,2165,34, Burkina Faso
Animalia,2165,35, Burundi
Animalia,2165,37, Cameroon
Animalia,2165,42, Chad
Animalia,2165,49, Congo
Animalia,2165,68, Ethiopia
Animalia,2165,110, Kenya
Animalia,2165,119, Lesotho
Animalia,2165,126, Madagascar
Animalia,2165,127, Malawi
Animalia,2165,130, Mali
Animalia,2165,143, Morocco
Animalia,2165,144, Mozambique
Animalia,2165,146, Namibia
Animalia,2165,155, Nigeria
Animalia,2165,175, Rwanda
Animalia,2165,194, South Africa
Animalia,2165,201, Swaziland
Animalia,2165,207, United Republic of Tanzania
Animalia,2165,218, Uganda
Animalia,2165,236, Democratic Republic of the Congo
Animalia,2165,237, Zambia
Animalia,2165,79, Gambia
Animalia,2165,170, Portugal
Animalia,2165,186, Senegal
Animalia,2165,196, Spain
Animalia,2165,238, Zimbabwe
Animalia,2165,134, Mauritania
Animalia,2165,90, Guinea
Animalia,2167,10, Argentina
Animalia,2167,11, Armenia
Animalia,2167,14, Austria
Animalia,2167,15, Azerbaijan
Animalia,2167,20, Belarus
Animalia,2165,270, South Sudan
Animalia,2167,21, Belgium
Animalia,2167,26, Bolivia
Animalia,2167,30, Brazil
Animalia,2167,33, Bulgaria
Animalia,2167,38, Canada
Animalia,2167,43, Chile
Animalia,2167,44, China
Animalia,2167,47, Colombia
Animalia,2167,53, Cuba
Animalia,2167,55, Czech Republic
Animalia,2167,57, Denmark
Animalia,2167,60, Dominican Republic
Animalia,2167,62, Ecuador
Animalia,2167,67, Estonia
Animalia,2167,69, Falkland Islands (Malvinas)
Animalia,2167,72, Finland
Animalia,2167,73, France
Animalia,2167,75, French Guiana
Animalia,2167,80, Georgia
Animalia,2167,81, Germany
Animalia,2167,84, Greece
Animalia,2167,92, Guyana
Animalia,2167,93, Haiti
Animalia,2167,97, Hungary
Animalia,2167,98, Iceland
Animalia,2167,103, Ireland
Animalia,2167,104, Israel
Animalia,2167,109, Kazakhstan
Animalia,2167,115, Kyrgyzstan
Animalia,2167,117, Latvia
Animalia,2167,123, Lithuania
Animalia,2167,139, Republic of Moldova
Animalia,2167,141, Mongolia
Animalia,2167,149, Netherlands
Animalia,2167,159, Norway
Animalia,2167,165, Paraguay
Animalia,2167,166, Peru
Animalia,2167,169, Poland
Animalia,2167,171, Puerto Rico
Animalia,2167,173, Romania
Animalia,2167,174, Russian Federation
Animalia,2167,180, Saint Pierre and Miquelon
Animalia,2167,196, Spain
Animalia,2167,199, Suriname
Animalia,2167,202, Sweden
Animalia,2167,214, Turkey
Animalia,2167,215, Turkmenistan
Animalia,2167,219, Ukraine
Animalia,2167,222, United States of America
Animalia,2167,221, United Kingdom of Great Britain and Northern Ireland
Animalia,2167,224, Uruguay
Animalia,2167,225, Uzbekistan
Animalia,2167,228, Venezuela (Bolivarian Republic of)
Animalia,2167,1, Afghanistan
Animalia,2167,2, Albania
Animalia,2167,3, Algeria
Animalia,2167,17, Bahrain
Animalia,2167,18, Bangladesh
Animalia,2167,42, Chad
Animalia,2167,54, Cyprus
Animalia,2167,63, Egypt
Animalia,2167,68, Ethiopia
Animalia,2167,70, Faeroe Islands
Animalia,2167,99, India
Animalia,2167,101, Iran (Islamic Republic of)
Animalia,2167,102, Iraq
Animalia,2167,105, Italy
Animalia,2167,107, Japan
Animalia,2167,112, Democratic People's Republic of Korea
Animalia,2167,113, Republic of Korea 
Animalia,2167,114, Kuwait
Animalia,2167,116, Lao People's Democratic Republic
Animalia,2167,118, Lebanon
Animalia,2167,121, Libyan Arab Jamahiriya
Animalia,2167,124, Luxembourg
Animalia,2167,129, Maldives
Animalia,2167,130, Mali
Animalia,2167,131, Malta
Animalia,2167,134, Mauritania
Animalia,2167,137, Mexico
Animalia,2167,143, Morocco
Animalia,2167,145, Myanmar
Animalia,2167,148, Nepal
Animalia,2167,160, Oman
Animalia,2167,161, Pakistan
Animalia,2167,170, Portugal
Animalia,2167,172, Qatar
Animalia,2167,185, Saudi Arabia
Animalia,2167,186, Senegal
Animalia,2167,203, Switzerland
Animalia,2167,205,"Taiwan, Province of China"
Animalia,2167,206, Tajikistan
Animalia,2167,213, Tunisia
Animalia,2167,220, United Arab Emirates
Animalia,2167,229, Viet Nam
Animalia,2167,24, Bermuda
Animalia,2167,32, Brunei Darussalam
Animalia,2167,39, Cape Verde
Animalia,2167,51, Costa Rica
Animalia,2167,83, Gibraltar
Animalia,2167,85, Greenland
Animalia,2167,88, Guam
Animalia,2167,89, Guatemala
Animalia,2167,90, Guinea
Animalia,2167,96, Hong Kong SAR
Animalia,2167,108, Jordan
Animalia,2167,110, Kenya
Animalia,2167,122, Liechtenstein
Animalia,2167,132, Marshall Islands
Animalia,2167,154, Niger
Animalia,2167,158, Northern Mariana Islands
Animalia,2167,167, Philippines
Animalia,2167,189, Singapore
Animalia,2167,197, Sri Lanka
Animalia,2167,200, Svalbard and Jan Mayen Islands
Animalia,2167,267, Serbia
Animalia,2167,271, Sudan
