Kingdom,SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
Animalia,1054, II/r, 1981-06-06,122, NULL
Animalia,1054, II/r, 1981-06-06,203, NULL
Animalia,1054, II/w, 1987-03-20,122, NULL
Animalia,1054, II/w, 1987-03-20,203, NULL
Animalia,1057, II/r, 1981-06-06,122, NULL
Animalia,1057, II/r, 1981-06-06,203, NULL
Animalia,1057, II/w, 1987-03-20,122, NULL
Animalia,1057, II/w, 1987-03-20,203, NULL
Animalia,1059, II/r, 1981-06-06,122, NULL
Animalia,1059, II/r, 1981-06-06,203, NULL
Animalia,1059, II/w, 1987-03-20,122, NULL
Animalia,1059, II/w, 1987-03-20,203, NULL
Animalia,1060, II/r, 1981-06-06,203, NULL
Animalia,1060, II/r, 1981-06-06,122, NULL
Animalia,1061, II/r, 1981-06-06,122, NULL
Animalia,1061, II/r, 1981-06-06,203, NULL
Animalia,1061, I/r, 2003-02-13,167, NULL
Animalia,1064, II/r, 1981-06-06,122, NULL
Animalia,1064, II/r, 1981-06-06,203, NULL
Animalia,1064, II/w, 1987-03-20,122, NULL
Animalia,1064, II/w, 1987-03-20,203, NULL
Animalia,1065, II/r, 1981-06-06,122, NULL
Animalia,1065, II/r, 1981-06-06,203, NULL
Animalia,1065, II/w, 1987-03-20,122, NULL
Animalia,1065, II/w, 1987-03-20,203, NULL
Animalia,1068, II/r, 1981-06-06,122, NULL
Animalia,1068, II/r, 1981-06-06,203, NULL
Animalia,1068, II/w, 1987-03-20,122, NULL
Animalia,1068, II/w, 1987-03-20,203, NULL
Animalia,1070, II/r, 1981-06-06,122, NULL
Animalia,1070, II/r, 1981-06-06,203, NULL
Animalia,1070, II/w, 1987-03-20,122, NULL
Animalia,1070, II/w, 1987-03-20,203, NULL
Animalia,1071, II/r, 1981-06-06,122, NULL
Animalia,1071, II/r, 1981-06-06,203, NULL
Animalia,1071, II/w, 1987-03-20,122, NULL
Animalia,1071, II/w, 1987-03-20,203, NULL
Animalia,1072, II/r, 1981-06-06,122, NULL
Animalia,1072, II/r, 1981-06-06,203, NULL
Animalia,1072, II/w, 1987-03-20,122, NULL
Animalia,1072, II/w, 1987-03-20,203, NULL
Animalia,1073, II/r, 1981-06-06,122, NULL
Animalia,1073, II/r, 1981-06-06,203, NULL
Animalia,1073, II/w, 1985-04-15,122, NULL
Animalia,1073, II/w, 1985-04-15,203, NULL
Animalia,1084, III/r, 1977-10-24,57, NULL
Animalia,1084, III/w, 1984-01-01,57, NULL
Animalia,1084, III, 1976-02-26,82, Originally listed as Ploceidae spp.
Animalia,1084, Deleted, 2007-03-04,82, NULL
Animalia,1086, II/r, 1976-10-31,221,On behalf of HK
Animalia,1086, II/w, 1978-03-07,221,On behalf of HK
Animalia,1151, II/r, 1983-07-29,14, NULL
Animalia,1151, II/w, 1989-01-06,14, NULL
Animalia,1151, III/r, 1977-10-24,57, NULL
Animalia,1151, III/w, 1983-07-29,57, NULL
Animalia,1151, III, 1976-04-22,213, NULL
Animalia,1217, III/r, 1977-10-24,57, NULL
Animalia,1217, III/w, 1984-01-01,57, NULL
Animalia,1217, Deleted, 2007-03-04,82, NULL
Animalia,1217, III, 1976-02-26,82, Originally listed as Ploceidae spp.
Animalia,1219, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,1219, Deleted, 2007-03-04,82, NULL
Animalia,1219, III/r, 1977-10-24,57, NULL
Animalia,1219, III/w, 1984-01-01,57, NULL
Animalia,1223, III/r, 1977-10-24,57, NULL
Animalia,1223, III/w, 1984-01-01,57, NULL
Animalia,1223, Deleted, 2007-03-04,82, NULL
Animalia,1223, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,1224, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,1224, Deleted, 2007-03-04,82, NULL
Animalia,1224, III/r, 1977-10-24,57, NULL
Animalia,1224, III/w, 1984-01-01,57, NULL
Animalia,1225, III/r, 1977-10-24,57, NULL
Animalia,1225, III/w, 1984-01-01,57, NULL
Animalia,1225, Deleted, 2007-03-04,82, NULL
Animalia,1225, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,1231, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,1231, Deleted, 2007-03-04,82, NULL
Animalia,1231, III/r, 1977-10-24,57, NULL
Animalia,1231, III/w, 1984-01-01,57, NULL
Animalia,1233, III/r, 1977-10-24,57, NULL
Animalia,1233, III/w, 1984-01-01,57, NULL
Animalia,1233, Deleted, 2007-03-04,82, NULL
Animalia,1233, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,1548, III, 1976-02-26,82, Originally listed as Ploceidae spp.
Animalia,1548, Deleted, 2007-03-04,82, NULL
Animalia,1548, III/r, 1977-10-24,57, NULL
Animalia,1548, III/w, 1984-01-01,57, NULL
Animalia,1549, III/r, 1977-10-24,57, NULL
Animalia,1549, III/w, 1984-01-01,57, NULL
Animalia,1549, III, 1976-02-26,82, Originally listed under Anomalurus spp.
Animalia,1549, Deleted, 2007-03-04,82, NULL
Animalia,1550, Deleted, 2007-03-04,82, NULL
Animalia,1550, III, 1976-02-26,82, Originally listed under Anomalurus spp.
Animalia,1550, III/r, 1977-10-24,57, NULL
Animalia,1550, III/w, 1984-01-01,57, NULL
Animalia,1551, III/r, 1977-10-24,57, NULL
Animalia,1551, III/w, 1984-01-01,57, NULL
Animalia,1551, III, 1976-02-26,82, Originally listed under Anomalurus spp.
Animalia,1551, Deleted, 2007-03-04,82, NULL
Animalia,1572, II/r, 1975-07-09,38, NULL
