taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,Tags
68007,SPECIES,COUNTRY,AU,19373,CITES_EU,
68007,SPECIES,COUNTRY,BD,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,BN,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,KH,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,CO,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,KM,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,DJ,19373,CITES_EU,
68007,SPECIES,COUNTRY,EC,19373,CITES_EU,
68007,SPECIES,COUNTRY,EG,19373,CITES_EU,
68007,SPECIES,COUNTRY,ER,19373,CITES_EU,
68007,SPECIES,COUNTRY,HN,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,IN,19373,CITES_EU,
68007,SPECIES,COUNTRY,IR,19373,CITES_EU,
68007,SPECIES,COUNTRY,IL,19373,CITES_EU,
68007,SPECIES,COUNTRY,JP,19373,CITES_EU,
68007,SPECIES,COUNTRY,JO,19373,CITES_EU,
68007,SPECIES,COUNTRY,KI,19373,CITES_EU,
68007,SPECIES,COUNTRY,MY,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,MH,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,MU,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,MX,19373,CITES_EU,
68007,SPECIES,COUNTRY,MZ,19373,CITES_EU,
68007,SPECIES,COUNTRY,MM,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,NR,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,NZ,19373,CITES_EU,
68007,SPECIES,COUNTRY,NI,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,OM,19373,CITES_EU,
68007,SPECIES,COUNTRY,PK,19373,CITES_EU,
68007,SPECIES,COUNTRY,PW,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,PA,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,PG,19373,CITES_EU,distribution uncertain
68007,SPECIES,COUNTRY,PH,19373,CITES_EU,distribution uncertain
