Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,144,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,145,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,146,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,147,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,148,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,149,II,11/06/1992 00:00,NULL,Included with Aceros spp.,,,,,,,,,,,,,,
Animalia,149,II,01/07/1975 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,150,I,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,151,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,152,I,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,153,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,154,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,155,II,11/06/1992 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,156,II,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,157,II,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,158,II,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,159,II,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,160,II,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,167,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,168,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,169,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,170,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,171,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,172,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,173,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,174,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,175,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,176,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,177,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,178,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,179,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,180,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,181,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,182,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,183,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,184,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,185,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,186,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,188,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,189,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
