Kingdom,ComName,LanDesc,SpcRecID
Plantae,greek fir,English,1
Plantae,Mount Killini pheasant's-eye,English,23
Plantae,Apennine adonis,English,24
Plantae,aethionäme de Thomas,French,31
Plantae,ceylon grass,English,88
Plantae,ail rude,French,91
Plantae,passerage de Robert,French,123
Plantae,buglosse crÇpu,French,143
Plantae,curled alkanet,English,143
Plantae,Atlantic angelica,English,167
Plantae,angÇlique Ö fruits variables,French,167
Plantae,antinorie insulaire,French,214
Plantae,ancolie des alpes,French,226
Plantae,alpine columbine,English,226
Plantae,alpine monkshood,English,226
Plantae,ancolie de bertoloni,French,229
Plantae,ancolie de Litardiäre,French,234
Plantae,sabline cendrÇe,French,254
Plantae,sabline des chaumes,French,256
Plantae,sabline de provence,French,272
Plantae,armeria de soleirol,French,305
Plantae,simple bureed,English,322
Plantae,armoise de Molinier,French,329
Plantae,asperule Ö feuilles par six,French,357
Plantae,abrotea,English,384
Plantae,doradille de Jahandiez,French,391
Plantae,dordille du Verdon,French,391
Plantae,aster des PyrÇnÇes,French,395
Plantae,astragale queue de renard,French,401
Plantae,queue de renard des alpes,French,415
Plantae,central alpine milk vetch,English,415
Plantae,ballote buissonnante,French,495
Plantae,bartsie en Çpi,French,501
Plantae,"chardon de bÇrard, berarda",French,512
Plantae,lunetiäre d'Auvergne,French,521
Plantae,lunetiäre Ö tige courte,French,522
Plantae,lunetiäre de Dijon,French,525
Plantae,lunetiäre de Lamotte,French,531
Plantae,lunetiäre de Rotgäs,French,536
Plantae,Chouard's flowering yam,English,546
Plantae,botrychium Ö feuilles lancÇolÇes,French,550
Plantae,botrychium Ö feuilles de rue,French,553
Plantae,botrychium Ö feuilles multifides,French,553
Plantae,botrychium simple,French,555
Plantae,hairless cabbage,English,561
Plantae,sardinian cabbage,English,563
Plantae,chou insulaire,French,563
Plantae,red stephanotis,English,564
Plantae,Ardennes brome,English,569
Plantae,brome des Ardennes,French,569
Plantae,brome Ö fleurs nombreuses,French,570
Plantae,brome Çpais,French,570
Plantae,interrupted brome,English,571
Plantae,"gremil du bÇarn, g. de gaston",French,580
Plantae,claveller de penyal,Spanish,586
Plantae,Scottish small-reed,English,597
Plantae,alisma (fluteau) Ö feuilles de˚parnassie,French,599
Plantae,caldÇsie Ö feuilles de parnassie,French,599
Plantae,calypso,English,607
Plantae,savona harebell,English,671
Plantae,chardon du mont Aurouse,French,701
Plantae,laåche du Mont Baldo,French,708
Plantae,sedge,English,708
Plantae,laåche fimbriÇe,French,712
Plantae,chinese honeysuckle,English,713
Plantae,rangoon creeper,English,713
Plantae,burma creeper,English,713
Plantae,laåche de Griolet,French,714
Plantae,dia carline thistle,English,729
Plantae,socarrell,Spanish,752
Plantae,great knapweed,English,759
Plantae,centaurÇe de la Clape,French,767
Plantae,centaurÇe en corymbe,French,767
Plantae,cretan helleborine,English,884
Plantae,colchique de corse,French,969
Plantae,colÇanthe dÇlicat,French,978
Plantae,komper's orchid,English,981
Plantae,hooded grass,English,999
Plantae,kun-kun,English,1008
Plantae,durillo,Spanish,1009
Plantae,guillomero,Spanish,1009
Plantae,guillomo,Spanish,1009
Plantae,Maltese Dwarf Hawksbeard,English,1046
Plantae,etruscan crocus,English,1061
Plantae,maltat fungus,English,1097
Plantae,cynomorium Çcarlate,French,1097
Plantae,eponge de malte,French,1097
Plantae,yellow ladies slipper orchid,English,1098
Plantae,ladies slipper orchid,English,1098
Plantae,sabot de vÇnus,French,1098
Plantae,cytise d'ardoino,French,1104
Plantae,cytise de Sauze,French,1110
Plantae,dauphinelle (pled d'alouette) de˚requien,French,1132
Plantae,bog hair-grass,English,1139
Plantae,western pink,English,1162
Plantae,oeillet de France,French,1162
Plantae,oeillet des dunes,French,1162
Plantae,cheddar pink,English,1165
Plantae,oeillet mignardise,French,1165
Plantae,clavell de penyal,Spanish,1191
Plantae,didalera,Spanish,1206
Plantae,drave de loiseleur,French,1237
Plantae,dracocÇphale d'Autriche,French,1242
Plantae,elatine de Brochon,French,1258
Plantae,winged radish,English,1263
Plantae,linaigrette gräle,French,1282
Plantae,slender cottongrass,English,1282
Plantae,erodium de RodiÇ,French,1299
Plantae,panicaut des Alpes,French,1307
Plantae,alpine eryngo,English,1307
Plantae,blue-top eryngo,English,1307
Plantae,chardon bleu,French,1307
Plantae,Brittany eryngo,English,1314
Plantae,Snowdon eyebright,English,1375
Plantae,Cornish eyebright,English,1381
Plantae,exax de corse,French,1388
Plantae,fumeterre de charles,French,1475
Plantae,plicate-leaved snowdrop,English,1484
Plantae,rävola de penyal,Spanish,1498
Plantae,gaillet de Fleurot,French,1504
Plantae,Spanish gaudinia,English,1538
Plantae,gatova,Spanish,1548
Plantae,gentianelle des marals,French,1570
Plantae,benoåte Ö fruits divers,French,1577
Plantae,cossiada de penyal,Spanish,1579
Plantae,styx globularia,English,1583
Plantae,downy gypsophila,English,1612
Plantae,Verona gypsophila,English,1612
Plantae,bog orchid,English,1626
Plantae,malaxis des tourbiäres,French,1626
Plantae,sainfouin de boutigny,French,1633
Plantae,hÇlianthäme Ö lunules,French,1645
Plantae,maáarella,Spanish,1652
Plantae,berce naine,French,1674
Plantae,julienne inodore,French,1684
Plantae,ketmie des marais,French,1695
Plantae,violeta de penyal,Spanish,1697
Plantae,Irish St. John's wort,English,1725
Plantae,joubarbe d'allioni,French,1781
Plantae,Sardinian thistle,English,1835
Plantae,long-rayed laser,English,1841
Plantae,coixinet de monja,Spanish,1853
Plantae,chrysanthäme de Burnat,French,1874
Plantae,ninÇole de nice,French,1880
Plantae,statice Ö feuilles cordÇes,French,1906
Plantae,Gibraltar sea lavender,English,1912
Plantae,statice nain de provence,French,1928
Plantae,paradoxical rock sea-lavender,English,1932
Plantae,western rock sea-lavender,English,1942
