Taxon ID,Manual ID
109,A-301.000.000.001
109,A-301.000.000.001
109,A-301.000.000.003
109,A-301.000.000.003
5381,A-301.001.020.001
8709,A-301.001.020.010
434,A-301.002.000.001
434,A-301.002.000.001
7441,A-301.002.002.001
6060,A-301.002.008.001
6060,A-301.002.008.001
258,A-301.003.000.001
258,A-301.003.000.001
10836,A-301.003.001.001
10836,A-301.003.001.001
4552,A-301.003.002.001
4552,A-301.003.002.001
11071,A-301.003.002.002
11071,A-301.003.002.002
7257,A-301.003.003.001
7257,A-301.003.003.001
5004,A-301.003.004.001
5004,A-301.003.004.001
6938,A-301.003.004.002
6938,A-301.003.004.002
5881,A-301.004.001.001
8534,A-301.004.003.001
313,A-301.005.000.001
313,A-301.005.000.001
5246,A-301.005.001.001
5246,A-301.005.001.001
506,A-301.006.000.001
4062,A-301.006.001.001
4062,A-301.006.001.001
244,A-301.007.000.001
244,A-301.007.000.001
244,A-301.007.000.002
244,A-301.007.000.002
3838,A-301.007.001.010
10403,A-301.007.002.001
10403,A-301.007.002.001
4927,A-301.007.003.001
4927,A-301.007.003.001
4927,A-301.007.003.001
3312,A-301.007.007.002
3972,A-301.007.007.004
3972,A-301.007.007.004
1428,A-301.007.008.000
1428,A-301.007.008.000
5901,A-301.007.008.001
5901,A-301.007.008.001
5901,A-301.007.008.001
8231,A-301.007.008.002
8231,A-301.007.008.002
8231,A-301.007.008.002
7271,A-301.007.008.003
7271,A-301.007.008.003
7271,A-301.007.008.003
10210,A-301.007.008.004
10210,A-301.007.008.004
10210,A-301.007.008.004
3678,A-301.007.008.005
3678,A-301.007.008.005
3678,A-301.007.008.005
6783,A-301.007.008.006
6783,A-301.007.008.006
6783,A-301.007.008.006
6023,A-301.007.008.007
6023,A-301.007.008.007
6023,A-301.007.008.007
5712,A-301.007.008.008
5712,A-301.007.008.008
5712,A-301.007.008.008
5930,A-301.007.008.009
5930,A-301.007.008.009
5930,A-301.007.008.009
9941,A-301.007.013.001
9941,A-301.007.013.001
4484,A-301.007.018.001
4232,A-301.007.018.002
3666,A-301.007.018.003
10493,A-301.007.018.004
7457,A-301.007.018.005
5182,A-301.007.019.001
11078,A-301.007.019.002
4816,A-301.007.019.003
3601,A-301.007.019.004
4818,A-301.007.019.005
8019,A-301.007.019.005a
8019,A-301.007.019.005a
4397,A-301.007.019.006
8477,A-301.007.021.005
8918,A-301.007.023.001
8918,A-301.007.023.001
8223,A-301.007.024.001
8223,A-301.007.024.001
3413,A-301.007.026.001
10699,A-301.007.027.005
10665,A-301.007.029.010
9766,A-301.007.030.001
6708,A-301.007.031.002
6708,A-301.007.031.002
555,A-301.009.000.001
555,A-301.009.000.001
555,A-301.009.000.002
555,A-301.009.000.002
6722,A-301.009.001.001
10751,A-301.009.002.001
10751,A-301.009.002.001
6028,A-301.009.003.001
6028,A-301.009.003.001
3335,A-301.009.004.003
3335,A-301.009.004.003
10803,A-301.009.005.001
9223,A-301.009.005.002
9223,A-301.009.005.002
10814,A-301.009.005.003
10814,A-301.009.005.003
4446,A-301.009.005.004
4446,A-301.009.005.004
3924,A-301.009.005.005
3924,A-301.009.005.005
7856,A-301.009.005.006
7856,A-301.009.005.006
8391,A-301.010.001.001
199,A-301.011.000.001
199,A-301.011.000.001
199,A-301.011.000.003
199,A-301.011.000.003
199,A-301.011.000.004
10810,A-301.011.001.001
10810,A-301.011.001.001
7559,A-301.011.002.001
7559,A-301.011.002.001
68360,A-301.011.003.001
68360,A-301.011.003.001
7148,A-301.011.003.002
7148,A-301.011.003.002
68362,A-301.011.003.003
68362,A-301.011.003.003
9554,A-301.011.003.004
9554,A-301.011.003.004
68363,A-301.011.003.005
68363,A-301.011.003.005
9851,A-301.011.003.006
9851,A-301.011.003.006
10508,A-301.011.003.007
10508,A-301.011.003.007
5081,A-301.011.003.008
5081,A-301.011.003.008
7291,A-301.011.003.009
5329,A-301.011.003.010
5329,A-301.011.003.010
8867,A-301.011.003.011
8867,A-301.011.003.011
6341,A-301.011.003.012
6341,A-301.011.003.012
6950,A-301.011.003.013
6950,A-301.011.003.013
31025,A-301.011.003.014
31025,A-301.011.003.014
4458,A-301.011.003.015
4458,A-301.011.003.015
9752,A-301.011.003.016
9752,A-301.011.003.016
7348,A-301.011.004.001
7348,A-301.011.004.001
9355,A-301.011.004.002
9355,A-301.011.004.002
9575,A-301.011.004.003
9575,A-301.011.004.003
5140,A-301.011.004.004
5140,A-301.011.004.004
8855,A-301.011.005.001
8855,A-301.011.005.001
5938,A-301.011.005.002
5938,A-301.011.005.002
10479,A-301.011.005.003
10479,A-301.011.005.003
3108,A-301.011.005.004
3108,A-301.011.005.004
8115,A-301.011.006.001
8115,A-301.011.006.001
