Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1983,A-306.001.000.001,Manual de identificación de la CITES - Alligatoridae - Géneros,ES,A-306.001.000.001,3,CITES ID Manual,General,A-306.001.000.001 Crocodylia identification key alligatoridae genera_S.pdf
1983,A-306.001.000.002,CITES ID Manual - Alligatoridae,EN,,3,CITES ID Manual,General,A-306.001.000.002 Alligatoridae identification key by genus_E.pdf
1983,A-306.001.000.002,Manual de identificación de la CITES - Alligatoridae - Especies,ES,A-306.001.000.002,3,CITES ID Manual,General,A-306.001.000.002 Crocodylia identification key alligatoridae species_S.pdf
1983,A-306.001.001.001,CITES ID Manual - Alligator mississippiensis,EN,,3,CITES ID Manual,General,A-306.001.001.001 Alligator mississippiensis_E.pdf
1983,A-306.001.001.001,Manual de identificación de la CITES - Alligator mississippiensis,ES,A-306.001.001.001,3,CITES ID Manual,General,A-306.001.001.001 Alligator mississippiensis_S.pdf
1983,A-306.001.001.002,CITES ID Manual - Alligator sinensis,EN,,3,CITES ID Manual,General,A-306.001.001.002 Alligator sinensis_E.pdf
1983,A-306.001.001.002,Manual de identificación de la CITES - Alligator sinensis,ES,A-306.001.001.002,3,CITES ID Manual,General,A-306.001.001.002 Alligator sinensis_S.pdf
1983,A-306.001.002.001,Manual de identificación de la CITES - Caiman crocodilus,ES,,3,CITES ID Manual,General,A-306.001.002.001 Caiman crocodilus_S.pdf
1983,A-306.001.002.002,CITES ID Manual - Caiman latirostris,EN,,3,CITES ID Manual,General,A-306.001.002.002 Caiman latirostris_E.pdf
1983,A-306.001.002.002,Manual de identificación de la CITES - Caiman latirostris,ES,A-306.001.002.002,3,CITES ID Manual,General,A-306.001.002.002 Caiman latirostris_S.pdf
1983,A-306.001.003.001,CITES ID Manual - Melanosuchus niger,EN,,3,CITES ID Manual,General,A-306.001.003.001 Melanosuchus niger_E.pdf
1983,A-306.001.003.001,Manual de identificación de la CITES - Melanosuchus niger,ES,A-306.001.003.001,3,CITES ID Manual,General,A-306.001.003.001 Melanosuchus niger_S.pdf
1983,A-306.001.004.001,CITES ID Manual - Paleosuchus palpebrosus,EN,,3,CITES ID Manual,General,A-306.001.004.001 Paleosuchus palpebrosus_E.pdf
