Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade,Designation
oxiana,SPECIES,14311,10039,,Y,"CITES, EU"
philippinensis,SPECIES,14312,10039,,Y,"CITES, EU"
samarensis,SPECIES,14313,10039,,Y,"CITES, EU"
sputatrix,SPECIES,14314,10039,,Y,"CITES, EU"
sumatrana,SPECIES,14315,10039,,Y,"CITES, EU"
sagittifera,SPECIES,32122,10039,,Y,"CITES, EU"
siamensis,SPECIES,32123,10039,,Y,"CITES, EU"
Crocodylia,ORDER,43,26173,,Y,"CITES, EU"
Rhynchocephalia,ORDER,133,26173,,Y,"CITES, EU"
Testudines,ORDER,153,26173,,N,"CITES, EU"
quadrilineatus,SPECIES,29474,56,,Y,"CITES, EU"
glawi,SPECIES,41958,5079,,Y,"CITES, EU"
Bradypodion,GENUS,642,5047,"SPECIES:104124,SPECIES:105221,SPECIES:105227,SPECIES:27956,SPECIES:43436,SPECIES:43437,SPECIES:43441,SPECIES:43442",Y,"CITES, EU"
Brookesia,GENUS,652,5047,,Y,"CITES, EU"
Calumma,GENUS,7174,5047,"SPECIES:42605,SPECIES:42606,SPECIES:42607,SPECIES:42608,SPECIES:77841,SPECIES:77840,SPECIES:41958,SPECIES:105229,SPECIES:4450,SPECIES:4484,SPECIES:104135,SPECIES:4440,SPECIES:104136,SPECIES:104137,SPECIES:104138,SPECIES:104139,SPECIES:104140,SPECIES:42605,SPECIES:42608,SPECIES:4504",Y,"CITES, EU"
Chamaeleo,GENUS,907,5047,"SPECIES:93359,SPECIES:104146,SPECIES:4518,SPECIES:4519,SPECIES:105230",Y,"CITES, EU"
Furcifer,GENUS,1799,5047,SPECIES:74031,Y,"CITES, EU"
balebicornutus,SPECIES,4518,5230,,Y,"CITES, EU"
conirostratus,SPECIES,4519,5230,,Y,"CITES, EU"
cerradensis,SPECIES,29489,68,,Y,"CITES, EU"
duseni,SPECIES,28756,9270,,Y,"CITES, EU"
spiritus,SPECIES,30569,124,,Y,"CITES, EU"
celiae,SPECIES,30600,155,,Y,"CITES, EU"
natalensis,SPECIES,71524,7781,,Y,"CITES, EU"
nicosiai,SPECIES,74031,10024,,Y,"CITES, EU"
Boidae,FAMILY,106,10112,"SPECIES:31814,GENUS:48,GENUS:4344,GENUS:703,GENUS:2554",Y,"CITES, EU"
Bolyeriidae,FAMILY,967,10112,,Y,"CITES, EU"
Loxocemidae,FAMILY,968,10112,,Y,"CITES, EU"
Pythonidae,FAMILY,969,10112,"SPECIES:71524,SPECIES:44287,SPECIES:44288,SPECIES:44289,SPECIES:44308,SPECIES:74050,SPECIES:74051",Y,"CITES, EU"
Tropidophiidae,FAMILY,970,10112,"SPECIES:104072,SPECIES:30600,SPECIES:30569,SPECIES:74044,SPECIES:77985",Y,"CITES, EU"
Viperidae,FAMILY,853,10112,,Y,"CITES, EU"
mandalayensis,SPECIES,34039,5004,,Y,"CITES, EU"
clastolepis,SPECIES,44287,6615,,Y,"CITES, EU"
nauta,SPECIES,44288,6615,,Y,"CITES, EU"
tracyae,SPECIES,44289,6615,,Y,"CITES, EU"
