rank_name,rec_id,listing,effective_from,party_iso2,is_current,hash_note,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,short_note_en,short_note_es,short_note_fr,full_note_en
SUBSPECIES,1678,DELII,11/06/1992,,1,,,MX,0,,,,Included in Antilocapra americana (popn of MX only).,Población de MX. Incluida en Antilocapra americana.,Population du MX. Inscrit sous Antilocapra americana.,
SUBSPECIES,1678,II,01/07/1975,,0,,,,0,,,,All populations.,Todas las poblaciones. ,Toutes les populations.,
SUBSPECIES,1679,DELI,11/06/1992,,1,,,MX,0,,,,Included in Antilocapra americana (popn of MX only).,Población de MX. Incluida en Antilocapra americana.,Population du MX. Inscrit sous Antilocapra americana.,
SUBSPECIES,1679,I,01/07/1975,,0,,,,0,,,,All populations.,Todas las poblaciones. ,Toutes les populations.,
SUBSPECIES,1680,DELI,11/06/1992,,1,,,MX,0,,,,Included in Antilocapra americana (popn of MX only).,Incluida en Antilocapra americana.,Inscrit sous Antilocapra americana.,
SUBSPECIES,1680,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,1677,I,11/06/1992,,1,,MX,,0,,,,Only the population of Mexico; no other population is included in the Appendices.,Sólo la población de México; ninguna otra población está incluida en los Apéndices,Seulement la population du Mexique; aucune autre population n'est inscrite aux annexes,
SPECIES,512,I/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,512,I,29/07/1983,,1,,,,0,,,,,,,
SPECIES,512,I/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,512,DELII,29/07/1983,,0,,,,0,,,,,,,
SPECIES,512,II,01/07/1975,,0,,,,0,,,,,,,
SPECIES,1151,II/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,1151,II,29/07/1983,,1,,,,0,,,,,,,
SPECIES,1151,II/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,1151,III/w,29/07/1983,DK,0,,,,0,,,,,,,
SPECIES,1151,DELIII,29/07/1983,TN,0,,,,0,,,,,,,
SPECIES,1151,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,1151,III,22/04/1976,TN,0,,,,0,,,,,,,
SPECIES,1681,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,1681,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,1681,III,16/11/1975,NP,1,,,,0,,,,,,,
SUBSPECIES,2813,II,18/09/1997,,1,,,,0,,,,,,,
SUBSPECIES,2813,DELI,18/09/1997,,0,,,,0,,,,,,,
SUBSPECIES,2813,I/w,15/04/1977,CA,0,,,,0,,,,,,,
SUBSPECIES,2813,I/r,09/07/1975,CA,0,,,,0,,,,,,,
SUBSPECIES,2813,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,2887,I,01/07/1975,,1,,,,0,,,,Specimens of the domesticated form are not subject to the provisions of the Convention.,Los especímenes de la forma domesticada no están sujetos a las disposiciones de la Convención.,Les spécimens de la forme domestiquée ne sont pas soumis aux dispositions de la Convention.,"Excludes the domesticated form, which is referenced as Bos frontalis, and is not subject to the provisions of the Convention (see CITES Doc. 11.11.4.2)."
SPECIES,2889,I,01/07/1975,,1,,,,0,,,,Specimens of the domesticated form are not subject to the provisions of the Convention.,Los especímenes de la forma domesticada no están sujetos a las disposiciones de la Convención.,Les spécimens de la forme domestiquée ne sont pas soumis aux dispositions de la Convention.,"Excludes the domesticated form, which is referenced as Bos grunniens, and is not subject to the provisions of the Convention (see CITES Doc. 11.11.4.2)."
SPECIES,2890,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,3125,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,3125,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,3125,III,16/11/1975,NP,1,,,,0,,,,Excludes the domestic form Bubalus bubalis.,Excluida la forma doméstica Bubalus bubalis.,Exclut la forme domestique Bubalus bubalis.,
SPECIES,3126,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,3127,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,3128,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,3160,II/w,06/01/1989,AT,0,,,,0,,,,,,,
