Name,Rank,RecID,ParentRank,ParentRecID,Status,Author,Notes,Designation
dictator,Species,15940,Genus,3496,A,"(Pocock, 1888)",,"CITES,EU"
gambiensis,Species,15941,Genus,3496,A,"Pocock, 1899",,"CITES,EU"
imperator,Species,15942,Genus,3496,A,"(Koch, 1842)",,"CITES,EU"
haliaetus,Species,15943,Genus,3497,A,"(Linnaeus, 1758)",,"CITES,EU"
gigas,Species,15944,Genus,3498,A,"Chevey, 1931",,"CITES,EU"
sanitwongsei,Species,15945,Genus,3499,A,"Smith, 1931",,EU
insignis,Species,15950,Genus,3503,A,"Cabanis & Heine, 1860",,"CITES,EU"
leo,Species,15951,Genus,3504,A,"(Linnaeus, 1758)",,"CITES,EU"
persica,Subspecies,15952,Species,15951,A,"Meyer, 1826",,"CITES,EU"
onca,Species,15953,Genus,3504,A,"(Linnaeus, 1758)",,"CITES,EU"
pardus,Species,15954,Genus,3504,A,"(Linnaeus, 1758)",,"CITES,EU"
tigris,Species,15955,Genus,3504,A,"(Linnaeus, 1758)",,"CITES,EU"
altaica,Subspecies,15956,Species,15955,A,"(Temminck, 1844)",,CITES
hodgsonii,Species,15967,Genus,3505,A,"(Abel, 1826)",,"CITES,EU"
biarmicus,Species,15974,Genus,3509,A,"(Linnaeus, 1758)",,CMS
abbotti,Species,15977,Genus,3511,A,"Ridgway, 1893",,"CITES,EU"
