Name,Rank,RecID,ParentRank,ParentRecID,Status,Author,Notes,Designation
fuscus,Species,17300,Genus,3807,A,"(P. L. S. Müller, 1776)",,"CITES,EU"
maximiliani,Species,17301,Genus,3807,A,"(Kuhl, 1820)",,"CITES,EU"
menstruus,Species,17302,Genus,3807,A,"(Linnaeus, 1766)",,"CITES,EU"
senilis,Species,17303,Genus,3807,A,"(Spix, 1824)",,"CITES,EU"
sordidus,Species,17304,Genus,3807,A,"(Linnaeus, 1758)",,"CITES,EU"
tumultuosus,Species,17305,Genus,3807,A,"(Tschudi, 1844)",,"CITES,EU"
jacutinga,Species,17308,Genus,3808,A,"(Spix, 1825)",,"CITES,EU"
pipile,Species,17309,Genus,3808,A,"(Jacquin, 1784)",,"CITES,EU"
erythrophthalmus,Species,17310,Genus,3809,A,"(Linnaeus, 1758)",,EU
kuhlii,Species,17314,Genus,3810,A,"(Kuhl, 1817)",,CMS
maderensis,Species,17315,Genus,3810,N,"(Dobson, 1878)","CMS Appendix II legislation entry deleted 25/07/05 [by RGP]. Species does not appear on CMS ""List of common names"", and also some doubt about whether ""migratory"" and if the Azores and Canaries qualify as ""European populations"".","CITES,EU"
nathusii,Species,17316,Genus,3810,A,"(Keyserling & Blasius, 1839)",,CMS
pipistrellus,Species,17317,Genus,3810,A,"(Schreber, 1774)",,CMS
savii,Species,17318,Genus,12526,A,"(Bonaparte, 1837)",,CMS
abramus,Species,17320,Genus,3810,N,"(Temminck, 1838)",,"CITES,EU"
adamsi,Species,17321,Genus,3810,N,"Kitchener, Caputi & Jones, 1986",,"CITES,EU"
deserti,Species,17322,Genus,3810,N,"Thomas, 1902",,"CITES,EU"
aero,Species,17323,Genus,3810,N,"Heller, 1912",,"CITES,EU"
angulatus,Species,17326,Genus,3810,N,"(Peters, 1880)",,"CITES,EU"
ceylonicus,Species,17332,Genus,3810,N,"(Kelaart, 1852)",,"CITES,EU"
collinus,Species,17334,Genus,3810,N,"Thomas, 1920",,"CITES,EU"
coromandra,Species,17335,Genus,3810,N,"(Gray, 1838)",,"CITES,EU"
endoi,Species,17340,Genus,3810,N,"Imaizumi, 1959",,"CITES,EU"
hesperus,Species,17341,Genus,3810,N,"H. Allen, 1864",,"CITES,EU"
inexspectatus,Species,17343,Genus,3810,N,"Aellen, 1959",,"CITES,EU"
javanicus,Species,17344,Genus,3810,N,"(Gray, 1838)",,"CITES,EU"
minahassae,Species,17350,Genus,3810,N,"(Meyer, 1899)",,"CITES,EU"
nanulus,Species,17353,Genus,3810,N,"Thomas, 1904",,"CITES,EU"
papuanus,Species,17355,Genus,3810,N,"(Peters & Doria, 1881)",,"CITES,EU"
paterculus,Species,17356,Genus,3810,N,"Thomas, 1915",,"CITES,EU"
permixtus,Species,17358,Genus,3810,N,"Aellen, 1957",,"CITES,EU"
rueppellii,Species,17361,Genus,3810,N,"(J. Fischer, 1829)",,"CITES,EU"
rusticus,Species,17362,Genus,3810,N,"(Tomes, 1861)",,"CITES,EU"
stenopterus,Species,17364,Genus,3810,N,"(Dobson, 1875)",,"CITES,EU"
sturdeei,Species,17365,Genus,3810,N,"Thomas, 1915",,"CITES,EU"
subflavus,Species,17366,Genus,3810,N,"(F. Cuvier, 1832)",,"CITES,EU"
tenuis,Species,17368,Genus,3810,N,"(Temminck, 1840)",,"CITES,EU"
wattsi,Species,17369,Genus,3810,N,"Kitchener, Caputi & Jones, 1986",,"CITES,EU"
westralis,Species,17370,Genus,3810,N,"Koopman, 1984",,"CITES,EU"
bidentata,Species,17388,Genus,3815,A,"(Swainson, 1827)",,EU
aequatorialis,Species,17402,Genus,3818,A,"Hershkovitz, 1987",,"CITES,EU"
albicans,Species,17403,Genus,3818,A,"Gray, 1860",,"CITES,EU"
irrorata,Species,17404,Genus,3818,A,"Gray, 1842",,"CITES,EU"
monachus,Species,17405,Genus,3818,A,"(É. Geoffroy, 1812)",,"CITES,EU"
pithecia,Species,17406,Genus,3818,A,"(Linnaeus, 1766)",,"CITES,EU"
jefferyi,Species,17408,Genus,3819,A,"Ogilvie-Grant, 1897",,"CITES,EU"
angolensis,Species,17411,Genus,3821,A,"Vieillot, 1816",,EU
brachyura,Species,17414,Genus,3821,A,"(Linnaeus, 1766)",,EU
guajana,Species,17422,Genus,3821,A,"(Müller, 1776)",,"CITES,EU"
gurneyi,Species,17423,Genus,3821,A,"Hume, 1875",,"CITES,EU"
kochi,Species,17425,Genus,3821,A,"Brüggemann, 1876",,"CITES,EU"
moluccensis,Species,17428,Genus,3821,A,"(Müller, 1776)",,EU
nipalensis,Species,17429,Genus,3821,A,"(Hodgson, 1837)",,EU
nympha,Species,17430,Genus,3821,A,"Temminck & Schlegel, 1850",,"CITES,EU"
oatesi,Species,17431,Genus,3821,A,"(Hume, 1873)",,EU
sordida,Species,17435,Genus,3821,A,"(Müller, 1776)",,EU
steerii,Species,17437,Genus,3821,A,"(Sharpe, 1876)",,EU
frustum,Species,17454,Genus,3826,A,"Cairns, 1979",,"CITES,EU"
scaphula,Species,17455,Genus,3826,A,"Alcock, 1902",,"CITES,EU"
laevis,Species,17457,Genus,3827,A,"Milne Edwards & Haime, 1848",,"CITES,EU"
pedicellatus,Species,17458,Genus,3827,A,"Tenison-Woods, 1879",,"CITES,EU"
aedium,Species,17460,Genus,3829,A,"F. Cuvier, 1836",,EU
argentissimus,Species,17468,Genus,3832,A,"Cope, 1874",,"CITES,EU"
subtilissima,Subspecies,17472,Species,17476,A,"(Lönnberg, 1913)",,CITES
tenuirostris,Species,17473,Genus,3834,A,"Troughton, 1928",,CITES
ingrami,Species,17476,Genus,3834,A,"(Thomas, 1906)",,CITES
alba,Species,17482,Genus,3838,A,"Scopoli, 1786",,"EU,CMS"
flavipes,Species,17483,Genus,3838,A,"Gould, 1838",,EU
leucorodia,Species,17484,Genus,3838,A,"Linnaeus, 1758",,"CITES,EU"
minor,Species,17485,Genus,3838,A,"Temminck & Schlegel, 1849",,CMS
regia,Species,17486,Genus,3838,A,"Gould, 1838",,EU
gangetica,Species,17488,Genus,3840,A,"(Roxburgh, 1801)",,"CITES,EU"
pinnatus,Species,17491,Genus,3841,A,"(Linnaeus, 1758)",,EU
adscitus,Species,17492,Genus,3842,A,"(Latham, 1790)",,"CITES,EU"
caledonicus,Species,17494,Genus,3842,A,"(Gmelin, 1788)",,"CITES,EU"
elegans,Species,17495,Genus,3842,A,"(Gmelin, 1788)",,"CITES,EU"
eximius,Species,17496,Genus,3842,A,"(Shaw, 1792)",,"CITES,EU"
icterotis,Species,17498,Genus,3842,A,"(Kuhl, 1820)",,"CITES,EU"
venustus,Species,17499,Genus,3842,A,"(Kuhl, 1820)",,"CITES,EU"
zonarius,Species,17500,Genus,6322,A,"(Shaw, 1805)",,"CITES,EU"
contorta,Species,17503,Genus,3845,A,"Veron, 1990",,"CITES,EU"
daedalea,Species,17504,Genus,3845,A,"(Ellis & Solander, 1786)",,"CITES,EU"
lamellina,Species,17505,Genus,3845,A,"(Hemprich & Ehrenberg, 1834)",,"CITES,EU"
pini,Species,17506,Genus,3845,A,"Chevalier, 1975",,"CITES,EU"
ryukyuensis,Species,17507,Genus,3845,A,"Yabe & Sugiyama, 1936",,"CITES,EU"
sinensis,Species,17508,Genus,3845,A,"(Milne Edwards & Haime, 1849)",,"CITES,EU"
verweyi,Species,17509,Genus,3845,A,"Wijsman-Best, 1976",,"CITES,EU"
yaeyamaensis,Species,17510,Genus,3845,A,"(Eguchi & Shirai, 1977)",,"CITES,EU"
vitiensis,Species,17518,Genus,3847,A,"(Girard, 1853)",,EU
lineatus,Species,17565,Genus,3851,A,"(É. Geoffroy, 1810)",,"CITES,EU"
leucopterus,Species,17582,Genus,3853,A,"(Temminck, 1824)",,EU
megacephalum,Species,17585,Genus,3855,A,"Gray, 1831",,"CITES,EU"
compressus,Species,17587,Genus,3857,A,"(Tenison-Woods, 1878)",,"CITES,EU"
hastatus,Species,17588,Genus,3857,A,"Dennant, 1902",,"CITES,EU"
laevigatus,Species,17589,Genus,3857,A,"Cairns & Parker, 1992",,"CITES,EU"
parisepta,Species,17590,Genus,3857,A,"Cairns & Parker, 1992",,"CITES,EU"
auritus,Species,17596,Genus,3861,A,"(Linnaeus, 1758)",,CMS
austriacus,Species,17597,Genus,3861,A,"(J. Fischer, 1829)",,CMS
townsendii,Species,17598,Genus,12662,A,"(Cooper, 1837)",,EU
nivalis,Species,17605,Genus,3864,A,"(Linnaeus, 1758)",,EU
gambensis,Species,17607,Genus,3865,A,"(Linnaeus, 1766)",,"CITES,EU"
chihi,Species,17608,Genus,3866,A,"(Vieillot, 1817)",,EU
falcinellus,Species,17609,Genus,3866,A,"(Linnaeus, 1766)",,"CITES,CMS"
ridgwayi,Species,17610,Genus,3866,A,"(Allen, 1876)",,EU
eurysepta,Species,17613,Genus,3869,A,"Nemenzo, 1960",,"CITES,EU"
simplex,Species,17614,Genus,3869,A,"Rehberg, 1892",,"CITES,EU"
sinuosa,Species,17615,Genus,3869,A,"(Dana, 1846)",,"CITES,EU"
