ComName,LangShort,RecId,Rank,Designation,ReferenceID
Mauritius Grey Parrot,en,1,species,"CITES,EU",
Fishes,en,1,Class,"CITES,EU",
Peces,es,1,Class,"CITES,EU",
Poissons,fr,1,Class,"CITES,EU",
Amphibians,en,2,Class,"CITES,EU",
"Paddlefishes, Sturgeons",en,2,Order,"CITES,EU",
Anfibios,es,2,Class,"CITES,EU",
"Esturiones, Peces Espátulas",es,2,Order,"CITES,EU",
Amphibiens,fr,2,Class,"CITES,EU",
"Polyodons, Esturgeons",fr,2,Order,"CITES,EU",
Corals And Sea Anemones,en,3,Class,"CITES,EU",
"Corales, Anémonas Marinas",es,3,Class,"CITES,EU",
"Coraux, Anémones De Mer",fr,3,Class,"CITES,EU",
Scorpions And Spiders,en,4,Class,"CITES,EU",
Arañas,es,4,Class,"CITES,EU",
Araignées,fr,4,Class,"CITES,EU",
Birds,en,5,Class,"CITES,EU,CMS,CMS-AEWA,CMS-ACAP",
"Hawks, Eagles",en,5,Family,"CITES,EU",
Aves,es,5,Class,"CITES,EU,CMS,CMS-AEWA,CMS-ACAP",
"Gavilanes, Águilas",es,5,Family,"CITES,EU",
Oiseaux,fr,5,Class,"CITES,EU,CMS,CMS-AEWA,CMS-ACAP",
"Aigles, Milan De Wilson, Pygargues",fr,5,Family,"CITES,EU",
Clams And Mussels,en,6,Class,"CITES,EU",
"Agate Snails, Oahu Tree Snails",en,6,Family,"CITES,EU",
"Almejas, Mejillones",es,6,Class,"CITES,EU",
Caracol Ágata,es,6,Family,"CITES,EU",
"Huîtres, Moules, Peignes",fr,6,Class,"CITES,EU",
Achatinidés,fr,6,Family,"CITES,EU",
Sturgeons,en,9,Family,"CITES,EU",
Esturiones,es,9,Family,"CITES,EU",
Esturgeons,fr,9,Family,"CITES,EU",
Black Corals,en,10,Order,"CITES,EU",
Corales Negros,es,10,Order,"CITES,EU",
Coraux Noirs,fr,10,Order,"CITES,EU",
Sharks,en,11,Class,"CITES,EU,CMS",
Tiburones,es,11,Class,"CITES,EU,CMS",
Requins,fr,11,Class,"CITES,EU,CMS",
Snails And Conches,en,13,Class,"CITES,EU",
Caracoles Y Conchas,es,13,Class,"CITES,EU",
Escargots Et Strombes,fr,13,Class,"CITES,EU",
Leeches,en,14,Class,"CITES,EU",
Sanguijuelas,es,14,Class,"CITES,EU",
Sangsues,fr,14,Class,"CITES,EU",
"Sea Ferns, Fire Corals And Stinging Medusae",en,15,Class,"CITES,EU",
"Hidroides, Corales De Fuego, Medusas Urticantes",es,15,Class,"CITES,EU",
"Hydres, Coraux De Feu, Physalies",fr,15,Class,"CITES,EU",
Insects,en,16,Class,"CITES,EU,CMS",
Insectos,es,16,Class,"CITES,EU,CMS",
Insectes,fr,16,Class,"CITES,EU,CMS",
Mammals,en,17,Class,"CITES,EU,CMS,CMS-EUROBATS",
Mamíferos,es,17,Class,"CITES,EU,CMS,CMS-EUROBATS",
Mammifères,fr,17,Class,"CITES,EU,CMS,CMS-EUROBATS",
"Agamas, Mastigures",en,21,Family,"CITES,EU",
Agamas,es,21,Family,"CITES,EU",
Lézards Fouette-Queue,fr,21,Family,"CITES,EU",
Reptiles,en,23,Class,"CITES,EU",
Reptiles,es,23,Class,"CITES,EU",
Reptiles,fr,23,Class,"CITES,EU",
Paca,en,24,Family,"CITES,EU",
Lungfishes,en,24,Class,"CITES,EU",
Pacas,es,24,Family,"CITES,EU",
Peces Con Pulmones,es,24,Class,"CITES,EU",
Agouti,fr,24,Family,"CITES,EU",
Sarcoptérygiens,fr,24,Class,"CITES,EU",
Carnivores,en,26,Order,"CITES,EU,CMS",
"Alligators, Caimans",en,29,Family,"CITES,EU",
"Aligatores, Caimanes",es,29,Family,"CITES,EU",
"Alligators, Caimans",fr,29,Family,"CITES,EU",
"Dolphins, Porpoises, Whales",en,30,Order,"CITES,EU",
"Delfines, Marsopas, Ballenas",es,30,Order,"CITES,EU",
"Dauphins, Marsouins, Baleines",fr,30,Order,"CITES,EU",
Axolotls,en,35,Family,"CITES,EU",
Ajolote,es,35,Family,"CITES,EU",
Axolotl,fr,35,Family,"CITES,EU",
Sea Cucumbers,en,41,Class,"CITES,EU",
Cohombros De Mar,es,41,Class,"CITES,EU",
Concombres De Mer,fr,41,Class,"CITES,EU",
"Ducks, Geese, Swans",en,43,Family,"CITES,EU,CMS",
"Alligators, Caimans, Crocodiles",en,43,Order,"CITES,EU",
"Patos, Gansos, Cisnes Etc",es,43,Family,"CITES,EU,CMS",
"Aligatores, Caimanes, Cocodrilos",es,43,Order,"CITES,EU",
"Canards, Oies, Cygnes Etc",fr,43,Family,"CITES,EU,CMS",
"Crocodiles, Alligators, Caïmans",fr,43,Order,"CITES,EU",
African Flying Squirrels,en,53,Family,"CITES,EU",
Ardillas Voladoras Africanas,es,53,Family,"CITES,EU",
Ecureuils Volants,fr,53,Family,"CITES,EU",
Fleshy Artichoke Coral,en,54,species,"CITES,EU",
Pronghorn,en,57,Family,"CITES,EU",
Berrendo,es,57,Family,"CITES,EU",
Antilocapre,fr,57,Family,"CITES,EU",
"Eagles, Falcons, Hawks, Vultures",en,59,Order,"CITES,EU,CMS",
"Águilas, Halcones, Gavilanes, Buitres",es,59,Order,"CITES,EU,CMS",
"Aigles, Faucons, Éperviers, Vautours",fr,59,Order,"CITES,EU,CMS",
Pearlfish,en,61,Family,"CITES,EU",
Perleros,es,61,Family,"CITES,EU",
Cynolebias,fr,61,Family,"CITES,EU",
"Egrets, Herons",en,67,Family,"CITES,EU,CMS,CMS-AEWA",
"Garcetas, Garzas",es,67,Family,"CITES,EU,CMS,CMS-AEWA",
"Aigrettes, Hérons",fr,67,Family,"CITES,EU,CMS,CMS-AEWA",
Big-headed Pantanal Swamp Turtle,en,74,species,EU,
Pantanal Swamp Turtle,en,74,species,EU,
Chaco Sideneck Turtle,en,75,species,EU,
Chaco Side-necked Turtle,en,75,species,EU,
Black Spine-neck Swamp Turtle,en,76,species,EU,
Spiny-neck Turtle,en,76,species,EU,
Spiny-necked Turtle,en,76,species,EU,
Spix's Sideneck Turtle,en,76,species,EU,
