Date,Manual ID,Title,Language,Master Document ID,Volume,Type,General/ Part,PDF filename trimmed
1999,A-213.003.001.003,CITES ID Manual - Accipiter badius,EN,,2,CITES ID Manual,General,A-213.003.001.003 Accipiter badius_E.pdf
1999,A-213.003.001.004,CITES ID Manual - Accipiter bicolor,EN,,2,CITES ID Manual,General,A-213.003.001.004 Accipiter bicolor_EN.pdf
1999,A-213.003.001.005,CITES ID Manual - Accipiter brachyurus,EN,,2,CITES ID Manual,General,A-213.003.001.005 Accipiter brachyurus_EN.pdf
1999,A-213.003.001.006,CITES ID Manual - Accipiter brevipes,EN,,2,CITES ID Manual,General,A-213.003.001.006 Accipiter brevipes_EN.pdf
1999,A-213.003.001.008,CITES ID Manual - Accipiter butleri,EN,,2,CITES ID Manual,General,A-213.003.001.008 Accipiter butleri_EN.pdf
1999,A-213.003.001.009,CITES ID Manual - Accipiter castanilius,EN,,2,CITES ID Manual,General,A-213.003.001.009 Accipiter castanilius_EN.pdf
1999,A-213.003.001.010,CITES ID Manual - Accipiter cirrhocephalus,EN,,2,CITES ID Manual,General,A-213.003.001.010 Accipiter cirrocephalus_EN.pdf
1999,A-213.003.001.011,CITES ID Manual - Accipiter collaris,EN,,2,CITES ID Manual,General,A-213.003.001.011 Accipiter collaris_EN.pdf
1999,A-213.003.001.012,CITES ID Manual - Accipiter cooperii,EN,,2,CITES ID Manual,General,A-213.003.001.012 Accipiter cooperii_EN.pdf
1999,A-213.003.001.013,CITES ID Manual - Accipiter erythrauchen,EN,,2,CITES ID Manual,General,A-213.003.001.013 Accipiter erythrauchen_EN.pdf
1999,A-213.003.001.014,CITES ID Manual - Accipiter erythropus,EN,,2,CITES ID Manual,General,A-213.003.001.014 Accipiter erythropus_EN.pdf
1999,A-213.003.001.015,CITES ID Manual - Accipiter fasciatus,EN,,2,CITES ID Manual,General,A-213.003.001.015 Accipiter fasciatus_EN.pdf
1999,A-213.003.001.016,CITES ID Manual - Accipiter francesii,EN,,2,CITES ID Manual,General,A-213.003.001.016 Accipiter francesii_EN.pdf
1999,A-213.003.001.017,CITES ID Manual - Accipiter gentilis,EN,,2,CITES ID Manual,General,A-213.003.001.017 Accipiter gentilis_EN.pdf
1999,A-213.003.001.018,CITES ID Manual - Accipiter griseiceps,EN,,2,CITES ID Manual,General,A-213.003.001.018 Accipiter griseiceps_EN.pdf
1999,A-213.003.001.020,CITES ID Manual - Accipiter gularis,EN,,2,CITES ID Manual,General,A-213.003.001.020 Accipiter gularis_EN.pdf
1999,A-213.003.001.021,CITES ID Manual - Accipiter gundlachi,EN,,2,CITES ID Manual,General,A-213.003.001.021 Accipiter gundlachi_EN.pdf
