Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,somalicus,NULL,NULL,45371,S,7941
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,capensis,NULL,NULL,45372,S,7918
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,melckorum,NULL,NULL,45580,S,7934
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,rendalli,NULL,NULL,45368,S,7940
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,brunneus,NULL,NULL,45369,S,7917
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,guineensis,NULL,NULL,45370,S,7930
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,aegyptius,NULL,NULL,43849,S,17322
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,murrayi,NULL,NULL,43850,S,17368
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,tenuipinnis,NULL,NULL,45367,S,7943
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,dormeri,NULL,NULL,38915,S,17338
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,circumdatus,NULL,NULL,38951,S,17333
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,societatis,NULL,NULL,38953,S,17363
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,peguensis,NULL,NULL,17357,S,17344
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,babu,NULL,NULL,30120,S,17344
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,mimus,NULL,NULL,30434,S,17368
Animalia,CHORDATA,MAMMALIA,PRIMATES,PITHECIIDAE,Pithecia,monachus,ssp.,irrorata,28515,S,17404
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,carruthersi,NULL,NULL,73451,S,13436
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,felteni,NULL,NULL,74132,S,13462
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,irene,NULL,NULL,74133,S,13435
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,sikimensis,NULL,NULL,44088,S,13457
