Legacy_ID,Designation,LnmShortDesc,Date valid from,Event Type,Basis for Suspension,LnmLongDesc,LnmURL
86,EU,No 2473/1998,21/11/1998,Suspension,,Commission Reg. (EC) No 2473/1998 of 16 November 1998,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1998:308:0018:0032:EN:PDF
87,EU,No 2551/97,22/12/1997,Suspension,,Commission Reg. (EC) No 2551/97 of 15 December 1997,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:349:0004:0017:EN:PDF
88,EU,No 349/2003,01/03/2003,Suspension,,Commission Reg. (EC) No 349/2003 of 25 February 2003,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:051:0003:0018:EN:PDF
89,EU,No 1808/2001,22/09/2001,Basic and amendments,,Commission Reg. (EC) No 1808/2001 of 30 August 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:250:0001:0043:EN:PDF
90,EU,No 834/2004,20/05/2004,Basic and amendments,,Commission Reg. (EC) No 834/2004 of 28 April 2004,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2004:127:0040:0042:EN:PDF
91,EU,No 776/2004,30/04/2004,Suspension,,Commission Reg. (EC) No 776/2004 of 26 April 2004,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2004:123:0031:0049:EN:PDF
92,EU,No 252/2005,18/02/2005,Suspension,,Commission Reg. (EC) No 252/2005 of 14 February 2005,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:043:0003:0021:EN:PDF
98,EU,No 1332/2005,22/08/2005,Basic and amendments,,Commission Reg. (EC) No 1332/2005 of 9 August 2005,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:215:0001:0060:EN:PDF
99,EU,No 2307/97,27/11/1997,Basic and amendments,,Commission Reg. (EC) No 2307/97 of 18 November 1997,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:325:0001:0052:EN:PDF
100,EU,No 318/2008,11/04/2008,Basic and amendments,,Commission Reg. (EC) No 318/2008 of 31 March 2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:095:0003:0062:EN:PDF
101,EU,No 811/2008,03/09/2008,Suspension,,Commission Reg. (EC) No 811/2008 of 13 August 2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:219:0017:0039:EN:PDF
103,EU,No 757/2012,10/09/2012,Suspension,,Commission Reg. (EC) No 757/2012 of 20 August 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:223:0031:0050:EN:PDF
124,EU,No 828/2011,07/09/2011,Suspension,,Commission Reg. (EC) No 828/2011 of 17 August 2011,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:211:0011:0032:EN:PDF
137,EU,No 407/2009,22/05/2009,Basic and amendments,,Commission Reg. (EC) No 407/2009 of 14 May 2009,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2009:123:0003:0061:EN:PDF
138,EU,No 709/2010,15/08/2010,Basic and amendments,,Commission Reg. (EC) No 709/2010 of 22 July 2010,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2010:212:0001:0059:EN:PDF
139,EU,No 101/2012,14/02/2012,Basic and amendments,,Commission Reg. (EC) No 101/2012 of 6 February 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:039:0133:0200:EN:PDF
140,EU,No 1158/2012,15/12/2012,Basic and amendments,,Commission Reg. (EC) No 1158/2012 of 27 November 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:339:FULL:EN:PDF
141,EU,No 578/2013,11/07/2013,Suspension,,Commission Reg. (EU) No 578/2013 of 17 June 2013,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:169:0001:0021:EN:PDF
142,EU,No 750/2013,10/08/2013,Basic and amendments,,Commission Reg. (EU) No 750/2013 of 29 July 2013,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:212:0001:0092:EN:PDF
