Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation
pusillus,SPECIES,,GENUS,780,A,"Fricke, 2004",,CITES_EU
agusii,SPECIES,,GENUS,12962,A,Cavestro (2017),,CITES_EU
anitanum,SPECIES,,GENUS,12962,A,Cavestro (2017),,CITES_EU
bungebelangi,SPECIES,,GENUS,12962,A,Metusala (2017),,CITES_EU
canhii,SPECIES,,GENUS,12962,A,Aver. & O.Gruss (2010),,CITES_EU
cornuatum,SPECIES,,GENUS,12962,A,"Z.J.Liu, O.Gruss & L.J.Chen (2011)",,CITES_EU
dodyanum,SPECIES,,GENUS,12962,A,Cavestro (2017),,CITES_EU
inamorii,SPECIES,,GENUS,12962,A,P.J.Cribb & A.L.Lamb (2011),,CITES_EU
lunatum,SPECIES,,GENUS,12962,A,Metusala (2017),,CITES_EU
myanmaricum,SPECIES,,GENUS,12962,A,"Koop., Iamwir. & S.Laohap. (2017)",,CITES_EU
nataschae,SPECIES,,GENUS,12962,A,Braem (2015),,CITES_EU
notatisepalum,SPECIES,,GENUS,12962,A,"Z.J.Liu, Meina Wang & S.R.Lan (2017)",,CITES_EU
papilio-laoticus,SPECIES,,GENUS,12962,A,"Schuit., Luang Aphay & Lio (2018)",,CITES_EU
parnatanum,SPECIES,,GENUS,12962,A,Cavestro (1999),,CITES_EU
platyphyllum,SPECIES,,GENUS,12962,A,T.Yukawa (2001),,CITES_EU
qingyongii,SPECIES,,GENUS,12962,A,Z.J.Liu & L.J.Chen (2010),,CITES_EU
robinsonianum,SPECIES,,GENUS,12962,A,Cavestro (2014 publ. 2013),,CITES_EU
rohmanii,SPECIES,,GENUS,12962,A,Cavestro & O. Gruss (2017),,CITES_EU
rungsuriyanum,SPECIES,,GENUS,12962,A,"O.Gruss, Rungruang, Chaisur. & Dionisio (2014)",,CITES_EU
sanjiangianum,SPECIES,,GENUS,12962,A,Petchl. & O.Gruss (2009),,CITES_EU
stenolomum,SPECIES,,GENUS,12962,A,"Z.J.Liu, O.Gruss & L.J.Chen (2011)",,CITES_EU
sugiyamanum,SPECIES,,GENUS,12962,A,Cavestro (2001),,CITES_EU
vejvarutianum,SPECIES,,GENUS,12962,A,O.Gruss & Roellke (2003),,CITES_EU
viniferum,SPECIES,,GENUS,12962,A,Koop. & N.Haseg. (2000),,CITES_EU
