taxon_concept_id,start_regulation_name,country_name,start_date,opinion_name,term_code,source_code,is_current,notes,internal_notes,nomenclature_note_en,nomenclature_note_es,nomenclature_note_fr
68360,SRG 88,Barbados,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Bolivia (Plurinational State of),2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Brazil,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,British Virgin Islands (United Kingdom),2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Colombia,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Dominica,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Grenada,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Montserrat (United Kingdom),2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Panama,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Paraguay,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Saint Vincent and the Grenadines,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Trinidad and Tobago,2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Venezuela (Bolivarian Republic of),2019-12-12,i) removed,,W,FALSE,,,,,
68360,SRG 88,Virgin Islands of the USA,2019-12-12,i) removed,,W,FALSE,,,,,
68362,SRG 88,Bolivia (Plurinational State of),2019-12-12,i) removed,,W,FALSE,,,,,
68362,SRG 88,Ecuador,2019-12-12,i) removed,,W,FALSE,,,,,
65766,SRG 88,Viet Nam,2019-12-12,i) removed,,W,FALSE,,,,,
65767,SRG 88,Viet Nam,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Ghana,2019-12-12,i) removed,,R,FALSE,,,,,
65779,SRG 88,Burkina Faso,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Cameroon,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Central African Republic,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Côte d'Ivoire,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Gambia,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Guinea Bissau,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Liberia,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Mauritania,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Niger,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Nigeria,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Senegal,2019-12-12,i) removed,,W,FALSE,,,,,
65779,SRG 88,Sierra Leone,2019-12-12,i) removed,,W,FALSE,,,,,
65780,SRG 88,Eswatini,2019-12-12,i) removed,,W,FALSE,,,,,
65780,SRG 88,Madagascar,2019-12-12,i) removed,,W,FALSE,,,,,
65780,SRG 88,Malawi,2019-12-12,i) removed,,W,FALSE,,,,,
65780,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,W,FALSE,,,,,
98332,SRG 88,Argentina,2019-12-12,i) removed,,W,FALSE,,,,,
98332,SRG 88,Chile,2019-12-12,i) removed,,W,FALSE,,,,,
98536,SRG 88,Chile,2019-12-12,i) removed,,W,FALSE,,,,,
98423,SRG 88,China,2019-12-12,i) removed,,W,FALSE,,,,,
30824,SRG 88,Kazakhstan,2019-12-12,i) removed,,W,FALSE,,,,,
68450,SRG 88,Brazil,2019-12-12,i) removed,,W,FALSE,,,,,
68356,SRG 88,Brazil,2019-12-12,i) removed,,W,FALSE,,,,,
68356,SRG 88,Peru,2019-12-12,i) removed,,W,FALSE,,,,,
68354,SRG 88,Brazil,2019-12-12,i) removed,,W,FALSE,,,,,
68354,SRG 88,Peru,2019-12-12,i) removed,,W,FALSE,,,,,
68355,SRG 88,Ecuador,2019-12-12,i) removed,,W,FALSE,,,,,
68358,SRG 88,Ecuador,2019-12-12,i) removed,,W,FALSE,,,,,
68358,SRG 88,Peru,2019-12-12,i) removed,,W,FALSE,,,,,
68359,SRG 88,Brazil,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Botswana,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Eswatini,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Gambia,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Ghana,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Guinea Bissau,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Namibia,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Nigeria,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Senegal,2019-12-12,i) removed,,W,FALSE,,,,,
36321,SRG 88,Uganda,2019-12-12,i) removed,,W,FALSE,,,,,
66085,SRG 88,Togo,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,China,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,Indonesia,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,Japan,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,Kiribati,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,New Caledonia,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,Papua New Guinea,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,Philippines,2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,"Taiwan, Province of China",2019-12-12,i) removed,,W,FALSE,,,,,
68361,SRG 88,Wallis and Futuna Islands,2019-12-12,i) removed,,W,FALSE,,,,,
68448,SRG 88,Paraguay,2019-12-12,i) removed,,W,FALSE,,,,,
1256,SRG 88,British Indian Ocean Territory (United Kingdom),2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Indonesia,2019-12-12,i) removed,COR,W,FALSE,,,,,
5163,SRG 88,Vanuatu,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Marshall Islands,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Palau,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Singapore,2019-12-12,i) removed,LIV,W,FALSE,,,,,
