Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species author,notes
Aa,GENUS,13490,FAMILY,12509,A,"Rchb.f., 1854",
Aa achalensis,SPECIES,55876,GENUS,13490,A,"Schltr., 1920",
Aa argyrolepis,SPECIES,72741,GENUS,13490,A,"Rchb.f., 1854",
Aa aurantiaca,SPECIES,77760,GENUS,13490,A,"D.Trujillo, 2011",
Aa calceata,SPECIES,77288,GENUS,13490,A,"(Rchb.f.) Schltr., 1912",
Aa colombiana,SPECIES,70249,GENUS,13490,A,"Schltr., 1920",
Aa denticulata,SPECIES,81653,GENUS,13490,A,"Schltr., 1920",
Aa erosa,SPECIES,69416,GENUS,13490,A,"(Rchb.f.) Schltr., 1912",
Aa fiebrigii,SPECIES,73239,GENUS,13490,A,"(Schltr.) Schltr., 1912",
Aa figueroi,SPECIES,81084,GENUS,13490,A,"Szlach. & S.Nowak, 2014",
Aa hartwegii,SPECIES,55877,GENUS,13490,A,"Garay, 1978",
Aa hieronymi,SPECIES,70526,GENUS,13490,A,"(Cogn.) Schltr., 1912",
Aa lehmannii,SPECIES,73903,GENUS,13490,A,"Rchb.f. ex Szlach. & Kolan., 2014",
Aa leucantha,SPECIES,81193,GENUS,13490,A,"(Rchb.f.) Schltr., 1920",
Aa lorentzii,SPECIES,80492,GENUS,13490,A,"Schltr., 1920",
Aa lozanoi,SPECIES,80245,GENUS,13490,A,"Szlach. & S.Nowak, 2014",
Aa macra,SPECIES,55878,GENUS,13490,A,"Schltr., 1921",
Aa maderoi,SPECIES,82814,GENUS,13490,A,"Schltr., 1920",
Aa mandonii,SPECIES,76227,GENUS,13490,A,"(Rchb.f.) Schltr., 1912",
Aa matthewsii,SPECIES,55879,GENUS,13490,A,"(Rchb.f.) Schltr., 1912",
Aa microtidis,SPECIES,69274,GENUS,13490,A,"Schltr., 1922",
Aa paleacea,SPECIES,75851,GENUS,13490,A,"(Kunth) Rchb.f., 1854",
Aa riobambae,SPECIES,80947,GENUS,13490,A,"Schltr., 1921",
Aa rosei,SPECIES,55880,GENUS,13490,A,"Ames, 1922",
Aa schickendanzii,SPECIES,76458,GENUS,13490,A,"Schltr., 1920",
Aa sphaeroglossa,SPECIES,74855,GENUS,13490,A,"Schltr., 1922",
Aa trilobulata,SPECIES,80020,GENUS,13490,A,"Schltr., 1922",
Aa weddelliana,SPECIES,79764,GENUS,13490,A,"(Rchb.f.) Schltr., 1912",
Acampe,GENUS,13180,FAMILY,12509,A,"Lindl., 1853",
Acampe carinata,SPECIES,73197,GENUS,13180,A,"(Griff.) Panigrahi, 1985",
Acampe cephalotes,SPECIES,75578,GENUS,13180,A,"Lindl., 1853",
Acampe hulae,SPECIES,74658,GENUS,13180,A,"Telepova, 2009",
Acampe joiceyana,SPECIES,77368,GENUS,13180,A,"(J.J.Sm.) Seidenf., 2002 publ. 2003",
Acampe ochracea,SPECIES,55885,GENUS,13180,A,"(Lindl.) Hochr., 1910",
Acampe pachyglossa,SPECIES,55886,GENUS,13180,A,"Rchb.f., 1881",
Acampe praemorsa,SPECIES,21110,GENUS,13180,A,"(Roxb.) Blatt. & McCann, 1932",
Acampe rigida,SPECIES,15475,GENUS,13180,A,"(Buch.-Ham. ex Sm.) P.F.Hunt, 1970",
Acanthophippium,GENUS,66949,FAMILY,12509,A,"Blume, 1825",
