cites_name,cites_taxon_code,speciesplusid,speciesplusname,rank
Epicrates cenchria alvarezi,2373.3,54310,Epicrates cenchria alvarezi,SPECIES
Erinaceus frontalis,90.1,37737,Erinaceus frontalis,SPECIES
Erinaceus spp.,90,30356,Erinaceus,GENUS
Euodice cantans,1925.1,34135,Euodice cantans,SPECIES
Euodice spp.,1925,30145,Euodice,GENUS
Eupsammia regalis,3612.1,37812,Eupsammia regalis,SPECIES
Eupsammia spp.,3612,29695,Eupsammia,GENUS
Fennecus spp.,574,30128,Fennecus,GENUS
Fennecus zerda,574.1,31491,Fennecus zerda,SPECIES
Fragilocyathus spp.,3526,30215,Fragilocyathus,GENUS
Galagoides cocos,191.81,33568,Galagoides cocos,SPECIES
Galagoides demidoff,191.83,37432,Galagoides demidoff,SPECIES
Galagoides demidovii,191.831,34019,Galagoides demidovii,SPECIES
Galagoides nyasae,191.833,31546,Galagoides nyasae,SPECIES
Galagoides orinus,191.835,33768,Galagoides orinus,SPECIES
Galagoides rondoensis,191.84,36602,Galagoides rondoensis,SPECIES
Galagoides spp.,191.8,30092,Galagoides,GENUS
Galagoides udzungwensis,191.845,36104,Galagoides udzungwensis,SPECIES
Galagoides zanzibaricus,191.85,31905,Galagoides zanzibaricus,SPECIES
Gemmulatrochus spp.,3527,30171,Gemmulatrochus,GENUS
Geopsittacus occidentalis,1512.1,32728,Geopsittacus occidentalis,SPECIES
Geopsittacus spp.,1512,30018,Geopsittacus,GENUS
Goreaugyra memorialis,3413.1,32147,Goreaugyra memorialis,SPECIES
Goreaugyra spp.,3413,30176,Goreaugyra,GENUS
Gypopsitta spp.,1515,29877,Gypopsitta,GENUS
Gypopsitta vulturina,1515.1,33435,Gypopsitta vulturina,SPECIES
Hagedashia hagedash,1123.1,35666,Hagedashia hagedash,SPECIES
Hagedashia spp.,1123,30223,Hagedashia,GENUS
Herpailurus spp.,687.65,29921,Herpailurus,GENUS
Herpailurus yaguarondi,687.7,33706,Herpailurus yaguarondi,SPECIES
Herpetoglossa spp.,3308.5,29870,Herpetoglossa,GENUS
Heterospizias meridionalis,1230.1,33617,Heterospizias meridionalis,SPECIES
Heterospizias spp.,1230,30062,Heterospizias,GENUS
Hieremys annandalii,2122.55,33038,Hieremys annandalii,SPECIES
Hieremys spp.,2122.5,30460,Hieremys,GENUS
Hydrodynastes gigas,2405.1,33878,Hydrodynastes gigas,SPECIES
Hydrodynastes spp.,2405,30350,Hydrodynastes,GENUS
Hypochera chalybeata,1957.1,36976,Hypochera chalybeata,SPECIES
Hypochera spp.,1957,30331,Hypochera,GENUS
Kachuga dhongoka,2123.01,34169,Kachuga dhongoka,SPECIES
Kachuga kachuga,2123.02,32228,Kachuga kachuga,SPECIES
Kachuga smithii,2123.03,37000,Kachuga smithii,SPECIES
Kachuga spp.,2123,30472,Kachuga,GENUS
Kachuga sylhetensis,2123.04,31478,Kachuga sylhetensis,SPECIES
Kachuga tecta,2123.05,37743,Kachuga tecta,SPECIES
Kachuga tentoria,2123.11,34004,Kachuga tentoria,SPECIES
Kachuga trivittata,2123.12,34084,Kachuga trivittata,SPECIES
Lampribis rara,1124.1,30738,Lampribis rara,SPECIES
Lampribis spp.,1124,30065,Lampribis,GENUS
Lichanotus laniger,162.1,34497,Lichanotus laniger,SPECIES
Lichanotus spp.,162,29748,Lichanotus,GENUS
Lioheterodon madagascariensis,2405.51,34432,Lioheterodon madagascariensis,SPECIES
Lithactina novaehiberniae,3310.1,35640,Lithactina novaehiberniae,SPECIES
Lithactina spp.,3310,30369,Lithactina,GENUS
Lophosmilia spp.,3537,30466,Lophosmilia,GENUS
Loria loriae,1999.1,34472,Loria loriae,SPECIES
Loria spp.,1999,29806,Loria,GENUS
Megamuntiacus spp.,866,29718,Megamuntiacus,GENUS
Megamuntiacus vuquanghensis,866.1,31510,Megamuntiacus vuquanghensis,SPECIES
Melanotrochilus fuscus,1716.1,36293,Melanotrochilus fuscus,SPECIES
Melanotrochilus spp.,1716,29943,Melanotrochilus,GENUS
Meliphaga cassidix,1881.1,36351,Meliphaga cassidix,SPECIES
Meliphaga spp.,1881,29701,Meliphaga,GENUS
Mytilus spp.,3101,30187,Mytilus,GENUS
Nanodes spp.,6656,29727,Nanodes,GENUS
Nemenzophyllia spp.,3539,30499,Nemenzophyllia,GENUS
Nemenzophyllia turbida,3539.1,37223,Nemenzophyllia turbida,SPECIES
Neohelia porcellana,3436.1,30629,Neohelia porcellana,SPECIES
Neohelia spp.,3436,29737,Neohelia,GENUS
Odontocyathus coronatus,3542.1,33823,Odontocyathus coronatus,SPECIES
Odontocyathus sexradiis,3542.2,36647,Odontocyathus sexradiis,SPECIES
Odontocyathus spp.,3542,29879,Odontocyathus,GENUS
Odontocyathus stella,3542.3,32203,Odontocyathus stella,SPECIES
Oncifelis colocolo,690.23,32274,Oncifelis colocolo,SPECIES
Oncifelis geoffroyi,690.25,37761,Oncifelis geoffroyi,SPECIES
Oncifelis guigna,690.27,33050,Oncifelis guigna,SPECIES
Oncifelis spp.,690.2,30172,Oncifelis,GENUS
Opopsitta diophthalma,1532.1,33646,Opopsitta diophthalma,SPECIES
Opopsitta diophthalma coxeni,1532.2,38749,Opopsitta diophthalma coxeni,SPECIES
Opopsitta gulielmitertii,1532.3,34708,Opopsitta gulielmitertii,SPECIES
Opopsitta spp.,1532,30177,Opopsitta,GENUS
Oreailurus jacobita,690.55,37296,Oreailurus jacobita,SPECIES
Oreailurus spp.,690.5,30477,Oreailurus,GENUS
Oryzotrochus spp.,3543,30322,Oryzotrochus,GENUS
Otocolobus manul,690.75,31494,Otocolobus manul,SPECIES
Otocolobus spp.,690.7,29945,Otocolobus,GENUS
Pachyphantes spp.,1959,29773,Pachyphantes,GENUS
Pachyphantes superciliosus,1959.1,34512,Pachyphantes superciliosus,SPECIES
Pachytriton labiatus,2562.5,54333,Pachytriton labiatus,SPECIES
Padda fuscata,1932.55,37275,Padda fuscata,SPECIES
Padda oryzivora,1932.6,37487,Padda oryzivora,SPECIES
Padda spp.,1932.5,30011,Padda,GENUS
Paphosia adorabilis,1732.1,36540,Paphosia adorabilis,SPECIES
Paphosia helenae,1732.2,36328,Paphosia helenae,SPECIES
Paphosia spp.,1732,29836,Paphosia,GENUS
Parahyaena brunnea,670.1,37684,Parahyaena brunnea,SPECIES
Parahyaena spp.,670,29759,Parahyaena,GENUS
Phaeochroa cuvierii,1734.1,31894,Phaeochroa cuvierii,SPECIES
Phaeochroa spp.,1734,30075,Phaeochroa,GENUS
Philodice bryantae,1738.1,31315,Philodice bryantae,SPECIES
Philodice evelynae,1738.2,34335,Philodice evelynae,SPECIES
Philodice mitchellii,1738.3,35455,Philodice mitchellii,SPECIES
Philodice spp.,1738,30240,Philodice,GENUS
Phobobates bassleri,2544.983,31052,Phobobates bassleri,SPECIES
Phobobates silverstonei,2544.986,37756,Phobobates silverstonei,SPECIES
Phobobates spp.,2544.98,30462,Phobobates,GENUS
Phobobates trivittatus,2544.989,30829,Phobobates trivittatus,SPECIES
Plesioseris spp.,3292.5,30425,Plesioseris,GENUS
Pogonocichla swynnertoni,1864.5,35922,Pogonocichla swynnertoni,SPECIES
Polyborus lutosus,1294.2,33058,Polyborus lutosus,SPECIES
Polyborus plancus,1294.3,33153,Polyborus plancus,SPECIES
Polyborus spp.,1294,29851,Polyborus,GENUS
Polyerata amabilis,1739.55,35890,Polyerata amabilis,SPECIES
Polyerata boucardi,1739.6,37653,Polyerata boucardi,SPECIES
Polyerata fimbriata,1739.65,32854,Polyerata fimbriata,SPECIES
Polyerata lactea,1739.7,32976,Polyerata lactea,SPECIES
Polyerata luciae,1739.75,36166,Polyerata luciae,SPECIES
Polyerata rosenbergi,1739.8,33105,Polyerata rosenbergi,SPECIES
Polyerata spp.,1739.5,30324,Polyerata,GENUS
Polyplancta aurescens,1741.1,37430,Polyplancta aurescens,SPECIES
Polyplancta spp.,1741,30310,Polyplancta,GENUS
Popelairia conversii,1743.1,32847,Popelairia conversii,SPECIES
Popelairia langsdorffi,1743.2,37113,Popelairia langsdorffi,SPECIES
Popelairia letitiae,1743.3,33655,Popelairia letitiae,SPECIES
Popelairia popelairii,1743.4,32460,Popelairia popelairii,SPECIES
Popelairia spp.,1743,30272,Popelairia,GENUS
Propyrrhura auricollis,1544.6,31904,Propyrrhura auricollis,SPECIES
Propyrrhura couloni,1544.7,30752,Propyrrhura couloni,SPECIES
Propyrrhura maracana,1544.8,34395,Propyrrhura maracana,SPECIES
Propyrrhura spp.,1544.5,30492,Propyrrhura,GENUS
Psammoseris spp.,3556.5,30114,Psammoseris,GENUS
Pseudalopex culpaeus,574.6,36025,Pseudalopex culpaeus,SPECIES
