cites_name,cites_taxon_code,speciesplusid,speciesplusname,rank
Aegolius spp.,1601,2129,Aegolius,GENUS
Aegypius spp.,1196,1278,Aegypius,GENUS
Aerangis spp.,5426,13549,Aerangis,GENUS
Aeranthes spp.,5434,13537,Aeranthes,GENUS
Aeranthus spp.,5437,13447,Aeranthus,GENUS
Aerides spp.,5438,12580,Aerides,GENUS
Aerobion spp.,5446,39184,Aerobion,GENUS
Afrotis spp.,1401,711,Afrotis,GENUS
Agalychnis spp.,2546,1507,Agalychnis,GENUS
Aganisia spp.,5448,12738,Aganisia,GENUS
Agapornis spp.,1472,1009,Agapornis,GENUS
Agaricia spp.,3280,1150,Agaricia,GENUS
Agave spp.,4000,12634,Agave,GENUS
Agelastes spp.,1321,1405,Agelastes,GENUS
Agkistrodon spp.,2420,1895,Agkistrodon,GENUS
Aglaeactis spp.,1644,1712,Aglaeactis,GENUS
Aglaiocercus spp.,1645,1275,Aglaiocercus,GENUS
Aglossorhyncha spp.,5449,13413,Aglossorhyncha,GENUS
Agrias spp.,2786,2040,Agrias,GENUS
Agrostophyllum spp.,5450,13689,Agrostophyllum,GENUS
Ailuropoda spp.,580,1725,Ailuropoda,GENUS
Ailurus spp.,580.5,2064,Ailurus,GENUS
Alamania spp.,5452,12988,Alamania,GENUS
Alatotrochus spp.,3499.1,1295,Alatotrochus,GENUS
Aldabrachelys spp.,2131.3,2336,Aldabrachelys,GENUS
Alismorchis spp.,5452.11,39205,Alismorchis,GENUS
Alismorkis spp.,5453,39200,Alismorkis,GENUS
Alisterus spp.,1473,1356,Alisterus,GENUS
Allenopithecus spp.,251,2037,Allenopithecus,GENUS
Alligator spp.,2211,1422,Alligator,GENUS
Allobates spp.,2530,2364,Allobates,GENUS
Allocebus spp.,151,2716,Allocebus,GENUS
Allochilus spp.,5454,12973,Allochilus,GENUS
Allopathes spp.,3200.5,2150,Allopathes,GENUS
Alluaudia spp.,5091,13420,Alluaudia,GENUS
Alluaudiopsis spp.,5092,13297,Alluaudiopsis,GENUS
Alocasia spp.,4030,12757,Alocasia,GENUS
Aloe spp.,5290,13461,Aloe,GENUS
Alopochen spp.,1141,1722,Alopochen,GENUS
Alouatta spp.,231,2278,Alouatta,GENUS
Alsophila spp.,4991,13552,Alsophila,GENUS
Altensteinia spp.,5455,12765,Altensteinia,GENUS
Altiphrynoides spp.,2519,1438,Altiphrynoides,GENUS
Alveopora spp.,3340,2099,Alveopora,GENUS
Amadina spp.,1921,1551,Amadina,GENUS
Amalias spp.,5455.14,39395,Amalias,GENUS
Amandava spp.,1922,1539,Amandava,GENUS
Amazilia spp.,1646,789,Amazilia,GENUS
Amazona spp.,1474,2607,Amazona,GENUS
Amblostoma spp.,5456,12818,Amblostoma,GENUS
Amblyglottis spp.,5456.6,39654,Amblyglottis,GENUS
Amblyospiza spp.,1951,1396,Amblyospiza,GENUS
Amblyrhynchus spp.,2300,2432,Amblyrhynchus,GENUS
