Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
olfersii,SPECIES,,GENUS,98484,S,"Müller, 1836",,CITES_EU,SPECIES,68413
massenoidea,SPECIES,,GENUS,98484,S,"Hill, 1862",,CITES_EU,SPECIES,68413
japanica,SPECIES,,GENUS,98484,S,"Müller & Henle, 1841",,CITES_EU,SPECIES,68408
eregoodoo,SPECIES,,GENUS,98486,S,"Cantor, 1849",,CITES_EU,SPECIES,68412
draco,SPECIES,,GENUS,98486,S,"Günther, 1872",,CITES_EU,SPECIES,68412
mobular,SPECIES,,GENUS,98487,S,"Bonnaterre, 1788",,CITES_EU,SPECIES,68407
cornu,SPECIES,,GENUS,98488,S,"Lacepède, 1798",,CITES_EU,SPECIES,68407
vespertilio,SPECIES,,GENUS,30231,S,"Walbaum, 1792",,CITES_EU,SPECIES,68407
fabroniana,SPECIES,,GENUS,98487,S,"Lacepède, 1800",,CITES_EU,SPECIES,68407
cephaloptera,SPECIES,,GENUS,30231,S,"Bloch & Schneider, 1801",,CITES_EU,SPECIES,68407
auriculata,SPECIES,,GENUS,68406,S,"Rafinesque, 1810",,CITES_EU,SPECIES,68407
fabroni,SPECIES,,GENUS,98493,S,"Rafinesque, 1810",,CITES_EU,SPECIES,68407
massena,SPECIES,,GENUS,98491,S,"Risso, 1810",,CITES_EU,SPECIES,68407
dumerillii,SPECIES,,GENUS,98484,S,"Billberg, 1833",,CITES_EU,SPECIES,68407
rissoi,SPECIES,,GENUS,98484,S,"Billberg, 1833",,CITES_EU,SPECIES,68407
cornutus,SPECIES,,GENUS,98495,S,"Billberg, 1833",,CITES_EU,SPECIES,68407
monstrum,SPECIES,,GENUS,98486,S,"Klunzinger, 1871",,CITES_EU,SPECIES,68407
edentula,SPECIES,,GENUS,98491,S,"Griffini, 1903",,CITES_EU,SPECIES,68407
tarapacana,SPECIES,,GENUS,98484,S,"Philippi, 1892",,CITES_EU,SPECIES,68410
aiereba,SPECIES,,GENUS,98496,S,"Müller & Henle (ex Marcgravus), 1841",,CITES_EU,SPECIES,68483
sloani,SPECIES,,GENUS,98487,S,"Stephan, 1779",,CITES_EU,SPECIES,68483
ajereba,SPECIES,,GENUS,30231,S,"Walbaum (ex Marcgravus), 1792",,CITES_EU,SPECIES,68483
orbicularis,SPECIES,,GENUS,30231,S,"Bloch & Schneider (ex Marcgravus), 1801",,CITES_EU,SPECIES,68483
