cites_trade_name,legacy_cites_ID,valid_name_species_plus_id,valid_name,trade_name_rank,name_status
Coenothecalia,3810,118,Helioporacea,GENUS,T
Pholidota bicuspidata,6882.2,141,Pholidota,SPECIES,T
Lithophyllon edwardsi,3311.07,710,Lithophyllon,SPECIES,T
Montipora acutata,3266.05,725,Montipora,SPECIES,T
Montipora alveopora,3266.15,725,Montipora,SPECIES,T
Montipora aspera,3266.3,725,Montipora,SPECIES,T
Montipora dilatata,3267.45,725,Montipora,SPECIES,T
Montipora exserta,3267.94,725,Montipora,SPECIES,T
Montipora papillosa,3269.3,725,Montipora,SPECIES,T
Montipora perforata,3269.43,725,Montipora,SPECIES,T
Montipora rigida,3269.61,725,Montipora,SPECIES,T
Montipora scabricula,3269.64,725,Montipora,SPECIES,T
Montipora sinuosa,3269.66,725,Montipora,SPECIES,T
Montipora astriata,3266.4,725,Montipora,SPECIES,T
Acanthastrea simplex,3460.8,953,Acanthastrea,SPECIES,T
Physogyra astraeiformis,3550.05,1086,Physogyra,SPECIES,T
Arborophila orientalis,1323.25,1203,Arborophila,SPECIES,T
Pocillopora clavaria,3242.45,1243,Pocillopora,SPECIES,T
Pocillopora informis,3242.95,1243,Pocillopora,SPECIES,T
Pocillopora solida,3243.2,1243,Pocillopora,SPECIES,T
Pavona acuticarinata,3287.05,1249,Pavona,SPECIES,T
Pavona minor,3288.25,1249,Pavona,SPECIES,T
Euphyllia picteti,3524.7,1256,Euphyllia,SPECIES,T
Euphyllia kabiraensis,3524.6,1256,Euphyllia,SPECIES,T
Psammocora haimiana,3293.6,1306,Psammocora,SPECIES,T
Notophyllia variolaris,3615.1,1590,Notophyllia,SPECIES,T
Chamaeleo marshalli,2286.9,1639,Chamaeleo,SPECIES,T
Stylophora compressa,3245.02,1732,Stylophora,SPECIES,T
Symphyllia simplex,3472.35,1817,Symphyllia,SPECIES,T
Cirrhipathes grandis,3203.616,1835,Cirrhipathes,SPECIES,T
Seriatopora spinosa,3244.4,1838,Seriatopora,SPECIES,T
Ornithoptera akakeae,2803.2,1861,Ornithoptera,SPECIES,T
Galaxea lauensis,3434.4,2041,Galaxea,SPECIES,T
Turbinaria mantonae,3621.65,2062,Turbinaria,SPECIES,T
Turbinaria marmorea,3621.67,2062,Turbinaria,SPECIES,T
Turbinaria mollis,3621.73,2062,Turbinaria,SPECIES,T
Turbinaria parvistella,3621.77,2062,Turbinaria,SPECIES,T
Turbinaria sinensis,3622.16,2062,Turbinaria,SPECIES,T
Turbinaria speciosa,3622.18,2062,Turbinaria,SPECIES,T
Stylaster rossoamericanus,3739.1,2077,Stylaster,SPECIES,T
Porites bernardi,3343.33,2167,Porites,SPECIES,T
Porites limosa,3344.05,2167,Porites,SPECIES,T
Porites portoricensis,3344.93,2167,Porites,SPECIES,T
Porites thurstoni,3345.36,2167,Porites,SPECIES,T
Brachypelma mesomelas,2901.05,2197,Brachypelma,SPECIES,T
Acropora appressa,3250.55,2293,Acropora,SPECIES,T
Acropora attenuata,3250.75,2293,Acropora,SPECIES,T
Acropora demani,3252.75,2293,Acropora,SPECIES,T
Acropora gonagra,3254.75,2293,Acropora,SPECIES,T
Acropora implicata,3255.8,2293,Acropora,SPECIES,T
Acropora indica,3255.9,2293,Acropora,SPECIES,T
Acropora pumila,3259.55,2293,Acropora,SPECIES,T
Acropora rodriguensis,3260.03,2293,Acropora,SPECIES,T
Acropora studeri,3261.4,2293,Acropora,SPECIES,T
Acropora effluens,3253.55,2293,Acropora,SPECIES,T
Acropora sanguinolenta,3260.3,2293,Acropora,SPECIES,T
Ciconia ciconia,1110.1,2338,Ciconia,SPECIES,T
Cyphastrea nodulosa,3360.5,2374,Cyphastrea,SPECIES,T
Coelastrea,3358,2493,Goniastrea,GENUS,T
Goniopora arbuscula,3341.03,2495,Goniopora,SPECIES,T
Goniopora granulosa,3341.45,2495,Goniopora,SPECIES,T
Goniopora reptans,3342.05,2495,Goniopora,SPECIES,T
Mantella veronica,2559.6,2576,Mantella,SPECIES,T
Thalassiotrochus,3563.5,2693,Desmophyllum,SPECIES,T
Ovis canadensis californiana,898.7,3036,Ovis canadensis,SUBSPECIES,T
Ovis canadensis canadensis,898.8,3036,Ovis canadensis,SUBSPECIES,T
Otus atricapilla guatemalae,1620.53,3111,Otus guatemalae,SUBSPECIES,T
Lophocebus albigena aterrimus,258.4,3189,Lophocebus albigena,SUBSPECIES,T
Equus africanus somalicus,780.2,3255,Equus africanus,SUBSPECIES,T
Lagonosticta larvata vinacea,1927.1,3291,Lagonosticta larvata,SUBSPECIES,T
Phelsuma v-nigra pasteuri,2254.95,3483,Phelsuma pasteuri,SUBSPECIES,T
Propithecus coronatus,163.04,3637,Propithecus deckenii,SPECIES,T
Amazona ochrocephala parvipes,1477.05,3721,Amazona auropalliata,SUBSPECIES,T
Myiopsitta monachus luchsi,1523.15,3753,Myiopsitta monachus,SUBSPECIES,T
Colobus guereza caudatus,256.8,3758,Colobus guereza,SUBSPECIES,T
Tyto alba guttata,1592.2,3798,Tyto alba,SUBSPECIES,T
Tyto alba pratincola,1592.3,3798,Tyto alba,SUBSPECIES,T
Troides cuneifera peninsulae,2812.8,3821,Troides cuneifera,SUBSPECIES,T
Gorilla beringei graueri,291.035,3913,Gorilla beringei,SUBSPECIES,T
Kobus leche kafuensis,895.2,4050,Kobus leche,SUBSPECIES,T
Kobus leche smithemani,895.4,4050,Kobus leche,SUBSPECIES,T
Pyxis arachnoides brygooi,2142.13,4096,Pyxis arachnoides,SUBSPECIES,T
Pyxis arachnoides oblonga,2142.15,4096,Pyxis arachnoides,SUBSPECIES,T
Oryx gazella leucoryx,897.2,4154,Oryx leucoryx,SUBSPECIES,T
Eunymphicus cornutus cornutus,1509.2,4199,Eunymphicus cornutus,SUBSPECIES,T
Trichoglossus haematodus weberi,1564.65,4200,Trichoglossus haematodus,SUBSPECIES,T
Lontra longicaudis annectens,615.6,4391,Lontra longicaudis,SUBSPECIES,T
Lutra longicaudis enudris,616.5,4391,Lontra longicaudis,SUBSPECIES,T
Lutra longicaudis incarum,616.6,4391,Lontra longicaudis,SUBSPECIES,T
Canis lupus occidentalis,570.6,4442,Canis lupus,SUBSPECIES,T
Troides helena cerberus,2813.5,4453,Troides helena,SUBSPECIES,T
Bubalornis niger albirostris,1954.2,4457,Bubalornis albirostris,SUBSPECIES,T
Loxodonta africana cyclotis,752.2,4521,Loxodonta africana,SUBSPECIES,T
Rucervus eldii siamensis,871.21,4547,Rucervus eldii,SUBSPECIES,T
Rucervus eldii thamin,871.22,4547,Rucervus eldii,SUBSPECIES,T
Colobus polykomos vellerosus,257.4,4679,Colobus vellerosus,SUBSPECIES,T
Procolobus pennantii kirkii,267.04,4754,Piliocolobus kirkii,SUBSPECIES,T
Varanus acanthurus brachyurus,2351.2,4807,Varanus acanthurus,SUBSPECIES,T
Ovis vignei arkal,899.11,4814,Ovis vignei,SUBSPECIES,T
Ovis vignei blanfordi,899.12,4814,Ovis vignei,SUBSPECIES,T
Ovis vignei cycloceros,899.14,4814,Ovis vignei,SUBSPECIES,T
Ovis vignei punjabiensis,899.15,4814,Ovis vignei,SUBSPECIES,T
Alisterus chloropterus moszkowskii,1473.3,4896,Alisterus chloropterus,SUBSPECIES,T
Pyrrhura melanura souancei,1558.4,4913,Pyrrhura melanura,SUBSPECIES,T
Premocyathus compressus,3556.1,4943,Premocyathus dentiformis,SPECIES,T
Varanus indicus kalabeck,2353.3,4966,Varanus indicus,SUBSPECIES,T
Polyplectron bicalcaratum bakeri,1337.2,5067,Polyplectron bicalcaratum,SUBSPECIES,T
Steganura paradisaea,1968.1,5085,Vidua paradisaea,SPECIES,T
Steganura paradisea,1968.2,5085,Vidua paradisaea,SPECIES,T
Lemur fulvus collaris,142.5,5089,Eulemur collaris,SUBSPECIES,T
Diomedea albatrus,1050.1,5122,Phoebastria albatrus,SPECIES,T
Ciconia ciconia boyciana,1110.2,5126,Ciconia boyciana,SUBSPECIES,T
Papio hamadryas hamadryas,263.65,5129,Papio hamadryas,SUBSPECIES,T
Naja naja naja,2412.205,5151,Naja naja,SUBSPECIES,T
Lemur fulvus rufus,142.7,5225,Eulemur rufus,SUBSPECIES,T
Amazona salvini,1477.4,5318,Amazona autumnalis,SPECIES,T
Amazona autumnalis lilacina,1474.75,5318,Amazona autumnalis,SUBSPECIES,T
Amazona autumnalis salvini,1474.8,5318,Amazona autumnalis,SUBSPECIES,T
Aratinga holochlora brevipes,1484.4,5325,Aratinga holochlora,SUBSPECIES,T
Aratinga holochlora rubritorquis,1484.5,5325,Aratinga holochlora,SUBSPECIES,T
Charmosyna papou goliathina,1497.9,5419,Charmosyna papou,SUBSPECIES,T
Accipiter striatus chionogaster,1195.33,5427,Accipiter striatus,SUBSPECIES,T
Eulemur fulvus mayottensis,140.33,5490,Eulemur fulvus,SUBSPECIES,T
Arctocephalus pusillus doriferus,700.7,5620,Arctocephalus pusillus,SUBSPECIES,T
Eunectes murinus gigas,2377.4,5767,Eunectes murinus,SUBSPECIES,T
Bos gaurus gaurus,886.2,5874,Bos gaurus,SUBSPECIES,T
Asturina nitida plagiata,1198.65,6003,Asturina nitida,SUBSPECIES,T
Phoenicopterus ruber roseus,1133.6,6046,Phoenicopterus ruber,SUBSPECIES,T
Panthera tigris bengalensis,692.6,6047,Panthera tigris,SUBSPECIES,T
Panthera tigris sumatrae,692.7,6047,Panthera tigris,SUBSPECIES,T
Panthera tigris tigris,692.8,6047,Panthera tigris,SUBSPECIES,T
Troides oblongomaculatus papuensis,2814.2,6102,Troides oblongomaculatus,SUBSPECIES,T
Tyto capensis longimembris,1592.53,6179,Tyto capensis,SUBSPECIES,T
Falco peregrinus brookei,1285.5,6244,Falco peregrinus,SUBSPECIES,T
Falco peregrinus calidus,1285.6,6244,Falco peregrinus,SUBSPECIES,T
Falco peregrinus cassini,1285.7,6244,Falco peregrinus,SUBSPECIES,T
Falco peregrinus minor,1285.8,6244,Falco peregrinus,SUBSPECIES,T
Falco peregrinus pealei,1285.9,6244,Falco peregrinus,SUBSPECIES,T
Falco peregrinus peregrinator,1286.3,6244,Falco peregrinus,SUBSPECIES,T
Glaucidium gnoma californicum,1607.71,6313,Glaucidium gnoma,SUBSPECIES,T
Panthera onca onca,691.6,6385,Panthera onca,SUBSPECIES,T
Crocodylus acutus cuvieri,2222.2,6436,Crocodylus acutus,SUBSPECIES,T
Ornithoptera priamus admiralitatus,2805,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus arruana,2805.1,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus bornemanni,2805.2,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus cronius,2805.3,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus demophanes,2805.4,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus euphorion,2805.5,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus hecuba,2805.6,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus miokensis,2805.7,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus poseidon,2805.8,6442,Ornithoptera priamus,SUBSPECIES,T
Ornithoptera priamus triton,2806,6442,Ornithoptera priamus,SUBSPECIES,T
Polyborus plancus auduboni,1294.4,6579,Caracara plancus,SPECIES,T
Mandingoa nitidula schlegeli,1929.2,6612,Mandingoa nitidula,SUBSPECIES,T
Pan troglodytes verus,292.3,6692,Pan troglodytes,SUBSPECIES,T
Chamaeleo etiennei,2284.85,6715,Chamaeleo gracilis,SPECIES,T
Bubalus bubalis,887.1,6811,Bubalus arnee,SPECIES,T
Ornithoptera priamus urvillianus,2806.1,6865,Ornithoptera urvillianus,SUBSPECIES,T
Hippocampus ramulosus,2705.142,6993,Hippocampus guttulatus,SPECIES,T
Selasphorus flammula torridus,1751.25,6997,Selasphorus flammula,SUBSPECIES,T
Cyclura cychlura cychlura,2303.53,6998,Cyclura cychlura,SUBSPECIES,T
Cyclura cychlura figginsi,2303.55,6998,Cyclura cychlura,SUBSPECIES,T
Cyclura cychlura inornata,2303.57,6998,Cyclura cychlura,SUBSPECIES,T
Goura scheepmakeri sclateri,1455.3,7002,Goura scheepmakeri,SUBSPECIES,T
Tursiops truncatus gilli,527.3,7086,Tursiops truncatus,SUBSPECIES,T
Tursiops truncatus ponticus,527.4,7086,Tursiops truncatus,SUBSPECIES,T
Ovis ammon ammon,898.2,7093,Ovis ammon,SUBSPECIES,T
Ovis ammon dalailamae,898.25,7093,Ovis ammon,SUBSPECIES,T
Ovis ammon darwini,898.3,7093,Ovis ammon,SUBSPECIES,T
Ovis ammon karelini,898.5,7093,Ovis ammon,SUBSPECIES,T
Ovis ammon polii,898.555,7093,Ovis ammon,SUBSPECIES,T
Pongo pygmaeus pygmaeus,293.3,7106,Pongo pygmaeus,SUBSPECIES,T
Aburria pipile pipile,1310.2,7109,Pipile pipile,SPECIES,T
Gorilla gorilla gorilla,291.2,7116,Gorilla gorilla,SUBSPECIES,T
Cacatua galerita eleonora,1491.45,7207,Cacatua galerita,SUBSPECIES,T
Cacatua galerita triton,1491.5,7207,Cacatua galerita,SUBSPECIES,T
Gongylophis colubrinus loveridgei,2378.2,7215,Gongylophis colubrinus,SUBSPECIES,T
Euodice malabarica,1925.2,7224,Lonchura cantans,SPECIES,T
Pharomachrus mocinno costaricensis,1770.2,7239,Pharomachrus mocinno,SUBSPECIES,T
Pharomachrus mocinno mocinno,1770.3,7239,Pharomachrus mocinno,SUBSPECIES,T
Caecobarbus geertsi,2660.1,7292,Caecobarbus geertsii,SPECIES,T
Osteolaemus tetraspis osborni,2224.2,7296,Osteolaemus tetraspis,SUBSPECIES,T
Felis silvestris libyca,686.5,7300,Felis silvestris,SUBSPECIES,T
Felis silvestris mellandi,686.6,7300,Felis silvestris,SUBSPECIES,T
Felis silvestris ornata,686.7,7300,Felis silvestris,SUBSPECIES,T
Felis silvestris silvestris,686.8,7300,Felis silvestris,SUBSPECIES,T
Crocodylus novaeguineae novaeguineae,2223.1,7345,Crocodylus novaeguineae,SUBSPECIES,T
Lynx lynx lynx,689.25,7414,Lynx lynx,SUBSPECIES,T
Morelia argus variegata,2359.316,7469,Morelia spilota,SUBSPECIES,T
Morelia spilota variegata,2359.375,7469,Morelia spilota,SUBSPECIES,T
Python spilotus variegata,2359.83,7469,Morelia spilota,SUBSPECIES,T
Ornithoptera croesus lydius,2803.9,7500,Ornithoptera croesus,SUBSPECIES,T
Troides miranda neomiranda,2814,7628,Troides miranda,SUBSPECIES,T
Aratinga wagleri frontata,1485.5,7695,Aratinga wagleri,SUBSPECIES,T
Ornithoptera goliath joiceyi,2804.3,7735,Ornithoptera goliath,SUBSPECIES,T
Ornithoptera goliath procus,2804.4,7735,Ornithoptera goliath,SUBSPECIES,T
Ornithoptera goliath samson,2804.5,7735,Ornithoptera goliath,SUBSPECIES,T
Ornithoptera goliath supremus,2804.6,7735,Ornithoptera goliath,SUBSPECIES,T
Cyclura nubila lewisi,2303.7,7782,Cyclura lewisi,SUBSPECIES,T
Felis lynx canadensis,684.4,7928,Lynx canadensis,SUBSPECIES,T
Grus canadensis tabida,1374.7,7937,Grus canadensis,SUBSPECIES,T
Trogonoptera brookiana albescens,2811.2,7954,Trogonoptera brookiana,SUBSPECIES,T
Kachuga tecta tecta,2123.1,8019,Pangshura tecta,SPECIES,T
Phelsuma lineata leiogaster,2253.15,8104,Phelsuma modesta,SUBSPECIES,T
Amazona festiva bodini,1475.8,8116,Amazona festiva,SUBSPECIES,T
Acropora exigua,3254,8130,Acropora formosa,SPECIES,T
Cercopithecus aethiops sabaeus,253.2,8199,Chlorocebus sabaeus,SUBSPECIES,T
Chlorocebus aethiops sabeus,255.8,8199,Chlorocebus sabaeus,SUBSPECIES,T
Pongo pygmaeus abelii,293.2,8203,Pongo abelii,SUBSPECIES,T
Heliangelus amethysticollis clarisse,1699.13,8311,Heliangelus amethysticollis,SUBSPECIES,T
Tridacna elongata,3112.7,8327,Tridacna maxima,SPECIES,T
Bolborhynchus aurifrons robertsi,1489.3,8416,Psilopsiagon aurifrons,SUBSPECIES,T
Boa constrictor imperator,2363.3,8534,Boa constrictor,SUBSPECIES,T
Bubo bubo nikolskii,1604.8,8568,Bubo bubo,SUBSPECIES,T
Bubo bubo turcomanus,1604.9,8568,Bubo bubo,SUBSPECIES,T
Bubo africanus cinerascens,1604.3,8588,Bubo cinerascens,SUBSPECIES,T
Panthera pardus delacouri,691.8,8619,Panthera pardus,SUBSPECIES,T
Panthera pardus japonensis,691.9,8619,Panthera pardus,SUBSPECIES,T
Panthera pardus kotiya,692,8619,Panthera pardus,SUBSPECIES,T
Panthera pardus melanotica,692.1,8619,Panthera pardus,SUBSPECIES,T
Panthera pardus melas,692.2,8619,Panthera pardus,SUBSPECIES,T
Panthera pardus orientalis,692.3,8619,Panthera pardus,SUBSPECIES,T
Cacatua sulphurea citrinocristata,1492.4,8684,Cacatua sulphurea,SUBSPECIES,T
Saiga tatarica mongolica,902.1,8765,Saiga tatarica,SUBSPECIES,T
Phelsuma madagascariensis grandis,2253.3,8779,Phelsuma madagascariensis,SUBSPECIES,T
Phelsuma madagascariensis kochi,2253.4,8779,Phelsuma madagascariensis,SUBSPECIES,T
Struthio camelus spatzi,1000.3,8790,Struthio camelus,SUBSPECIES,T
Lemur fulvus albifrons,142.4,8815,Eulemur albifrons,SUBSPECIES,T
Hippopus maculatus,3111.2,8893,Hippopus hippopus,SPECIES,T
Psittacula alexandri fasciata,1549.3,9123,Psittacula alexandri,SUBSPECIES,T
Lichanura trivirgata roseofusca,2381.3,9139,Lichanura trivirgata,SUBSPECIES,T
Loriculus philippensis apicalis,1519.9,9224,Loriculus philippensis,SUBSPECIES,T
Troides amphrysus ruficollis,2812.4,9339,Troides amphrysus,SUBSPECIES,T
Oreotrochilus estella stolzmanni,1728.25,9437,Oreotrochilus estella,SUBSPECIES,T
Tupinambis teguixin nigropunctatus,2333.4,9495,Tupinambis teguixin,SUBSPECIES,T
Psittacus erithacus erithacus,1552.15,9644,Psittacus erithacus,SUBSPECIES,T
Coeligena torquata inca,1674.95,9658,Coeligena torquata,SUBSPECIES,T
Herpailurus yaguarondi cacomitli,687.8,9682,Puma yagouaroundi,SUBSPECIES,T
Herpailurus yaguarondi fossata,687.9,9682,Puma yagouaroundi,SUBSPECIES,T
Herpailurus yaguarondi panamensis,688,9682,Puma yagouaroundi,SUBSPECIES,T
Herpailurus yaguarondi tolteca,688.1,9682,Puma yagouaroundi,SUBSPECIES,T
Eclectus roratus aruensis,1505.2,9709,Eclectus roratus,SUBSPECIES,T
Eclectus roratus solomonensis,1505.3,9709,Eclectus roratus,SUBSPECIES,T
Eclectus roratus vosmaeri,1505.4,9709,Eclectus roratus,SUBSPECIES,T
Cyanoramphus novaezelandiae cookii,1502.5,9710,Cyanoramphus novaezelandiae,SUBSPECIES,T
Heloderma horridum alvarezi,2340.2,9738,Heloderma horridum,SUBSPECIES,T
Pionus tumultuosus seniloides,1538.9,9778,Pionus tumultuosus,SUBSPECIES,T
Chelonoidis nigra becki,2131.762,9794,Chelonoidis nigra,SUBSPECIES,T
Chelonoidis nigra hoodensis,2131.765,9794,Chelonoidis nigra,SUBSPECIES,T
Milvus korschun,1245.1,9813,Milvus migrans,SPECIES,T
Ursus arctos horribilis,585.4,9829,Ursus arctos,SUBSPECIES,T
Ursus arctos middendorffi,585.6,9829,Ursus arctos,SUBSPECIES,T
Ursus arctos richardsoni,585.9,9829,Ursus arctos,SUBSPECIES,T
Ursus arctos syriacus,586,9829,Ursus arctos,SUBSPECIES,T
Aratinga nana astec,1485,9864,Aratinga nana,SUBSPECIES,T
Gazella dama mhorr,893.3,10002,Nanger dama,SUBSPECIES,T
Gazella dama ruficollis,893.4,10002,Nanger dama,SUBSPECIES,T
Grus grus lilfordi,1374.9,10083,Grus grus,SUBSPECIES,T
Crocodylus palustris kimbula,2223.3,10096,Crocodylus palustris,SUBSPECIES,T
Ornithoptera victoriae epiphanes,2806.8,10136,Ornithoptera victoriae,SUBSPECIES,T
Ornithoptera victoriae isabellae,2806.9,10136,Ornithoptera victoriae,SUBSPECIES,T
Ornithoptera victoriae reginae,2807,10136,Ornithoptera victoriae,SUBSPECIES,T
Ornithoptera victoriae regis,2807.05,10136,Ornithoptera victoriae,SUBSPECIES,T
Ornithoptera victoriae rubianus,2807.1,10136,Ornithoptera victoriae,SUBSPECIES,T
Papio doguera,263.3,10170,Papio anubis,SPECIES,T
Poicephalus senegalus vesteri,1541.95,10314,Poicephalus senegalus,SUBSPECIES,T
Iguana iguana rhinolopha,2305.3,10420,Iguana iguana,SUBSPECIES,T
Blastomussa loyae,3463.05,10514,Blastomussa merleti,SPECIES,T
Troides haliphron socrates,2813.2,10555,Troides haliphron,SUBSPECIES,T
Prionailurus bengalensis chinensis,694.3,10598,Prionailurus bengalensis,SUBSPECIES,T
Prionailurus bengalensis euptilura,694.4,10598,Prionailurus bengalensis,SUBSPECIES,T
Amazona farinosa guatemalae,1475.55,10655,Amazona farinosa,SUBSPECIES,T
Penelopides panini affinis,1785.36,10693,Penelopides panini,SUBSPECIES,T
Penelopides panini manillae,1785.37,10693,Penelopides panini,SUBSPECIES,T
Barnardius zonarius barnardius,1487.63,10765,Barnardius zonarius,SUBSPECIES,T
Barnardius zonarius macgillivrayi,1487.65,10765,Barnardius zonarius,SUBSPECIES,T
Barnardius zonarius semitorquatus,1487.7,10765,Barnardius zonarius,SUBSPECIES,T
Chalcopsitta atra insignis,1495.2,10873,Chalcopsitta atra,SUBSPECIES,T
Colobus angolensis ruwenzorii,256.4,10874,Colobus angolensis,SUBSPECIES,T
Amazilia tzacatl handleyi,1648.75,10895,Amazilia tzacatl,SUBSPECIES,T
Ovis orientalis gmelini,898.9,10995,Ovis orientalis,SUBSPECIES,T
Aratinga nenday,1485.1,10997,Nandayus nenday,SPECIES,T
Amazona ochrocephala tresmariae,1477.1,11033,Amazona oratrix,SUBSPECIES,T
Amazona oratrix belizensis,1477.14,11033,Amazona oratrix,SUBSPECIES,T
Amazona oratrix tresmariae,1477.15,11033,Amazona oratrix,SUBSPECIES,T
Eulemur macaco flavifrons,140.41,11141,Eulemur macaco,SUBSPECIES,T
Eulemur macaco macaco,140.42,11141,Eulemur macaco,SUBSPECIES,T
Varanus gouldii flavirufus,2352.9,11146,Varanus gouldii,SUBSPECIES,T
Equus hemionus kulan,780.8,11193,Equus hemionus,SUBSPECIES,T
Equus hemionus onager,780.9,11193,Equus hemionus,SUBSPECIES,T
Damaliscus dorcas dorcas,892.2,12162,Damaliscus pygargus pygargus,SUBSPECIES,T
Felis concolor missoulensis,683.7,12204,Puma concolor missoulensis,SUBSPECIES,T
Cervus dama mesopotamica,861.1,12218,Dama dama mesopotamica,SUBSPECIES,T
Aonyx congicus,611.3,12219,Aonyx capensis microdon,SPECIES,T
Felis pardalis mitis,685.5,12237,Leopardus pardalis mitis,SUBSPECIES,T
Felis tigrina oncilla,687.1,12243,Leopardus tigrinus oncilla,SUBSPECIES,T
Felis pardalis mearnsi,685.4,12308,Leopardus pardalis mearnsi,SUBSPECIES,T
Felis wiedii nicaraguae,687.4,12311,Leopardus wiedii nicaraguae,SUBSPECIES,T
Felis wiedii salvinia,687.5,12313,Leopardus wiedii salvinia,SUBSPECIES,T
Rhea pennata pennata,1012.6,12316,Pterocnemia pennata pennata,SUBSPECIES,T
Felis rufa escuinapae,686.1,12318,Lynx rufus escuinapae,SUBSPECIES,T
Crotalus unicolor,2422.5,12340,Crotalus durissus unicolor,SPECIES,T
Uncifera dalatensis,7356.2,12553,Uncifera,SPECIES,T
Uncifera lancifolia,7356.3,12553,Uncifera,SPECIES,T
Uncifera thailandica,7356.5,12553,Uncifera,SPECIES,T
Corybas diemenicus,5855.3,12554,Corybas,SPECIES,T
Corybas dilatatus,5855.4,12554,Corybas,SPECIES,T
Corybas ecarinatus,5855.45,12554,Corybas,SPECIES,T
Corybas fimbriatus,5855.5,12554,Corybas,SPECIES,T
Corybas hispidus,5855.8,12554,Corybas,SPECIES,T
Corybas incurvus,5855.9,12554,Corybas,SPECIES,T
Corybas pruinosus,5856.075,12554,Corybas,SPECIES,T
Corybas rivularis,5856.2,12554,Corybas,SPECIES,T
Corybas cheesemani,5855.2,12554,Corybas,SPECIES,T
Anacampseros bellissima,7461.1,12558,Anacampseros,SPECIES,T
Restrepia carnosa,7079.425,12559,Restrepia,SPECIES,T
Restrepia erythroxantha,7080.05,12559,Restrepia,SPECIES,T
Restrepia howei,7080.52,12559,Restrepia,SPECIES,T
Restrepia orientalis,7081.2,12559,Restrepia,SPECIES,T
Restrepia pernix,7081.5,12559,Restrepia,SPECIES,T
Restrepia puntillosa,7081.8,12559,Restrepia,SPECIES,T
Restrepia xantholeuca,7082.6,12559,Restrepia,SPECIES,T
Restrepia felix,7080.2,12559,Restrepia,SPECIES,T
Pedilochilus amabilis,6849.1,12560,Pedilochilus,SPECIES,T
Pedilochilus wariana,6849.6,12560,Pedilochilus,SPECIES,T
Verticordia acerosa,5380.1,12562,Verticordia,SPECIES,T
Verticordia brownii,5380.2,12562,Verticordia,SPECIES,T
Verticordia chrysantha,5380.3,12562,Verticordia,SPECIES,T
Verticordia densiflora,5380.4,12562,Verticordia,SPECIES,T
Verticordia drummondii,5380.5,12562,Verticordia,SPECIES,T
Verticordia grandiflora,5380.6,12562,Verticordia,SPECIES,T
Verticordia monadelpha,5380.9,12562,Verticordia,SPECIES,T
Verticordia nitens,5381,12562,Verticordia,SPECIES,T
Verticordia ovalifolia,5381.1,12562,Verticordia,SPECIES,T
Verticordia patens,5381.2,12562,Verticordia,SPECIES,T
Verticordia picta,5381.3,12562,Verticordia,SPECIES,T
Verticordia plumosa,5381.4,12562,Verticordia,SPECIES,T
Verticordia preissii,5381.5,12562,Verticordia,SPECIES,T
Verticordia roei,5381.6,12562,Verticordia,SPECIES,T
Verticordia serrata,5381.7,12562,Verticordia,SPECIES,T
Galearis spectabilis,6267.4,12565,Galearis,SPECIES,T
Chysis langleyensis,5785.5,12569,Chysis,SPECIES,T
Rauhiella brasiliensis,7072.1,12570,Rauhiella,SPECIES,T
Dendrocereus arboreus,4246.1,12572,Dendrocereus,SPECIES,T
Tetramicra bulbosa,7293.2,12574,Tetramicra,SPECIES,T
Tetramicra ekmanii,7293.35,12574,Tetramicra,SPECIES,T
Tetramicra elegans,7293.4,12574,Tetramicra,SPECIES,T
Tetramicra eulophiae,7293.42,12574,Tetramicra,SPECIES,T
Tetramicra parviflora,7293.5,12574,Tetramicra,SPECIES,T
Tetramicra schoenina,7293.6,12574,Tetramicra,SPECIES,T
Adenoncos parviflora,5424.3,12576,Adenoncos,SPECIES,T
Adenoncos vesiculosa,5424.5,12576,Adenoncos,SPECIES,T
Adenoncos javanica,5424.1,12576,Adenoncos,SPECIES,T
Satyrium acuminatum,7145.1,12578,Satyrium,SPECIES,T
Satyrium amblyosaccos,7145.25,12578,Satyrium,SPECIES,T
Satyrium amoenum,7145.255,12578,Satyrium,SPECIES,T
Satyrium bicallosum,7145.3,12578,Satyrium,SPECIES,T
Satyrium bicorne,7145.4,12578,Satyrium,SPECIES,T
Satyrium bracteatum,7145.6,12578,Satyrium,SPECIES,T
Satyrium breve,7145.63,12578,Satyrium,SPECIES,T
Satyrium buchananii,7145.65,12578,Satyrium,SPECIES,T
Satyrium chlorocorys,7145.83,12578,Satyrium,SPECIES,T
Satyrium coriifolium,7145.9,12578,Satyrium,SPECIES,T
Satyrium crassicaule,7146.05,12578,Satyrium,SPECIES,T
Satyrium cristatum,7146.1,12578,Satyrium,SPECIES,T
Satyrium erectum,7146.3,12578,Satyrium,SPECIES,T
