IsCurrent?,Taxonomy,LawID,SpcRecID,DecLevel,Kingdom,ISO_country,DecOpinion,DecDate,Source,Term,DecNotes,Internal_Notes
1,CITES_EU,8,364,Species,Animalia,AU,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,AE,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,NC,i),28/05/2013,,,,EU Overseas territory.
1,CITES_EU,8,364,Species,Animalia,MG,i),23/02/2012,,,,
1,CITES_EU,8,364,Species,Animalia,ID,i),28/05/2013,,,,
1,CITES_EU,8,364,Species,Animalia,FJ,i),28/05/2013,,,,
0,CITES_EU,8,364,Species,Animalia,ZA,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,364,Species,Animalia,WS,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,364,Species,Animalia,VU,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,364,Species,Animalia,VN,Positive,22/07/1997,,,,"Published for ""All countries"""
