IsCurrent?,Taxonomy,LawID,SpcRecID,DecLevel,Kingdom,ISO_country,DecOpinion,DecDate,Source,Term,DecNotes,Internal_Notes
0,CITES_EU,124,14,Family,Plantae,MG,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,14,Family,Plantae,MG,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,14,Family,Plantae,MG,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,14,Family,Plantae,MG,Suspension (b),03/09/2008,W,,,
1,CITES_EU,141,14,Family,Plantae,MZ,Suspension (b),11/07/2013,W,,,
0,CITES_EU,101,17,Genus,Animalia,TO,Suspension (b),03/09/2008,W,,,
1,CITES_EU,8,35,Family,Plantae,VN,i),07/02/2013,,,Comes into effect upon removal from the Suspensions Regulation,
1,CITES_EU,8,35,Family,Plantae,MG,i),02/12/2011,,,,Effective on 10/09/2012 when EC Regulation 9757/2012 came into force
0,CITES_EU,8,35,Family,Plantae,VN,Negative,18/12/2006,,,,
0,CITES_EU,8,35,Family,Plantae,MZ,Negative,18/12/2006,,,,
0,CITES_EU,8,35,Family,Plantae,MG,Negative,18/12/2006,,,,
0,CITES_EU,124,35,Family,Plantae,VN,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,35,Family,Plantae,VN,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,35,Family,Plantae,VN,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,35,Family,Plantae,VN,Suspension (b),03/09/2008,W,,,
0,CITES_EU,103,35,Family,Plantae,VN,Suspension (b),10/09/2012,W,,,
0,CITES_EU,124,35,Family,Plantae,MZ,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,35,Family,Plantae,MZ,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,35,Family,Plantae,MZ,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,35,Family,Plantae,MZ,Suspension (b),03/09/2008,W,,,
0,CITES_EU,103,35,Family,Plantae,MZ,Suspension (b),10/09/2012,W,,,
0,CITES_EU,124,35,Family,Plantae,MG,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,35,Family,Plantae,MG,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,35,Family,Plantae,MG,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,35,Family,Plantae,MG,Suspension (b),03/09/2008,W,,,
1,CITES_EU,141,35,Family,Plantae,MZ,Suspension (b),11/07/2013,W,,,
0,CITES_EU,8,54,Species,Animalia,TO,Negative,20/02/2007,W,,Occurrence in Tonga is unconfirmed,
0,CITES_EU,101,54,Species,Animalia,TO,Suspension (b),03/09/2008,W,,Occurrence in Tonga is unconfirmed,
0,CITES_EU,8,55,Species,Animalia,TO,Negative,20/02/2007,W,,Occurrence in Tonga is unconfirmed,
0,CITES_EU,8,55,Genus,Animalia,HT,Positive,13/06/2005,,,,
1,CITES_EU,8,55,Genus,Animalia,HT,Positive,12/06/2006,,,,
0,CITES_EU,101,55,Species,Animalia,TO,Suspension (b),03/09/2008,W,,Occurrence in Tonga is unconfirmed,
0,CITES_EU,8,56,Species,Animalia,TO,Negative,20/02/2007,W,,Occurrence in Tonga is unconfirmed,
0,CITES_EU,101,56,Species,Animalia,TO,Suspension (b),03/09/2008,W,,Occurrence in Tonga is unconfirmed,
1,CITES_EU,8,89,Species ,Animalia,UZ,No opinion,05/09/2002,,,,
1,CITES_EU,8,91,Species,Animalia,PG,i),16/02/2010,,,,Effective on 24/10/2010 when EC Regulation 997/2010 came into force
0,CITES_EU,67,91,Species,Animalia,PG,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,91,Species,Animalia,PG,Suspension (b),03/09/2008,W,,,
0,CITES_EU,63,91,Species,Animalia,PG,Suspension (b),01/10/2007,W,,,
0,CITES_EU,50,91,Species,Animalia,PG,Suspension (b),10/05/2006,W,,,
