Kingdom,RecId,Rank,ISO code,Quota,Unit,StartDate,EndDate,Year,Notes,Terms,Sources,QuoAdded,QuoDate,IsCurrent,PublicDisplay,Link
Animalia,4438,Species,TZ,1000,,01/01/1997,31/12/1997,1997,Quota originally established for Chamaeleo bitaeniatus which was subject to a taxonomic change at CITES CoP16.,,,09/05/1999,,0,1,
Animalia,22115,Species,ID,2700,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22114,Species,ID,270,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22075,Species,SN,3000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22071,Species,MZ,11000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,4880,Genus,ID,70650,,01/01/1997,31/12/1997,1997,pieces,"LIV, COR",,09/05/1999,,0,1,
Animalia,4880,Genus,ID,9000,,01/01/1997,31/12/1997,1997,pieces - was quota for Wellsophyllia spp.,"LIV, COR",,09/05/1999,,0,1,
Animalia,21651,Species,RU,20000,,01/01/1997,31/12/1997,1997,re-export; origin Uzbekistan,,,09/05/1999,,0,1,
Animalia,4766,Genus,US,0,,01/01/1997,31/12/1997,1997,for wild-taken specimens,,W,09/05/1999,,0,1,
Animalia,21552,Species,PE,44300,,01/01/1997,31/12/1997,1997,tanned skins,SKI,,09/05/1999,,0,1,
Animalia,14005,Species,MZ,500,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,21542,Species,TZ,200,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,21539,Species,TZ,300,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,21538,Species,TZ,0,,01/01/1997,31/12/1997,1997,see Notification No. 898,,,09/05/1999,,0,1,
Animalia,21536,Species,MZ,100,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,4670,Genus,ID,900,,01/01/1997,31/12/1997,1997,pieces,"LIV, COR",,09/05/1999,,0,1,
Plantae,49570,Species,NI,16000,,01/01/1997,31/12/1997,1997,CITES notification 1994,,,,,0,1,
Animalia,4642,Genus,ID,450,,01/01/1997,31/12/1997,1997,pieces,"LIV, COR",,09/05/1999,,0,1,
Animalia,20913,Species,BS,204115,KIL,01/01/1997,31/12/1997,1997,"(450,000 lbs) for the period 1997/98",,,09/05/1999,,0,1,
Animalia,20913,Species,CO,285000,KIL,01/01/1997,31/12/1997,1997,Meat,MEA,,09/05/1999,,0,1,
Animalia,20913,Species,TC,453590,KIL,01/01/1997,31/12/1997,1997,ranched conch; (1 000 000 lbs) meat,MEA,R,09/05/1999,,0,1,
Animalia,20913,Species,TC,22679,KIL,01/01/1997,31/12/1997,1997,ranched conch; (50 000 lbs) live,LIV,R,09/05/1999,,0,1,
Animalia,20913,Species,TC,22679,KIL,01/01/1997,31/12/1997,1997,ranched conch; (50 000 lbs) shells,SHE,R,09/05/1999,,0,1,
Animalia,20913,Species,TC,272154,KIL,01/01/1997,31/12/1997,1997,ranched conch; (600 000 lbs) trimmings,MEA,R,09/05/1999,,0,1,
