Scientific name,ID,Parent name,ParentID
Giraffa camelopardalis,98186,Giraffa,98185
Calotes nigrilabris,98190,Calotes,98189
Calotes pethiyagodai,98191,Calotes,98189
Ceratophora aspera,98192,Ceratophora,2282
Ceratophora erdeleni,98193,Ceratophora,2282
Ceratophora karu,98194,Ceratophora,2282
Ceratophora stoddartii,98195,Ceratophora,2282
Ceratophora tennentii,98196,Ceratophora,2282
Cophotis ceylanica,98198,Cophotis,98197
Cophotis dumbara,98199,Cophotis,98197
Lyriocephalus scutatus,98201,Lyriocephalus,98200
Goniurosaurus araneus,98215,Goniurosaurus,98203
Goniurosaurus bawanglingensis,98204,Goniurosaurus,98203
Goniurosaurus catbaensis,98212,Goniurosaurus,98203
Goniurosaurus hainanensis,98205,Goniurosaurus,98203
Goniurosaurus huuliensis,98213,Goniurosaurus,98203
Goniurosaurus kadoorieorum,98206,Goniurosaurus,98203
Goniurosaurus kwangsiensis,98207,Goniurosaurus,98203
Goniurosaurus liboensis,98208,Goniurosaurus,98203
Goniurosaurus lichtenfelderi,98214,Goniurosaurus,98203
Goniurosaurus luii,98216,Goniurosaurus,98203
Goniurosaurus yingdeensis,98209,Goniurosaurus,98203
Goniurosaurus zhelongi,98210,Goniurosaurus,98203
Goniurosaurus zhoui,98211,Goniurosaurus,98203
Gekko gecko,98217,Gekko,67335
Gonatodes daudini,98331,Gonatodes,98330
Paroedura androyensis,98218,Paroedura,68010
Ctenosaura acanthura,98219,Ctenosaura,2303
Ctenosaura alfredschmidti,98220,Ctenosaura,2303
Ctenosaura clarki,98222,Ctenosaura,2303
Ctenosaura conspicuosa,98221,Ctenosaura,2303
Ctenosaura defensor,98223,Ctenosaura,2303
Ctenosaura flavidorsalis,98224,Ctenosaura,2303
Ctenosaura hemilopha,98225,Ctenosaura,2303
Ctenosaura macrolopha,98226,Ctenosaura,2303
Ctenosaura nolascensis,98227,Ctenosaura,2303
Ctenosaura oaxacana,98228,Ctenosaura,2303
Ctenosaura pectinata,98229,Ctenosaura,2303
Ctenosaura praeocularis,98230,Ctenosaura,2303
Ctenosaura similis,98231,Ctenosaura,2303
Pseudocerastes urarachnoides,98233,Pseudocerastes,98232
Echinotriton chinhaiensis,98234,Echinotriton,2295
Echinotriton maxiquadratus,98235,Echinotriton,2295
Paramesotriton aurantius,98236,Paramesotriton,2624
Tylototriton anhuiensis,98237,Tylototriton,793
Tylototriton himalayanus,98240,Tylototriton,793
Tylototriton ngarsuensis,98241,Tylototriton,793
Tylototriton podichthys,98239,Tylototriton,793
Tylototriton pulcherrimus,98238,Tylototriton,793
Isurus oxyrinchus,98243,Isurus,98242
Isurus paucus,98244,Isurus,98242
Glaucostegus cemiculus,98329,Glaucostegus,98247
Glaucostegus granulatus,98249,Glaucostegus,98247
Glaucostegus halavi,98250,Glaucostegus,98247
Glaucostegus obtusus,98251,Glaucostegus,98247
Glaucostegus thouin,98252,Glaucostegus,98247
Glaucostegus typus,98253,Glaucostegus,98247
Rhina ancylostoma,98265,Rhina,98264
Rhynchobatus australiae,98256,Rhynchobatus,98255
Rhynchobatus cooki,98263,Rhynchobatus,98255
Rhynchobatus djiddensis,98257,Rhynchobatus,98255
Rhynchobatus immaculatus,98258,Rhynchobatus,98255
Rhynchobatus laevis,98259,Rhynchobatus,98255
Rhynchobatus luebberti,98260,Rhynchobatus,98255
Rhynchobatus palpebratus,98261,Rhynchobatus,98255
Rhynchobatus springeri,98262,Rhynchobatus,98255
Rhynchorhina mauritaniensis,98267,Rhynchorhina,98266
Holothuria fuscogilva,98281,Holothuria,98280
Holothuria nobilis,98282,Holothuria,98280
Holothuria whitmaei,98283,Holothuria,98280
Poecilotheria chaojii,98289,Poecilotheria,67073
Poecilotheria fasciata,67634,Poecilotheria,67073
Poecilotheria formosa,67497,Poecilotheria,67073
Poecilotheria hanumavilasumica,98290,Poecilotheria,67073
Poecilotheria metallica,67083,Poecilotheria,67073
Poecilotheria miranda,67303,Poecilotheria,67073
Poecilotheria ornata,67161,Poecilotheria,67073
Poecilotheria pederseni,67436,Poecilotheria,67073
Poecilotheria rajaei,98291,Poecilotheria,67073
Poecilotheria regalis,67424,Poecilotheria,67073
Poecilotheria rufilata,67237,Poecilotheria,67073
Poecilotheria smithi,67441,Poecilotheria,67073
Poecilotheria striata,67502,Poecilotheria,67073
Poecilotheria subfusca,98292,Poecilotheria,67073
Poecilotheria tigrinawesseli,98293,Poecilotheria,67073
Poecilotheria uniformis,67572,Poecilotheria,67073
Poecilotheria vittata,98294,Poecilotheria,67073
Achillides chikae hermeli,98270,Achillides chikae,98269
Parides burchellanus,98271,Parides,1512
Widdringtonia whytei,98273,Widdringtonia,98272
Pterocarpus tinctorius,98274,Pterocarpus,13162
Cedrela angustifolia,98301,Cedrela,13009
Cedrela balansae,98302,Cedrela,13009
Cedrela discolor,98303,Cedrela,13009
Cedrela dugesii,98304,Cedrela,13009
Cedrela kuelapensis,98305,Cedrela,13009
Cedrela longipetiolulata,98306,Cedrela,13009
Cedrela molinensis,98307,Cedrela,13009
Cedrela monroensis,98308,Cedrela,13009
Cedrela nebulosa,98309,Cedrela,13009
Cedrela saltensis,98310,Cedrela,13009
Cedrela weberbaueri,98311,Cedrela,13009
