"taxon_concept_id","Rank","GEO_entity","ISO Code 2","Reference IDs","Designation"
98243,"SPECIES","COUNTRY","AL",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","DZ",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","AS",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","AO",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","AI",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","AG",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","AR",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","AW",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","AU",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BS",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BD",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BB",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BE",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BZ",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BJ",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","BQ",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BA",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BR",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","IO",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","VG",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","BN",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CV",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","KH",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CM",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","KY",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CL",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CN",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","CX",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","CP",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CO",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","KM",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CG",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CK",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CR",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CI",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","HR",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CU",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","CW",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CY",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","KP",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","CD",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","DJ",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","DM",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","DO",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","TL",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","EC",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","EG",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","SV",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GQ",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","ER",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","FJ",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","FR",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","GF",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","PF",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GA",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GM",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GH",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","GI",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GR",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GD",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","GP",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","GU",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GT",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GN",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GW",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","GY",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","HT",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","HN",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","HK",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","IN",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","ID",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","IR",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","IE",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","IL",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","IT",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","JM",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","JP",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","JE",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","JO",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","KE",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","KI",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","LB",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","LR",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","LY",14131,"CITES_EU"
98243,"SPECIES","TERRITORY","MO",14131,"CITES_EU"
98243,"SPECIES","COUNTRY","MG",14131,"CITES_EU"
