Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation
alainii,SPECIES,,GENUS,65403,A,"(Dod) A.Doucette, 2016",,CITES_EU
albiflora,SPECIES,,GENUS,65403,A,"(Barb.Rodr.) Karremans, 2016",,CITES_EU
appendiculata,SPECIES,,GENUS,65403,A,"(Cogn.) A.Doucette, 2016",,CITES_EU
atrata,SPECIES,,GENUS,65403,A," Chiron & Xim.Bols., 2016",,CITES_EU
bahorucensis,SPECIES,,GENUS,65403,A,"(Luer) A.Doucette, 2016",,CITES_EU
barthelemyi,SPECIES,,GENUS,65403,A,"(Luer) Karremans, 2016",,CITES_EU
beyrodtiana,SPECIES,,GENUS,65403,A,"(Kraenzl.) Karremans, 2016",,CITES_EU
brunnescens,SPECIES,,GENUS,65403,A,"(Schltr.) Karremans, 2016",,CITES_EU
cachensis,SPECIES,,GENUS,65403,A,"(Ames) Karremans, 2016",,CITES_EU
caymanensis,SPECIES,,GENUS,65403,A,"(C.D.Adams) Karremans, 2016",,CITES_EU
costaricensis,SPECIES,,GENUS,65403,A,"(Schltr.) Pupulin & Karremans, 2016",,CITES_EU
denticulata,SPECIES,,GENUS,65403,A,"(Cogn.) Karremans, 2016",,CITES_EU
echinocarpa,SPECIES,,GENUS,65403,A,"(C.Schweinf.) A.Doucette, 2016",,CITES_EU
erinacea,SPECIES,,GENUS,65403,A,"(Rchb.f.) A.Doucette, 2016",,CITES_EU
hintonii,SPECIES,,GENUS,65403,A,"(L.O.Williams) A.Doucette, 2016",,CITES_EU
lappago,SPECIES,,GENUS,65403,A,"(Luer) A.Doucette, 2016",,CITES_EU
laxa,SPECIES,,GENUS,65403,A,"(Sw.) A.Doucette, 2016",,CITES_EU
minuta,SPECIES,,GENUS,65403,A,"(Rolfe) Karremans, 2016",,CITES_EU
nellyae,SPECIES,,GENUS,65403,A,"(P.Ortiz) Karremans, 2016",,CITES_EU
nikoleae,SPECIES,,GENUS,65403,A," A.Doucette & J.Portilla, 2016",,CITES_EU
oricola,SPECIES,,GENUS,65403,A,"(H.Stenzel) Karremans, Chiron & Van den Berg, 2016",,CITES_EU
paradoxa,SPECIES,,GENUS,65403,A,"(Luer & Dalström) Karremans, 2016",,CITES_EU
pendens,SPECIES,,GENUS,65403,A,"(Dod) A.Doucette, 2016",,CITES_EU
phrynoglossa,SPECIES,,GENUS,65403,A,"(Luer & Hirtz) A.Doucette, 2016",,CITES_EU
privigna,SPECIES,,GENUS,65403,A,"(Luer) A.Doucette, 2016",,CITES_EU
prostrata,SPECIES,,GENUS,65403,A,"(Lindl.) A.Doucette, 2016",,CITES_EU
