TAXON_FAMILY,TERM_CODE
Dioscoreaceae,DPL
Dioscoreaceae,SEE
Dioscoreaceae,ROO
Droseraceae,DPL
Droseraceae,SEE
Droseraceae,ROO
Elapidae,BEL
Elapidae,WAL
Elapidae,SHO
Elapidae,WAT
Elapidae,HAN
Elapidae,SKO
Elapidae,LPS
Elapidae,LPL
Elapidae,SKI
Elephantidae,BOP
Elephantidae,IVS
Elephantidae,IVP
Elephantidae,TUS
Elephantidae,IVC
Elephantidae,TAI
Elephantidae,LPL
Emberizidae,BOD
Emydidae,CAP
Equidae,TRO
Ericaceae,DPL
Ericaceae,SEE
Ericaceae,ROO
Eschrichtidae,CAR
Estrildidae,FEA
Estrildidae,BOD
Euphorbiaceae,EXT
Euphorbiaceae,DPL
Euphorbiaceae,STE
Euphorbiaceae,SEE
Euphorbiaceae,ROO
Fagaceae,DPL
Fagaceae,SEE
Fagaceae,ROO
Falconidae,SKE
Falconidae,SKI
Falconidae,EGG
Falconidae,FEA
Falconidae,BOD
Faviidae,COR
Faviidae,CAR
Felidae,LPS
Felidae,LPL
Felidae,SKO
Felidae,HAI
Felidae,TEE
Felidae,CLA
Felidae,BON
Felidae,SKE
Felidae,PLA
Felidae,SKS
Felidae,TAI
Felidae,BOD
Felidae,SKU
Felidae,TRO
Felidae,GAR
Felidae,SKI
Felidae,SKP
Flabellidae,COR
Flabellidae,CAR
Fouquieriaceae,DPL
Fouquieriaceae,SEE
Fouquieriaceae,ROO
Fregatidae,BOD
Fringillidae,BOD
Fungiacyathidae,COR
Fungiacyathidae,CAR
Fungiidae,COR
Fungiidae,CAR
Galagidae,SKE
Galagidae,BON
Galaxeidae,COR
Galaxeidae,CAR
Gekkonidae,BOD
Gentianaceae,DPL
Gentianaceae,SEE
Gentianaceae,ROO
Gnetaceae,DPL
Gnetaceae,SEE
Gnetaceae,ROO
Gruidae,SKE
Gruidae,FEA
Gruidae,BOD
Gruidae,EGG
Guyniidae,COR
Guyniidae,CAR
Haemodoraceae,DPL
Haemodoraceae,SEE
Haemodoraceae,ROO
Helioporidae,COR
Helioporidae,CAR
Hirundinidae,BOD
Hominidae,SKU
Hominidae,SKE
Hominidae,BON
Humiriaceae,DPL
Humiriaceae,SEE
Humiriaceae,ROO
Hylobatidae,SKE
Hylobatidae,BON
Hystricidae,SKI
Icteridae,BOD
Indriidae,SKE
Indriidae,BON
Juglandaceae,DPL
Juglandaceae,SEE
Juglandaceae,ROO
Laridae,BOD
Leguminosae,DPL
Leguminosae,SEE
Leguminosae,ROO
Lemuridae,SKE
Lemuridae,BON
Liliaceae,DPL
Liliaceae,EXT
Liliaceae,LVS
Liliaceae,TIP
Liliaceae,SEE
Liliaceae,ROO
Lorisidae,SKE
Lorisidae,BON
Loxocemidae,SKP
Loxocemidae,SKI
Loxocemidae,HAN
Loxocemidae,SKO
Loxocemidae,WAL
Loxocemidae,BEL
Loxocemidae,LPL
Loxocemidae,LPS
Loxocemidae,WAT
Loxocemidae,MEA
Loxocemidae,BOD
