ComName,LangShort,RecId,Rank,Designation,ReferenceID
蓝腰鹦鹉,ZHO,8947,SPECIES,CITES_EU,
蓝腹鹇,ZHO,10320,SPECIES,CITES_EU,
藏雪鸡,ZHO,8463,SPECIES,CITES_EU,
虎头海雕,ZHO,3259,SPECIES,CITES_EU,
蛇雕,ZHO,9540,SPECIES,CITES_EU,
血雉,ZHO,4510,SPECIES,CITES_EU,
褐冠鹃隼,ZHO,10610,SPECIES,CITES_EU,
褐林鸮,ZHO,6786,SPECIES,CITES_EU,
褐渔鸮,ZHO,8024,SPECIES,CITES_EU,
褐耳鹰,ZHO,7653,SPECIES,CITES_EU,
褐马鸡,ZHO,7364,SPECIES,CITES_EU,
西红脚隼,ZHO,9091,SPECIES,CITES_EU,
西红角鸮,ZHO,6889,SPECIES,CITES_EU,
赤腹鹰,ZHO,7993,SPECIES,CITES_EU,
赤颈鹤,ZHO,5313,SPECIES,CITES_EU,
遗鸥,ZHO,9314,SPECIES,CITES_EU,
金雕,ZHO,6150,SPECIES,CITES_EU,
银耳相思鸟,ZHO,3688,SPECIES,CITES_EU,
长嘴兀鹫,ZHO,4036,SPECIES,CITES_EU,
长尾林鸮,ZHO,9642,SPECIES,CITES_EU,
长耳鸮,ZHO,8780,SPECIES,CITES_EU,
雀鹰,ZHO,5629,SPECIES,CITES_EU,
雕鸮,ZHO,8568,SPECIES,CITES_EU,
青头鹦鹉,ZHO,10595,SPECIES,CITES_EU,
靴隼雕,ZHO,5101,SPECIES,CITES_EU,
领鸺鹠,ZHO,4734,SPECIES,CITES_EU,
高山兀鹫,ZHO,11102,SPECIES,CITES_EU,
鬼鸮,ZHO,3885,SPECIES,CITES_EU,
鹃头蜂鹰,ZHO,4341,SPECIES,CITES_EU,
鹊鹞,ZHO,10501,SPECIES,CITES_EU,
鹗,ZHO,10360,SPECIES,CITES_EU,
鹩哥,ZHO,8171,SPECIES,CITES_EU,
鹰雕,ZHO,3022,SPECIES,CITES_EU,
鹰鸮,ZHO,9044,SPECIES,CITES_EU,
黄嘴角鸮,ZHO,9771,SPECIES,CITES_EU,
黄爪隼,ZHO,6328,SPECIES,CITES_EU,
黄腹角雉,ZHO,4647,SPECIES,CITES_EU,
黄腿渔鸮,ZHO,10780,SPECIES,CITES_EU,
黑兀鹫,ZHO,7294,SPECIES,CITES_EU,
黑冠鹃隼,ZHO,6011,SPECIES,CITES_EU,
黑头角雉,ZHO,8927,SPECIES,CITES_EU,
黑翅鸢,ZHO,5760,SPECIES,CITES_EU,
黑长尾雉,ZHO,6085,SPECIES,CITES_EU,
黑颈长尾雉,ZHO,3223,SPECIES,CITES_EU,
黑颈鹤,ZHO,8211,SPECIES,CITES_EU,
黑鸢,ZHO,9813,SPECIES,CITES_EU,
黑鹳,ZHO,5581,SPECIES,CITES_EU,
黒鹇,ZHO,3839,SPECIES,CITES_EU,
