taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
14240,SPECIES,COUNTRY,BN,18813,CITES_EU
23279,SPECIES,COUNTRY,PG,18813,CITES_EU
25615,SPECIES,COUNTRY,PG,18813,CITES_EU
25615,SPECIES,COUNTRY,SB,18813,CITES_EU
25615,SPECIES,COUNTRY,VU,18813,CITES_EU
15976,SPECIES,COUNTRY,MY,18813,CITES_EU
14365,SPECIES,COUNTRY,VN,18813,CITES_EU
23537,SPECIES,COUNTRY,MY,18813,CITES_EU
25031,SPECIES,COUNTRY,MY,18813,CITES_EU
20807,SPECIES,COUNTRY,PG,18813,CITES_EU
23128,SPECIES,COUNTRY,PG,18813,CITES_EU
25663,SPECIES,COUNTRY,MY,18813,CITES_EU
28121,SPECIES,COUNTRY,PG,18813,CITES_EU
21593,SPECIES,COUNTRY,MY,18813,CITES_EU
13771,SPECIES,COUNTRY,PG,18813,CITES_EU
24656,SPECIES,COUNTRY,PG,18813,CITES_EU
23981,SPECIES,COUNTRY,PG,18813,CITES_EU
29453,SPECIES,COUNTRY,MY,18813,CITES_EU
29401,SPECIES,COUNTRY,MY,18813,CITES_EU
19839,SPECIES,COUNTRY,LA,18813,CITES_EU
16513,SPECIES,COUNTRY,MY,18813,CITES_EU
14400,SPECIES,COUNTRY,PG,18813,CITES_EU
15733,SPECIES,COUNTRY,PG,18813,CITES_EU
17447,SPECIES,COUNTRY,PG,18813,CITES_EU
29185,SPECIES,COUNTRY,MY,18813,CITES_EU
29265,SPECIES,COUNTRY,MY,18813,CITES_EU
22220,SPECIES,COUNTRY,MY,18813,CITES_EU
23868,SPECIES,COUNTRY,PG,18813,CITES_EU
28194,SPECIES,COUNTRY,PG,18813,CITES_EU
27197,SPECIES,COUNTRY,PG,18813,CITES_EU
17337,SPECIES,COUNTRY,MY,18813,CITES_EU
17337,SPECIES,COUNTRY,PG,18813,CITES_EU
25915,SPECIES,COUNTRY,PG,18813,CITES_EU
16090,SPECIES,TERRITORY,AS,18813,CITES_EU
22538,SPECIES,COUNTRY,MY,18813,CITES_EU
19307,SPECIES,COUNTRY,PG,18813,CITES_EU
20905,SPECIES,COUNTRY,MY,18813,CITES_EU
28018,SPECIES,COUNTRY,MM,18813,CITES_EU
28423,SPECIES,COUNTRY,PG,18813,CITES_EU
21310,SPECIES,COUNTRY,MY,18813,CITES_EU
23212,SPECIES,COUNTRY,BI,18813,CITES_EU
13754,SPECIES,COUNTRY,PG,18813,CITES_EU
26439,SPECIES,COUNTRY,PG,18813,CITES_EU
28675,SPECIES,COUNTRY,ID,18813,CITES_EU
28544,SPECIES,COUNTRY,PH,18813,CITES_EU
24116,SPECIES,COUNTRY,MM,18813,CITES_EU
19113,SPECIES,COUNTRY,CO,18813,CITES_EU
19113,SPECIES,COUNTRY,SR,18813,CITES_EU
28065,SPECIES,COUNTRY,PG,18813,CITES_EU
16909,SPECIES,COUNTRY,ST,18813,CITES_EU
15473,SPECIES,COUNTRY,PG,18813,CITES_EU
19240,SPECIES,COUNTRY,PG,18813,CITES_EU
15678,SPECIES,COUNTRY,PG,18813,CITES_EU
21148,SPECIES,COUNTRY,PG,18813,CITES_EU
28111,SPECIES,COUNTRY,PG,18813,CITES_EU
19647,SPECIES,COUNTRY,MY,18813,CITES_EU
26248,SPECIES,COUNTRY,PG,18813,CITES_EU
20038,SPECIES,COUNTRY,PG,18813,CITES_EU
28271,SPECIES,COUNTRY,LA,18813,CITES_EU
28271,SPECIES,COUNTRY,MM,18813,CITES_EU
28271,SPECIES,COUNTRY,VN,18813,CITES_EU
29460,SPECIES,COUNTRY,PG,18813,CITES_EU
18005,SPECIES,COUNTRY,PG,18813,CITES_EU
23243,SPECIES,COUNTRY,FM,18813,CITES_EU
22759,SPECIES,COUNTRY,PG,18813,CITES_EU
17604,SPECIES,COUNTRY,PG,18813,CITES_EU
15365,SPECIES,COUNTRY,PG,18813,CITES_EU
16236,SPECIES,COUNTRY,PG,18813,CITES_EU
22096,SPECIES,COUNTRY,PG,18813,CITES_EU
27492,SPECIES,COUNTRY,PG,18813,CITES_EU
23446,SPECIES,COUNTRY,PG,18813,CITES_EU
15972,SPECIES,COUNTRY,MY,18813,CITES_EU
17677,SPECIES,COUNTRY,PG,18813,CITES_EU
23188,SPECIES,COUNTRY,PG,18813,CITES_EU
25445,SPECIES,COUNTRY,PG,18813,CITES_EU
26658,SPECIES,COUNTRY,MY,18813,CITES_EU
17066,SPECIES,COUNTRY,PG,18813,CITES_EU
27848,SPECIES,COUNTRY,MY,18813,CITES_EU
17728,SPECIES,COUNTRY,PG,18813,CITES_EU
23619,SPECIES,COUNTRY,MY,18813,CITES_EU
21859,SPECIES,TERRITORY,MP,18813,CITES_EU
26069,SPECIES,TERRITORY,NU,18813,CITES_EU
26069,SPECIES,COUNTRY,SB,18813,CITES_EU
23951,SPECIES,COUNTRY,FM,18813,CITES_EU
23051,SPECIES,COUNTRY,MY,18813,CITES_EU
21216,SPECIES,COUNTRY,PG,18813,CITES_EU
24674,SPECIES,COUNTRY,PG,18813,CITES_EU
26306,SPECIES,COUNTRY,MY,18813,CITES_EU
26306,SPECIES,COUNTRY,LA,18813,CITES_EU
23715,SPECIES,COUNTRY,MY,18813,CITES_EU
15369,SPECIES,COUNTRY,PG,18813,CITES_EU
29602,SPECIES,COUNTRY,PG,18813,CITES_EU
28528,SPECIES,COUNTRY,PG,18813,CITES_EU
28712,SPECIES,COUNTRY,BO,18813,CITES_EU
29603,SPECIES,COUNTRY,PG,18813,CITES_EU
13795,SPECIES,COUNTRY,KR,18813,CITES_EU
27511,SPECIES,COUNTRY,PG,18813,CITES_EU
16855,SPECIES,COUNTRY,BO,18813,CITES_EU
21006,SPECIES,COUNTRY,MY,18813,CITES_EU
23449,SPECIES,COUNTRY,BN,18813,CITES_EU
23449,SPECIES,COUNTRY,MY,18813,CITES_EU
27178,SPECIES,COUNTRY,PG,18813,CITES_EU
15614,SPECIES,COUNTRY,MY,18813,CITES_EU
20398,SPECIES,COUNTRY,PG,18813,CITES_EU
20398,SPECIES,COUNTRY,SB,18813,CITES_EU
26141,SPECIES,COUNTRY,FM,18813,CITES_EU
16563,SPECIES,COUNTRY,MY,18813,CITES_EU
20411,SPECIES,COUNTRY,MY,18813,CITES_EU
15331,SPECIES,COUNTRY,PG,18813,CITES_EU
22378,SPECIES,COUNTRY,PG,18813,CITES_EU
16184,SPECIES,COUNTRY,PG,18813,CITES_EU
29062,SPECIES,COUNTRY,PG,18813,CITES_EU
29521,SPECIES,COUNTRY,MY,18813,CITES_EU
28407,SPECIES,COUNTRY,SB,18813,CITES_EU
20347,SPECIES,COUNTRY,MY,18813,CITES_EU
22891,SPECIES,COUNTRY,MY,18813,CITES_EU
27339,SPECIES,COUNTRY,PG,18813,CITES_EU
27111,SPECIES,COUNTRY,PG,18813,CITES_EU
25446,SPECIES,COUNTRY,PG,18813,CITES_EU
28252,SPECIES,COUNTRY,MY,18813,CITES_EU
25646,SPECIES,COUNTRY,ID,18813,CITES_EU
25646,SPECIES,COUNTRY,PG,18813,CITES_EU
28935,SPECIES,COUNTRY,PG,18813,CITES_EU
25590,SPECIES,COUNTRY,MY,18813,CITES_EU
20252,SPECIES,COUNTRY,ST,18813,CITES_EU
21142,SPECIES,COUNTRY,MM,18813,CITES_EU
21142,SPECIES,COUNTRY,KH,18813,CITES_EU
21142,SPECIES,COUNTRY,IN,18813,CITES_EU
21142,SPECIES,COUNTRY,PH,18813,CITES_EU
21142,SPECIES,COUNTRY,MY,18813,CITES_EU
21142,SPECIES,COUNTRY,TH,18813,CITES_EU
21142,SPECIES,COUNTRY,ID,18813,CITES_EU
21142,SPECIES,COUNTRY,BD,18813,CITES_EU
27155,SPECIES,COUNTRY,MY,18813,CITES_EU
16506,SPECIES,COUNTRY,MY,18813,CITES_EU
27344,SPECIES,COUNTRY,LA,18813,CITES_EU
25055,SPECIES,TERRITORY,AS,18813,CITES_EU
25055,SPECIES,COUNTRY,MY,18813,CITES_EU
25055,SPECIES,TERRITORY,MP,18813,CITES_EU
19130,SPECIES,COUNTRY,MY,18813,CITES_EU
16336,SPECIES,COUNTRY,PG,18813,CITES_EU
24486,SPECIES,TERRITORY,MP,18813,CITES_EU
24486,SPECIES,COUNTRY,US,18813,CITES_EU
15029,SPECIES,COUNTRY,PG,18813,CITES_EU
28481,SPECIES,COUNTRY,PG,18813,CITES_EU
26365,SPECIES,COUNTRY,MY,18813,CITES_EU
14852,SPECIES,COUNTRY,PG,18813,CITES_EU
25354,SPECIES,COUNTRY,SG,18813,CITES_EU
28945,SPECIES,COUNTRY,BN,18813,CITES_EU
16301,SPECIES,COUNTRY,MY,18813,CITES_EU
23595,SPECIES,COUNTRY,PG,18813,CITES_EU
20484,SPECIES,COUNTRY,PG,18813,CITES_EU
17686,SPECIES,COUNTRY,MY,18813,CITES_EU
20141,SPECIES,COUNTRY,BN,18813,CITES_EU
20141,SPECIES,COUNTRY,MY,18813,CITES_EU
25299,SPECIES,COUNTRY,MY,18813,CITES_EU
16284,SPECIES,COUNTRY,MY,18813,CITES_EU
16284,SPECIES,COUNTRY,PG,18813,CITES_EU
25175,SPECIES,COUNTRY,PG,18813,CITES_EU
25985,SPECIES,COUNTRY,GQ,18813,CITES_EU
28174,SPECIES,COUNTRY,MY,18813,CITES_EU
28174,SPECIES,COUNTRY,BN,18813,CITES_EU
28174,SPECIES,COUNTRY,SG,18813,CITES_EU
17806,SPECIES,COUNTRY,PG,18813,CITES_EU
17923,SPECIES,TERRITORY,AS,18813,CITES_EU
17923,SPECIES,COUNTRY,FM,18813,CITES_EU
15797,SPECIES,COUNTRY,BN,18813,CITES_EU
28847,SPECIES,COUNTRY,PG,18813,CITES_EU
28052,SPECIES,COUNTRY,PG,18813,CITES_EU
25850,SPECIES,COUNTRY,FM,18813,CITES_EU
24499,SPECIES,COUNTRY,MY,18813,CITES_EU
16068,SPECIES,COUNTRY,AU,18813,CITES_EU
28047,SPECIES,COUNTRY,MY,18813,CITES_EU
29331,SPECIES,COUNTRY,BN,18813,CITES_EU
29331,SPECIES,COUNTRY,MY,18813,CITES_EU
29331,SPECIES,COUNTRY,LA,18813,CITES_EU
23065,SPECIES,COUNTRY,BN,18813,CITES_EU
23065,SPECIES,COUNTRY,MY,18813,CITES_EU
26781,SPECIES,COUNTRY,PG,18813,CITES_EU
29509,SPECIES,COUNTRY,AR,18813,CITES_EU
19953,SPECIES,COUNTRY,MY,18813,CITES_EU
20113,SPECIES,COUNTRY,PG,18813,CITES_EU
13958,SPECIES,COUNTRY,LA,18813,CITES_EU
20207,SPECIES,COUNTRY,LA,18813,CITES_EU
20207,SPECIES,COUNTRY,VN,18813,CITES_EU
25261,SPECIES,COUNTRY,MY,18813,CITES_EU
14167,SPECIES,COUNTRY,PG,18813,CITES_EU
22081,SPECIES,COUNTRY,BN,18813,CITES_EU
27652,SPECIES,COUNTRY,PG,18813,CITES_EU
14730,SPECIES,COUNTRY,BN,18813,CITES_EU
29194,SPECIES,TERRITORY,GF,18813,CITES_EU
29194,SPECIES,COUNTRY,NI,18813,CITES_EU
29194,SPECIES,COUNTRY,SR,18813,CITES_EU
29194,SPECIES,COUNTRY,US,18813,CITES_EU
16371,SPECIES,COUNTRY,PG,18813,CITES_EU
15118,SPECIES,COUNTRY,MY,18813,CITES_EU
28563,SPECIES,COUNTRY,ST,18813,CITES_EU
28563,SPECIES,COUNTRY,PG,18813,CITES_EU
21075,SPECIES,COUNTRY,KH,18813,CITES_EU
21075,SPECIES,COUNTRY,LA,18813,CITES_EU
