Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade
crassus,SPECIES,93738,29545,,Y
Crocodylia,ORDER,43,26173,,Y
crypticum,SPECIES,104136,27392,,Y
CUCULIDAE,Family,227,29654,,N
CUCULIFORMES,Order,44,29654,,N
cucullatum,SPECIES,4450,29661,,Y
damaranum,SPECIES,43436,28985,,Y
debelius,SPECIES,105240,29669,,Y
denise,SPECIES,79639,10384,,Y
dhongoka,SPECIES,10953,29662,,Y
DIOMEDEIDAE,Family,258,29654,,N
dorsivittata,SPECIES,105335,29357,,Y
DREPANIDIDAE,Family,267,29654,,N
DROMADIDAE,Family,871,29654,,N
duseni,SPECIES,28756,9270,,Y
ELASMOBRANCHII,CLASS,11,30001,,Y
EMBERIZIDAE,Family,283,29654,,N
endroedyi,SPECIES,105246,28998,,Y
ESTRILDIDAE,Family,301,29654,,N
excubitor,SPECIES,104127,27454,,Y
FALCONIDAE,Family,310,29654,,N
FALCONIFORMES,Order,59,29654,,N
finiavana,SPECIES,105460,29543,,Y
fischeri,SPECIES,105222,27454,,Y
flavius,SPECIES,103905,27157,,Y
fluviatilis,SPECIES,20422,28999,,Y
fredparkeri,SPECIES,105348,28539,,Y
FREGATIDAE,Family,317,29654,,N
FRINGILLIDAE,Family,318,29654,,N
Furcifer,GENUS,1799,5047,"SPECIES:74031,SPECIES:105326",Y
GALLIFORMES,Order,61,29654,,N
gangetica,SPECIES,17488,29652,,Y
gangetica,SPECIES,27923,29676,,Y
GAVIIDAE,Family,330,29654,,N
GAVIIFORMES,Order,63,29654,,N
GEKKONIDAE,Family,332,25976,,N
GERRHOSAURIDAE,Family,2603,25976,,N
giganteus,SPECIES,104123,27390,,Y
GLAREOLIDAE,Family,340,29654,,N
glawi,SPECIES,41958,5079,,Y
glawi,SPECIES,41958,5079,,Y
goffiniana,SPECIES,3426,29659,,Y
gouldi,SPECIES,105459,29542,,Y
grandiceps,SPECIES,73240,7744,,Y
griseipectus,SPECIES,44470,25283,,Y
GRUIDAE,Family,349,29654,,N
GRUIFORMES,Order,65,29654,,N
guanicoe,SPECIES,11186,2806,,Y
guianensis,SPECIES,28657,28999,,Y
gutturale,SPECIES,43437,28985,,Y
haematodus,SPECIES,22115,29655,,Y
HAEMATOPODIDAE,Family,357,29654,,N
hafahafa,SPECIES,104137,27392,,Y
hanangensis,SPECIES,105331,29354,,Y
hastata,SPECIES,78907,29658,,Y
heinsohni,SPECIES,99482,25241,,Y
HELODERMATIDAE,Family,369,25976,,N
hendersoni,SPECIES,77985,25596,,Y
hendriki,SPECIES,73239,7744,,Y
Hippocampus,GENUS,2126,9170,"SPECIES:72662,SPECIES:73235,SPECIES:73234,SPECIES:73240,SPECIES:73239,SPECIES:73233,SPECIES:73236,SPECIES:73238,SPECIES:73237,SPECIES:73241,SPECIES:81724,SPECIES:79639,SPECIES:105242,SPECIES:105240,SPECIES:105244",Y
Hippocampus,GENUS,2126,10384,"SPECIES:105242,SPECIES:105240,SPECIES:105244",Y
Hippocampus,GENUS,2126,7744,"SPECIES:105242,SPECIES:105240,SPECIES:105244",Y
Hippocampus,GENUS,2126,11266,"SPECIES:105242,SPECIES:105240,SPECIES:105244",Y
Hippocampus,GENUS,2126,7658,"SPECIES:105242,SPECIES:105240,SPECIES:105244",Y
HIRUNDINIDAE,Family,384,29654,,N
hoeschi,SPECIES,105334,29356,,Y
hoserae,SPECIES,105349,28539,,Y
hosomi,SPECIES,105306,29311,,Y
huonensis,SPECIES,105350,28539,,Y
hurum,SPECIES,29035,29676,,Y
HYDROBATIDAE,Family,388,29654,,N
HYDROZOA,Class,15,30002,,Y
ICTERIDAE,Family,404,29654,,N
Iguanidae,FAMILY,405,28454,"SPECIES:105231,SPECIES:92645,SPECIES:17090,SPECIES:92644",Y
IGUANIDAE,Family,405,25976,,N
intermedia,SPECIES,18623,29655,,Y
isabellae,SPECIES,104122,27389,,Y
jejy,SPECIES,104138,27392,,Y
johnstoni,SPECIES,5662,29680,,Y
jorgehernandezi,SPECIES,105304,29310,,Y
jugumus,SPECIES,73233,7744,,Y
kachuga,SPECIES,10949,29662,,Y
kahlenbergi,SPECIES,105245,28997,,Y
kaouthia,SPECIES,14309,10039,,Y
kinghorni,SPECIES,44308,6615,,Y
kipunji,SPECIES,100900,25422,,Y
kyaiktiyo,SPECIES,105467,29546,,Y
LACERTIDAE,Family,419,25976,,N
LANIIDAE,Family,423,29654,,N
lariang,SPECIES,101536,26772,,Y
LARIDAE,Family,424,29654,,N
lewisi,SPECIES,6044,26399,,Y
longilineus,SPECIES,29371,2,,Y
LORIIDAE,Family,7109,29654,,N
Loxocemidae,FAMILY,968,10112,,Y
lucidus,SPECIES,105452,29678,,Y
macrocephalus,SPECIES,17244,29652,,Y
maculata,SPECIES,105219,29657,,Y
magomberae,SPECIES,105328,29350,,Y
Mammalia,CLASS,17,26617,"SPECIES:99482,SPECIES:20422,SPECIES:28657,SPECIES:101536,SPECIES:17244,SPECIES:17488,SPECIES:12392,SPECIES:18868,SPECIES:11186,SPECIES:29583,SPECIES:87572,SPECIES:2887,SPECIES:2889,SPECIES:3125,SPECIES:7949,SPECIES:7956,SUBSPECIES:15737,SPECIES:105305,SPECIES:105306,SPECIES:41791,SPECIES:100900,SPECIES:105304,SPECIES:105307,SPECIES:105303,SPECIES:105308,SPECIES:103905,SPECIES:105315,SPECIES:99041,SPECIES:105310,SPECIES:101523",Y
mandalayensis,SPECIES,34039,5004,,Y
marojezense,SPECIES,42608,29664,,Y
marthae,SPECIES,105461,29544,,Y
matschiei,SPECIES,105223,27454,,Y
medicinalis,SPECIES,10190,29672,,Y
MEGAPODIIDAE,Family,478,29654,,N
MELIPHAGIDAE,Family,483,29654,,N
merianae,SPECIES,31831,2,,Y
MEROPIDAE,Family,486,29654,,N
MIMIDAE,Family,497,29654,,N
mintoni,SPECIES,80395,10409,,Y
mlanjensis,SPECIES,3008,29684,,Y
modestus,SPECIES,105454,29678,,Y
montebelloensis,SPECIES,73236,7744,,Y
mooreorum,SPECIES,93569,29656,,Y
morafkai,SPECIES,105468,29547,,Y
morenoi,SPECIES,74044,8481,,Y
MOTACILLIDAE,Family,508,29654,,N
multispinus,SPECIES,73238,7744,,Y
multituberculata,SPECIES,105224,27454,,Y
munzala,SPECIES,99041,26445,,Y
MUSCICAPIDAE,Family,512,29654,,N
MUSOPHAGIDAE,Family,513,29654,,N
narraioca,SPECIES,93359,29673,,Y
nasutum,SPECIES,4484,29661,,Y
natalensis,SPECIES,71524,7781,,Y
nauta,SPECIES,44288,6615,,Y
necasi,SPECIES,105230,29663,,Y
NECTARINIIDAE,Family,532,29654,,N
ngomeense,SPECIES,105324,29346,,Y
nicosiai,SPECIES,74031,10024,,Y
nigricans,SPECIES,2173,29676,,Y
nkandlae,SPECIES,105227,28984,,Y
nkandlae,SPECIES,105227,29346,,Y
ntunte,SPECIES,104146,27393,,Y
nyirit,SPECIES,105457,29540,,Y
occidentale,SPECIES,29062,28985,,Y
omurai,SPECIES,87572,12085,,Y
ORIOLIDAE,Family,563,29654,,N
Ornithoptera,GENUS,3399,28022,,Y
OTIDIDAE,Family,569,29654,,N
oxiana,SPECIES,14311,10039,,Y
oxyrhina,SPECIES,3010,27454,,Y
palustris,SPECIES,79663,10387,,Y
Pandinus,GENUS,3496,25332,,Y
PANDIONIDAE,Family,572,29654,,N
PARADISAEIDAE,Family,576,29654,,N
PARIDAE,Family,580,29654,,N
PARULIDAE,Family,583,29654,,N
parva,SPECIES,105336,29357,,Y
parvifrons,SPECIES,105220,29653,,Y
PASSERIFORMES,Order,109,29654,,N
patagonicus,SPECIES,105242,29670,,Y
paulsoni,SPECIES,104234,26655,,Y
pearlensis,SPECIES,105256,29367,,Y
PEDIONOMIDAE,Family,589,29654,,N
PELECANIDAE,Family,591,29654,,N
PELECANIFORMES,Order,111,29654,,N
PELECANOIDIDAE,Family,592,29654,,N
peltierorum,SPECIES,104139,27392,,Y
